Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.6332,3.6332,3.5643000000000002,,,,0,3,1
2000-05-02 00:00:00,,,,3.5816,3.7538,3.5643000000000002,,,,,,
2000-05-03 00:00:00,,,,3.6332,3.6849,3.4955,,,,,,
2000-05-04 00:00:00,,,,3.5643000000000002,3.6332,3.5643000000000002,,,,,,
2000-05-05 00:00:00,,,,3.7020999999999997,3.8571,3.6332,,,,,,
2000-05-08 00:00:00,,,,3.9259,3.9259,3.7365,,,,,,
2000-05-09 00:00:00,,,,3.7538,4.0293,3.7538,,,,,,
2000-05-10 00:00:00,,,,3.9259,3.9604,3.6677,,,,,,
2000-05-11 00:00:00,,,,3.7020999999999997,3.8054,3.6677,,,,,,
2000-05-12 00:00:00,,,,3.771,3.9948,3.771,,,,,,
2000-05-15 00:00:00,,,,3.9259,3.9604,3.8743,,,,0,3,1
2000-05-16 00:00:00,,,,3.9776,4.012,3.9087,,,,,,
2000-05-17 00:00:00,,,,3.9432,3.9948,3.771,,,,,,
2000-05-18 00:00:00,,,,3.7882,3.8226,3.6849,,,,,,
2000-05-19 00:00:00,,,,3.6849,3.7193,3.5471,,,,,,
2000-05-22 00:00:00,,,,3.4782,3.5816,3.461,,,,,,
2000-05-23 00:00:00,,,,3.4955,3.5987999999999998,3.4782,,,,,,
2000-05-24 00:00:00,,,,3.4955,3.5816,3.4782,,,,,,
2000-05-25 00:00:00,,,,3.5643000000000002,3.6504,3.5643000000000002,,,,,,
2000-05-26 00:00:00,,,,3.616,3.616,3.5127,,,,,,
2000-05-30 00:00:00,,,,3.5816,3.6677,3.5816,,,,,,
2000-05-31 00:00:00,,,,3.616,3.6504,3.5987999999999998,,,,,,
2000-06-01 00:00:00,,,,3.5816,3.6677,3.5816,,,,0,3,1
2000-06-02 00:00:00,,,,3.771,3.8743,3.7365,,,,,,
2000-06-05 00:00:00,,,,3.8571,3.8743,3.7193,,,,,,
2000-06-06 00:00:00,,,,3.771,3.8398,3.771,,,,,,
2000-06-07 00:00:00,,,,3.7538,3.771,3.7020999999999997,,,,,,
2000-06-08 00:00:00,,,,3.7538,3.771,3.7538,,,,,,
2000-06-09 00:00:00,,,,3.7882,3.8226,3.7538,,,,,,
