Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,10.7293,11.1674,10.6464,,,,0,5,0
2000-05-02 00:00:00,,,,11.1556,11.1556,10.9069,,,,,,
2000-05-03 00:00:00,,,,10.895,10.895,10.6345,,,,,,
2000-05-04 00:00:00,,,,10.6227,10.6464,10.4687,,,,,,
2000-05-05 00:00:00,,,,10.3266,10.9187,10.3266,,,,0,5,0
2000-05-08 00:00:00,,,,11.0016,11.1556,10.7648,,,,,,
2000-05-09 00:00:00,,,,10.7411,10.788499999999999,10.599,,,,,,
2000-05-10 00:00:00,,,,10.6937,10.6937,10.5161,,,,,,
2000-05-11 00:00:00,,,,10.5161,10.6582,10.4924,,,,,,
2000-05-12 00:00:00,,,,10.5042,10.599,10.374,,,,,,
2000-05-15 00:00:00,,,,10.4213,10.4569,10.2792,,,,,,
2000-05-16 00:00:00,,,,10.5161,10.6937,10.4332,,,,,,
2000-05-17 00:00:00,,,,10.4687,10.4687,10.2437,,,,,,
2000-05-18 00:00:00,,,,10.374,10.3858,10.1963,,,,,,
2000-05-19 00:00:00,,,,10.0424,10.0661,9.7819,,,,,,
2000-05-22 00:00:00,,,,9.7819,9.8055,9.6042,,,,0,5,0
2000-05-23 00:00:00,,,,9.6634,9.7108,9.3082,,,,,,
2000-05-24 00:00:00,,,,9.4384,9.6042,9.3555,,,,,,
2000-05-25 00:00:00,,,,9.4503,9.5924,9.4266,,,,,,
2000-05-26 00:00:00,,,,9.4266,9.4503,9.095,,,,,,
2000-05-30 00:00:00,,,,9.1542,9.2726,9.1542,,,,,,
2000-05-31 00:00:00,,,,9.1897,9.2253,9.1305,,,,,,
2000-06-01 00:00:00,,,,9.0358,9.095,8.941,,,,0,6,0
2000-06-02 00:00:00,,,,9.1305,9.5569,9.1305,,,,,,
2000-06-05 00:00:00,,,,9.474,9.4976,9.3911,,,,,,
2000-06-06 00:00:00,,,,9.6279,9.6279,9.4621,,,,,,
2000-06-07 00:00:00,,,,9.5095,9.5332,9.2726,,,,,,
2000-06-08 00:00:00,,,,9.2963,9.4503,9.2371,,,,,,
2000-06-09 00:00:00,,,,9.3437,9.474,9.2845,,,,,,
2000-06-12 00:00:00,,,,9.4384,9.545,9.3082,,,,,,
2000-06-13 00:00:00,,,,9.474,9.474,9.2489,,,,,,
2000-06-14 00:00:00,,,,9.3082,9.3792,9.0832,,,,,,
2000-06-15 00:00:00,,,,9.095,9.2845,9.095,,,,,,
2000-06-16 00:00:00,,,,9.3318,9.4029,9.2608,,,,,,
2000-06-19 00:00:00,,,,9.2845,9.2845,9.0121,,,,,,
2000-06-20 00:00:00,,,,9.0003,9.0713,8.87,,,,,,
2000-06-21 00:00:00,,,,9.0003,9.0239,8.87,,,,,,
2000-06-22 00:00:00,,,,9.0239,9.1779,8.8937,,,,,,
2000-06-23 00:00:00,,,,9.1779,9.1779,8.9766,,,,,,
2000-06-26 00:00:00,,,,9.0121,9.2726,9.0121,,,,,,
2000-06-27 00:00:00,,,,9.095,9.3555,9.0713,,,,,,
2000-06-28 00:00:00,,,,9.1661,9.3082,9.0832,,,,,,
2000-06-29 00:00:00,,,,9.2253,9.2608,9.1068,,,,,,
2000-06-30 00:00:00,,,,9.1897,9.3792,9.1897,,,,0,6,0
2000-07-03 00:00:00,,,,9.3555,9.4029,9.2726,,,,,,
2000-07-05 00:00:00,,,,9.4029,9.4029,9.0239,,,,,,
2000-07-06 00:00:00,,,,8.9766,9.0832,8.7871,,,,0,6,0
2000-07-07 00:00:00,,,,8.9055,9.0595,8.8818,,,,,,
2000-07-10 00:00:00,,,,8.9766,9.0713,8.9055,,,,,,
2000-07-11 00:00:00,,,,8.9884,9.0121,8.7752,,,,,,
2000-07-12 00:00:00,,,,8.7989,9.0003,8.7871,,,,,,
2000-07-13 00:00:00,,,,8.7871,8.9055,8.7634,,,,,,
2000-07-14 00:00:00,,,,8.7989,8.87,8.645,,,,,,
2000-07-17 00:00:00,,,,8.6924,8.7516,8.562100000000001,,,,,,
2000-07-18 00:00:00,,,,8.6568,8.8345,8.6568,,,,,,
2000-07-19 00:00:00,,,,8.9055,8.9055,8.6213,,,,,,
2000-07-20 00:00:00,,,,8.9055,9.0476,8.8581,,,,,,
2000-07-21 00:00:00,,,,9.0358,9.1661,8.8818,,,,0,6,0
2000-07-24 00:00:00,,,,9.1187,9.2963,9.0595,,,,,,
2000-07-25 00:00:00,,,,9.2371,9.6161,9.2371,,,,,,
2000-07-26 00:00:00,,,,9.4503,9.4976,9.2963,,,,,,
2000-07-27 00:00:00,,,,9.4858,9.545,9.1068,,,,,,
2000-07-28 00:00:00,,,,9.2726,9.32,9.1542,,,,,,
2000-07-31 00:00:00,,,,9.2489,9.6516,9.2489,,,,,,
2000-08-01 00:00:00,,,,9.6516,9.6516,9.3792,,,,,,
2000-08-02 00:00:00,,,,9.4503,9.5805,9.3792,,,,,,
2000-08-03 00:00:00,,,,9.5213,9.6279,9.2253,,,,,,
2000-08-04 00:00:00,,,,9.7226,10.2792,9.7226,,,,,,
2000-08-07 00:00:00,,,,10.2556,10.3148,9.995,,,,,,
2000-08-08 00:00:00,,,,10.0898,10.22,9.9832,,,,,,
2000-08-09 00:00:00,,,,10.3858,10.5161,10.2437,,,,0,6,0
2000-08-10 00:00:00,,,,10.4095,10.4569,10.3266,,,,,,
2000-08-11 00:00:00,,,,10.4332,10.5161,10.3977,,,,,,
2000-08-14 00:00:00,,,,10.445,10.4924,10.1134,,,,,,
2000-08-15 00:00:00,,,,10.4569,10.4687,10.1253,,,,,,
2000-08-16 00:00:00,,,,10.1371,10.149,9.9595,,,,0,6,0
2000-08-17 00:00:00,,,,9.995,10.1016,9.9713,,,,,,
2000-08-18 00:00:00,,,,10.0542,10.445,10.0424,,,,,,
2000-08-21 00:00:00,,,,10.374,10.4806,10.3148,,,,,,
2000-08-22 00:00:00,,,,10.374,10.445,10.2911,,,,,,
2000-08-23 00:00:00,,,,10.3621,10.4332,10.1963,,,,,,
2000-08-24 00:00:00,,,,10.4213,10.5398,10.3621,,,,,,
2000-08-25 00:00:00,,,,10.5398,10.5398,10.3858,,,,,,
2000-08-28 00:00:00,,,,10.5398,10.7056,10.4806,,,,,,
2000-08-29 00:00:00,,,,10.5161,10.7529,10.5161,,,,,,
2000-08-30 00:00:00,,,,10.6937,10.7056,10.4687,,,,,,
2000-08-31 00:00:00,,,,10.4687,10.67,10.4332,,,,,,
2000-09-01 00:00:00,,,,10.6937,10.7293,10.5635,,,,,,
2000-09-05 00:00:00,,,,10.6227,10.6819,10.5398,,,,,,
2000-09-06 00:00:00,,,,10.2319,10.3148,10.0661,,,,,,
2000-09-07 00:00:00,,,,10.374,10.374,10.1845,,,,0,6,0
2000-09-08 00:00:00,,,,10.3266,10.3266,9.7582,,,,,,
2000-09-11 00:00:00,,,,10.0661,10.1608,9.9003,,,,,,
2000-09-12 00:00:00,,,,9.9832,10.0779,9.8292,,,,,,
2000-09-13 00:00:00,,,,10.0187,10.1845,9.995,,,,,,
