Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,12.9444,12.9722,12.7361,,,,0,3,1
2000-05-02 00:00:00,,,,12.8611,13.4167,12.8056,,,,,,
2000-05-03 00:00:00,,,,12.75,12.7639,12.0556,,,,,,
2000-05-04 00:00:00,,,,12.0972,12.7222,11.9444,,,,,,
2000-05-05 00:00:00,,,,12.5833,13.6111,12.5833,,,,0,3,1
2000-05-08 00:00:00,,,,13.1389,14.125,13.1111,,,,,,
2000-05-09 00:00:00,,,,13.6944,13.6944,12.8333,,,,,,
2000-05-10 00:00:00,,,,12.8889,13.3056,12.75,,,,,,
2000-05-11 00:00:00,,,,13.1389,13.8333,13.1389,,,,,,
2000-05-12 00:00:00,,,,13.6667,13.8056,13.1944,,,,,,
2000-05-15 00:00:00,,,,13.2083,13.7361,13.0417,,,,,,
2000-05-16 00:00:00,,,,13.6667,14.4028,13.6667,,,,,,
2000-05-17 00:00:00,,,,13.9444,14.1111,13.4167,,,,,,
2000-05-18 00:00:00,,,,13.5417,14,13.3472,,,,,,
2000-05-19 00:00:00,,,,13.3403,13.4722,12.9306,,,,,,
2000-05-22 00:00:00,,,,13.2778,13.3194,12.6111,,,,,,
2000-05-23 00:00:00,,,,13.0556,13.25,12.6944,,,,,,
2000-05-24 00:00:00,,,,12.3611,12.4028,11.3889,,,,,,
2000-05-25 00:00:00,,,,12.4167,12.8333,12.3333,,,,,,
2000-05-26 00:00:00,,,,12.6111,12.6111,11.9167,,,,,,
2000-05-30 00:00:00,,,,12.5972,12.9306,12.5694,,,,0,3,1
2000-05-31 00:00:00,,,,12.8889,13.6111,12.7778,,,,0,3,2
2000-06-01 00:00:00,,,,13.3819,13.5382,12.5278,,,,,,
2000-06-02 00:00:00,,,,12.9097,13.6944,12.9028,,,,,,
2000-06-05 00:00:00,,,,13.5694,14.2917,13.4444,,,,,,
2000-06-06 00:00:00,,,,13.5972,13.5972,13.0556,,,,,,
2000-06-07 00:00:00,,,,13.0556,13.1111,12.4028,,,,,,
2000-06-08 00:00:00,,,,12.8472,12.9444,12.4583,,,,,,
2000-06-09 00:00:00,,,,12.5556,12.9028,12.3056,,,,0,3,2
2000-06-12 00:00:00,,,,12.3333,12.3889,11.9028,,,,,,
2000-06-13 00:00:00,,,,11.8472,12.5139,11.7222,,,,,,
