Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,42.2544,44.069,42.2544,,,,0,4,1
2000-05-02 00:00:00,,,,43.9653,43.9653,42.721,,,,,,
2000-05-03 00:00:00,,,,43.0839,43.5505,42.5654,,,,,,
2000-05-04 00:00:00,,,,42.721,43.7579,42.358,,,,,,
2000-05-05 00:00:00,,,,43.1357,43.4468,42.5654,,,,,,
2000-05-08 00:00:00,,,,42.8247,43.2394,42.4617,,,,,,
2000-05-09 00:00:00,,,,43.032,43.5505,41.7359,,,,,,
2000-05-10 00:00:00,,,,42.3062,42.721,41.3211,,,,,,
2000-05-11 00:00:00,,,,41.6322,42.4617,41.373,,,,,,
2000-05-12 00:00:00,,,,41.9433,42.8765,41.7877,,,,,,
2000-05-15 00:00:00,,,,42.6173,43.2394,42.4617,,,,,,
2000-05-16 00:00:00,,,,42.9284,43.6023,42.721,,,,,,
2000-05-17 00:00:00,,,,43.4468,44.1208,43.1357,,,,,,
2000-05-18 00:00:00,,,,43.7579,44.4319,43.5505,,,,,,
2000-05-19 00:00:00,,,,43.8097,43.9653,42.3062,,,,,,
2000-05-22 00:00:00,,,,42.721,42.721,41.5804,,,,,,
2000-05-23 00:00:00,,,,41.8396,41.9433,40.9582,,,,,,
2000-05-24 00:00:00,,,,41.2174,41.6322,40.7508,,,,,,
2000-05-25 00:00:00,,,,41.4767,41.8396,40.5434,,,,,,
2000-05-26 00:00:00,,,,40.8027,41.0101,40.025,,,,,,
2000-05-30 00:00:00,,,,40.3361,41.1656,40.1287,,,,,,
2000-05-31 00:00:00,,,,41.0101,41.0619,38.3141,,,,,,
2000-06-01 00:00:00,,,,38.677,40.4916,38.677,,,,0,4,1
2000-06-02 00:00:00,,,,41.0619,41.5285,41.0101,,,,0,4,1
2000-06-05 00:00:00,,,,41.1656,41.373,40.9064,,,,,,
2000-06-06 00:00:00,,,,41.2174,41.7359,41.1656,,,,,,
2000-06-07 00:00:00,,,,41.6322,41.8914,40.699,,,,,,
2000-06-08 00:00:00,,,,40.8545,41.2174,40.6471,,,,,,
2000-06-09 00:00:00,,,,40.8545,41.4248,40.8545,,,,,,
2000-06-12 00:00:00,,,,40.8545,41.0619,39.6102,,,,,,
2000-06-13 00:00:00,,,,39.9213,40.7508,39.8176,,,,,,
2000-06-14 00:00:00,,,,40.6471,40.8545,39.9731,,,,,,
2000-06-15 00:00:00,,,,40.3361,40.3879,39.7139,,,,,,
2000-06-16 00:00:00,,,,38.3141,39.1955,38.3141,,,,,,
2000-06-19 00:00:00,,,,38.3659,38.4178,37.0179,,,,,,
2000-06-20 00:00:00,,,,38.0548,38.0548,36.3439,,,,,,
2000-06-21 00:00:00,,,,36.4476,37.8475,36.4476,,,,,,
2000-06-22 00:00:00,,,,37.1735,37.8475,37.0698,,,,,,
2000-06-23 00:00:00,,,,37.4845,37.7438,36.2921,,,,,,
2000-06-26 00:00:00,,,,36.3958,37.329,36.1884,,,,,,
2000-06-27 00:00:00,,,,36.3958,36.8624,35.6699,,,,,,
2000-06-28 00:00:00,,,,35.8773,36.7587,35.4626,,,,,,
2000-06-29 00:00:00,,,,36.0847,36.2402,33.9072,,,,,,
2000-06-30 00:00:00,,,,34.6849,34.7886,33.3887,,,,,,
2000-07-03 00:00:00,,,,33.7516,35.1515,33.7516,,,,,,
2000-07-05 00:00:00,,,,35.6699,35.9292,34.2183,,,,,,
2000-07-06 00:00:00,,,,34.3219,35.2033,34.1146,,,,,,
2000-07-07 00:00:00,,,,34.8922,36.9142,34.8922,,,,,,
2000-07-10 00:00:00,,,,36.0847,36.9661,35.8773,,,,,,
2000-07-11 00:00:00,,,,36.1884,36.4995,35.7736,,,,,,
2000-07-12 00:00:00,,,,36.2402,37.2253,36.2402,,,,0,4,1
2000-07-13 00:00:00,,,,36.9142,38.3141,36.9142,,,,,,
2000-07-14 00:00:00,,,,38.4696,38.9881,37.8475,,,,,,
