Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,37.7292,38.7708,37.5208,,,,,,
2000-05-02 00:00:00,,,,38.6667,40.0625,38.25,,,,,,
2000-05-03 00:00:00,,,,39.6458,39.6458,38.0833,,,,,,
2000-05-04 00:00:00,,,,38.5833,39.2292,38.25,,,,,,
2000-05-05 00:00:00,,,,38.8125,39.5417,38.7708,,,,,,
2000-05-08 00:00:00,,,,38.8333,39.2083,38.1458,,,,,,
2000-05-09 00:00:00,,,,38.4792,39.5417,38.4792,,,,,,
2000-05-10 00:00:00,,,,38.6667,38.9792,38.0417,,,,,,
2000-05-11 00:00:00,,,,38.375,39.4583,37.6875,,,,,,
2000-05-12 00:00:00,,,,38.6667,38.8958,38.0625,,,,,,
2000-05-15 00:00:00,,,,38.5,39.8333,38.4167,,,,,,
2000-05-16 00:00:00,,,,39.3333,39.375,37.8542,,,,,,
2000-05-17 00:00:00,,,,38.2917,38.3125,37,,,,,,
2000-05-18 00:00:00,,,,37.4167,37.7708,36.5833,,,,,,
2000-05-19 00:00:00,,,,36.5,37.8542,36.5,,,,,,
2000-05-22 00:00:00,,,,38,38.7083,37.6458,,,,,,
2000-05-23 00:00:00,,,,38.1042,38.6458,37.4583,,,,,,
2000-05-24 00:00:00,,,,38.2708,38.8542,37.2083,,,,,,
2000-05-25 00:00:00,,,,36.8333,36.9583,34.6875,,,,,,
2000-05-26 00:00:00,,,,35.3333,35.6667,34.2083,,,,,,
2000-05-30 00:00:00,,,,34.6458,36,34.2083,,,,,,
2000-05-31 00:00:00,,,,35.5625,36.2292,35.2917,,,,,,
2000-06-01 00:00:00,,,,35.6667,35.6667,34.7708,,,,,,
2000-06-02 00:00:00,,,,35.75,36.4792,35,,,,,,
2000-06-05 00:00:00,,,,36,36.3333,35.5833,,,,,,
2000-06-06 00:00:00,,,,36.0417,36.0417,35.0208,,,,,,
2000-06-07 00:00:00,,,,35.2917,35.7083,34.8333,,,,,,
2000-06-08 00:00:00,,,,34.8333,35.0208,34.25,,,,,,
2000-06-09 00:00:00,,,,34.5833,35.0417,34.4583,,,,,,
2000-06-12 00:00:00,,,,34.3333,35.5833,34.2292,,,,,,
