Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,16,0
2000-05-03 00:00:00,,,,,,,,,,0,17,0
2000-05-16 00:00:00,,,,,,,,,,0,17,0
2000-05-23 00:00:00,,,,,,,,,,0,17,0
2000-05-24 00:00:00,,,,,,,,,,0,17,0
2000-05-25 00:00:00,,,,,,,,,,0,17,0
2000-05-26 00:00:00,,,,,,,,,,0,17,0
2000-05-30 00:00:00,,,,,,,,,,0,17,0
2000-05-31 00:00:00,,,,,,,,,,0,17,0
2000-06-01 00:00:00,,,,,,,,,,0,17,0
2000-06-05 00:00:00,,,,,,,,,,0,17,0
2000-06-06 00:00:00,,,,,,,,,,0,17,0
2000-06-16 00:00:00,,,,,,,,,,0,17,0
2000-06-19 00:00:00,,,,,,,,,,0,17,0
2000-06-20 00:00:00,,,,,,,,,,0,17,0
2000-06-23 00:00:00,,,,,,,,,,0,17,0
2000-06-30 00:00:00,,,,,,,,,,0,18,0
2000-07-05 00:00:00,,,,,,,,,,0,18,0
2000-07-06 00:00:00,,,,,,,,,,0,18,0
2000-07-13 00:00:00,,,,,,,,,,0,18,0
2000-07-25 00:00:00,,,,,,,,,,0,18,0
2000-07-28 00:00:00,,,,,,,,,,0,18,0
2000-07-31 00:00:00,,,,,,,,,,0,18,0
2000-08-02 00:00:00,,,,,,,,,,0,18,0
2000-08-11 00:00:00,,,,,,,,,,0,18,0
2000-08-17 00:00:00,,,,,,,,,,0,18,0
2000-08-25 00:00:00,,,,,,,,,,0,17,1
2000-08-31 00:00:00,,,,,,,,,,0,17,1
2000-09-01 00:00:00,,,,,,,,,,0,18,0
2000-09-07 00:00:00,,,,,,,,,,0,18,0
2000-09-15 00:00:00,,,,,,,,,,0,18,0
2000-09-20 00:00:00,,,,,,,,,,0,18,0
2000-09-22 00:00:00,,,,,,,,,,0,18,0
2000-09-25 00:00:00,,,,,,,,,,0,18,0
2000-09-27 00:00:00,,,,,,,,,,0,18,0
2000-09-28 00:00:00,,,,,,,,,,0,18,0
2000-09-29 00:00:00,,,,,,,,,,0,18,0
2000-10-02 00:00:00,,,,,,,,,,0,18,0
2000-10-05 00:00:00,,,,,,,,,,0,18,0
2000-10-06 00:00:00,,,,,,,,,,0,18,0
2000-10-09 00:00:00,,,,,,,,,,0,18,0
2000-10-23 00:00:00,,,,,,,,,,0,18,0
2000-10-26 00:00:00,,,,,,,,,,0,18,0
2000-10-27 00:00:00,,,,,,,,,,0,18,0
2000-10-30 00:00:00,,,,,,,,,,0,18,0
2000-11-01 00:00:00,,,,,,,,,,0,18,0
