Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,14.335,14.885,14.335,,,,0,4,1
2000-05-02 00:00:00,,,,14.628,14.738,14.482,,,,,,
2000-05-03 00:00:00,,,,14.518,14.555,14.115,,,,,,
2000-05-04 00:00:00,,,,14.408,15.032,14.408,,,,,,
2000-05-05 00:00:00,,,,14.628,14.995,14.628,,,,0,5,0
2000-05-08 00:00:00,,,,14.665,14.995,14.408,,,,,,
2000-05-09 00:00:00,,,,14.628,14.812,14.298,,,,,,
2000-05-10 00:00:00,,,,14.408,14.408,13.712,,,,,,
2000-05-11 00:00:00,,,,14.005,14.262,13.785,,,,,,
2000-05-12 00:00:00,,,,14.188,14.518,13.932,,,,,,
2000-05-15 00:00:00,,,,14.445,14.702,14.445,,,,,,
2000-05-16 00:00:00,,,,14.592,14.922,14.555,,,,,,
2000-05-17 00:00:00,,,,14.518,14.628,14.408,,,,,,
2000-05-18 00:00:00,,,,14.445,15.068,14.445,,,,,,
2000-05-19 00:00:00,,,,14.408,14.665,14.408,,,,0,5,0
2000-05-22 00:00:00,,,,14.592,14.702,14.408,,,,,,
2000-05-23 00:00:00,,,,14.372,15.178,14.298,,,,,,
2000-05-24 00:00:00,,,,15.068,15.655,14.995,,,,,,
2000-05-25 00:00:00,,,,15.288,15.545,15.252,,,,,,
2000-05-26 00:00:00,,,,15.692,15.985,15.545,,,,,,
2000-05-30 00:00:00,,,,15.692,16.058,15.655,,,,,,
2000-05-31 00:00:00,,,,16.022,16.351,15.912,,,,0,5,0
2000-06-01 00:00:00,,,,16.205,16.461,16.132,,,,0,5,0
2000-06-02 00:00:00,,,,16.241,16.645,16.168,,,,,,
2000-06-05 00:00:00,,,,16.315,16.681,16.241,,,,,,
2000-06-06 00:00:00,,,,16.315,16.351,16.058,,,,,,
2000-06-07 00:00:00,,,,16.205,16.498,16.168,,,,,,
2000-06-08 00:00:00,,,,16.461,16.571,16.278,,,,,,
2000-06-09 00:00:00,,,,16.278,16.461,16.022,,,,,,
2000-06-12 00:00:00,,,,16.498,16.498,15.765,,,,,,
2000-06-13 00:00:00,,,,15.802,16.058,15.692,,,,,,
2000-06-14 00:00:00,,,,15.802,15.985,15.545,,,,,,
2000-06-15 00:00:00,,,,15.618,15.765,15.252,,,,,,
2000-06-16 00:00:00,,,,15.105,15.362,15.105,,,,,,
2000-06-19 00:00:00,,,,15.288,15.362,14.958,,,,,,
2000-06-20 00:00:00,,,,15.178,15.618,15.178,,,,,,
2000-06-21 00:00:00,,,,15.215,15.472,15.142,,,,,,
2000-06-22 00:00:00,,,,15.178,15.435,15.068,,,,,,
2000-06-23 00:00:00,,,,15.178,15.472,15.178,,,,,,
2000-06-26 00:00:00,,,,15.398,15.472,14.995,,,,,,
2000-06-27 00:00:00,,,,15.068,15.545,15.032,,,,,,
2000-06-28 00:00:00,,,,15.545,15.985,15.472,,,,,,
2000-06-29 00:00:00,,,,15.582,15.912,15.545,,,,,,
2000-06-30 00:00:00,,,,15.692,15.838,15.362,,,,,,
2000-07-03 00:00:00,,,,15.472,15.765,15.288,,,,,,
2000-07-05 00:00:00,,,,15.692,15.692,15.398,,,,0,5,0
2000-07-06 00:00:00,,,,15.472,15.472,15.215,,,,,,
2000-07-07 00:00:00,,,,15.398,15.655,15.288,,,,,,
2000-07-10 00:00:00,,,,15.325,15.472,14.958,,,,,,
2000-07-11 00:00:00,,,,14.958,15.178,14.775,,,,,,
2000-07-12 00:00:00,,,,15.142,15.362,14.958,,,,0,5,0
2000-07-13 00:00:00,,,,15.252,15.362,14.995,,,,,,
2000-07-14 00:00:00,,,,15.105,15.618,15.105,,,,,,
2000-07-17 00:00:00,,,,15.178,15.472,15.032,,,,,,
2000-07-18 00:00:00,,,,14.775,15.105,14.775,,,,,,
2000-07-19 00:00:00,,,,14.812,15.142,14.775,,,,,,
2000-07-20 00:00:00,,,,14.812,15.105,14.812,,,,0,5,0
2000-07-21 00:00:00,,,,14.885,15.252,14.885,,,,0,5,0
2000-07-24 00:00:00,,,,14.995,14.995,14.775,,,,,,
2000-07-25 00:00:00,,,,14.775,15.032,14.775,,,,,,
2000-07-26 00:00:00,,,,14.885,14.885,14.042,,,,,,
2000-07-27 00:00:00,,,,14.042,14.262,13.822,,,,,,
2000-07-28 00:00:00,,,,13.895,14.115,13.638,,,,,,
2000-07-31 00:00:00,,,,13.968,13.968,13.712,,,,,,
2000-08-01 00:00:00,,,,13.895,14.445,13.858,,,,,,
2000-08-02 00:00:00,,,,14.518,14.518,14.005,,,,,,
2000-08-03 00:00:00,,,,14.262,14.445,14.115,,,,,,
2000-08-04 00:00:00,,,,14.445,14.812,14.408,,,,,,
2000-08-07 00:00:00,,,,14.592,14.775,14.262,,,,,,
2000-08-08 00:00:00,,,,14.518,14.665,14.298,,,,,,
2000-08-09 00:00:00,,,,14.372,14.518,14.188,,,,,,
2000-08-10 00:00:00,,,,14.665,15.252,14.628,,,,,,
2000-08-11 00:00:00,,,,14.738,14.775,14.628,,,,,,
2000-08-14 00:00:00,,,,14.702,15.068,14.665,,,,,,
2000-08-15 00:00:00,,,,14.995,15.142,14.885,,,,,,
2000-08-16 00:00:00,,,,14.995,15.215,14.885,,,,,,
2000-08-17 00:00:00,,,,15.068,15.068,14.665,,,,,,
2000-08-18 00:00:00,,,,14.665,14.922,14.518,,,,,,
2000-08-21 00:00:00,,,,14.885,14.922,14.665,,,,0,4,0
2000-08-22 00:00:00,,,,14.702,14.775,14.665,,,,,,
2000-08-23 00:00:00,,,,14.665,14.738,14.482,,,,,,
2000-08-24 00:00:00,,,,14.592,14.958,14.482,,,,,,
2000-08-25 00:00:00,,,,14.555,14.628,14.555,,,,,,
2000-08-28 00:00:00,,,,14.518,14.885,14.518,,,,,,
2000-08-29 00:00:00,,,,14.628,14.848,14.555,,,,,,
2000-08-30 00:00:00,,,,14.665,15.105,14.628,,,,,,
2000-08-31 00:00:00,,,,14.665,15.178,14.665,,,,,,
2000-09-01 00:00:00,,,,14.665,14.885,14.628,,,,,,
2000-09-05 00:00:00,,,,14.702,14.922,14.665,,,,,,
2000-09-06 00:00:00,,,,14.738,15.032,14.665,,,,,,
2000-09-07 00:00:00,,,,14.812,14.812,14.445,,,,,,
2000-09-08 00:00:00,,,,14.482,15.508,14.445,,,,,,
2000-09-11 00:00:00,,,,15.252,15.545,15.252,,,,,,
2000-09-12 00:00:00,,,,15.252,15.582,15.252,,,,,,
2000-09-13 00:00:00,,,,15.398,15.765,15.362,,,,,,
2000-09-14 00:00:00,,,,15.508,15.728,15.435,,,,,,
2000-09-15 00:00:00,,,,15.252,15.252,15.068,,,,,,
2000-09-18 00:00:00,,,,14.922,14.922,14.518,,,,,,
2000-09-19 00:00:00,,,,14.702,14.995,14.445,,,,,,
2000-09-20 00:00:00,,,,14.665,14.665,14.335,,,,,,
2000-09-21 00:00:00,,,,14.482,14.665,14.298,,,,,,
2000-09-22 00:00:00,,,,14.628,15.178,14.445,,,,,,
2000-09-25 00:00:00,,,,14.848,15.105,14.775,,,,,,
2000-09-26 00:00:00,,,,14.958,15.068,14.372,,,,,,
2000-09-27 00:00:00,,,,14.958,15.398,14.885,,,,,,
2000-09-28 00:00:00,,,,15.362,15.985,15.362,,,,,,
2000-09-29 00:00:00,,,,15.912,15.948,15.435,,,,,,
2000-10-02 00:00:00,,,,16.278,16.278,15.252,,,,0,4,0
2000-10-03 00:00:00,,,,16.132,17.561,16.022,,,,0,3,1
2000-10-04 00:00:00,,,,17.415,18.991,17.341,,,,,,
2000-10-05 00:00:00,,,,17.488,18.441,17.488,,,,,,
2000-10-06 00:00:00,,,,18.001,18.001,16.938,,,,0,2,1
2000-10-09 00:00:00,,,,17.268,17.268,16.425,,,,,,
2000-10-10 00:00:00,,,,16.938,16.938,16.461,,,,,,
2000-10-11 00:00:00,,,,16.608,17.121,16.241,,,,,,
2000-10-12 00:00:00,,,,16.901,16.901,16.498,,,,,,
2000-10-13 00:00:00,,,,16.938,17.158,16.535,,,,,,
2000-10-16 00:00:00,,,,17.158,17.708,17.085,,,,,,
2000-10-17 00:00:00,,,,17.085,17.231,16.828,,,,,,
2000-10-18 00:00:00,,,,16.791,16.865,16.461,,,,,,
2000-10-19 00:00:00,,,,16.718,18.148,16.718,,,,,,
2000-10-20 00:00:00,,,,17.928,18.185,17.928,,,,0,2,1
2000-10-23 00:00:00,,,,18.148,18.185,17.965,,,,,,
2000-10-24 00:00:00,,,,18.185,18.441,18.148,,,,,,
2000-10-25 00:00:00,,,,18.185,18.441,18.185,,,,,,
2000-10-26 00:00:00,,,,18.441,18.698,18.331,,,,,,
2000-10-27 00:00:00,,,,18.588,18.881,18.331,,,,,,
2000-10-30 00:00:00,,,,19.028,19.798000000000002,19.028,,,,,,
2000-10-31 00:00:00,,,,19.578,20.311,19.578,,,,,,
2000-11-01 00:00:00,,,,20.201,20.568,20.164,,,,,,
2000-11-02 00:00:00,,,,20.531,21.411,20.384,,,,,,
2000-11-03 00:00:00,,,,20.824,20.861,20.274,,,,,,
2000-11-06 00:00:00,,,,20.421,20.421,19.834,,,,,,
2000-11-07 00:00:00,,,,20.054,20.421,19.834,,,,,,
2000-11-08 00:00:00,,,,20.018,20.678,19.944,,,,,,
2000-11-09 00:00:00,,,,20.531,20.751,19.944,,,,,,
2000-11-10 00:00:00,,,,20.311,20.348,19.761,,,,,,
2000-11-13 00:00:00,,,,19.761,19.798000000000002,19.468,,,,0,3,1
2000-11-14 00:00:00,,,,19.908,20.091,19.394,,,,,,
2000-11-15 00:00:00,,,,19.944,20.384,19.944,,,,0,3,1
2000-11-16 00:00:00,,,,20.348,20.751,20.164,,,,,,
2000-11-17 00:00:00,,,,20.421,20.751,20.384,,,,,,
2000-11-20 00:00:00,,,,20.494,20.494,19.871,,,,,,
2000-11-21 00:00:00,,,,20.238,20.238,19.724,,,,,,
2000-11-22 00:00:00,,,,20.091,20.128,19.284,,,,,,
2000-11-24 00:00:00,,,,19.798000000000002,19.908,19.688,,,,,,
2000-11-27 00:00:00,,,,19.944,19.944,19.688,,,,0,3,1
2000-11-28 00:00:00,,,,19.761,19.908,19.468,,,,,,
2000-11-29 00:00:00,,,,19.541,19.651,19.358,,,,,,
2000-11-30 00:00:00,,,,19.651,19.651,19.358,,,,,,
2000-12-01 00:00:00,,,,19.504,19.651,19.394,,,,,,
2000-12-04 00:00:00,,,,19.504,19.651,19.284,,,,,,
2000-12-05 00:00:00,,,,19.504,19.761,19.431,,,,,,
2000-12-06 00:00:00,,,,19.541,19.614,18.331,,,,,,
2000-12-07 00:00:00,,,,18.551,19.651,18.405,,,,,,
2000-12-08 00:00:00,,,,19.138,19.358,19.028,,,,,,
