Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,26.1563,26.5,25.9688,,,,0,3,0
2000-05-02 00:00:00,,,,26.25,26.4063,25.875,,,,,,
2000-05-03 00:00:00,,,,26.3438,26.3438,25.6875,,,,,,
2000-05-04 00:00:00,,,,25.875,26.7813,25.6563,,,,0,3,0
2000-05-05 00:00:00,,,,26.0625,26.2188,25.625,,,,,,
2000-05-08 00:00:00,,,,25.5313,26.0938,25.5,,,,,,
2000-05-09 00:00:00,,,,25.7188,26.3125,25.6563,,,,,,
2000-05-10 00:00:00,,,,25.375,25.6875,25.375,,,,,,
2000-05-11 00:00:00,,,,25.6875,26.6563,25.6875,,,,,,
2000-05-12 00:00:00,,,,26.5313,26.625,25.7813,,,,,,
2000-05-15 00:00:00,,,,26.0313,27.375,26.0313,,,,,,
2000-05-16 00:00:00,,,,26.75,26.75,26.2813,,,,,,
2000-05-17 00:00:00,,,,25.9375,26.0313,25.5938,,,,,,
2000-05-18 00:00:00,,,,25.875,25.9375,25.5,,,,,,
2000-05-19 00:00:00,,,,25.6875,26.6563,25.5625,,,,,,
2000-05-22 00:00:00,,,,26.4688,27.3125,26.4688,,,,,,
2000-05-23 00:00:00,,,,27.0625,27.25,26.25,,,,,,
2000-05-24 00:00:00,,,,27,27.2188,26.0625,,,,,,
2000-05-25 00:00:00,,,,26.2188,26.2188,24.7813,,,,,,
2000-05-26 00:00:00,,,,24.9375,24.9375,24.25,,,,,,
2000-05-30 00:00:00,,,,24.5,24.5,24.1563,,,,,,
2000-05-31 00:00:00,,,,23,23.5,22.6875,,,,0,2,1
2000-06-01 00:00:00,,,,22.7188,23.9375,22.6563,,,,0,2,1
2000-06-02 00:00:00,,,,23.9375,23.9688,23.6875,,,,,,
2000-06-05 00:00:00,,,,23.5938,23.5938,22.875,,,,,,
2000-06-06 00:00:00,,,,23.125,23.5,23.0625,,,,,,
2000-06-07 00:00:00,,,,23.4688,24.125,23.4688,,,,,,
2000-06-08 00:00:00,,,,23.8438,23.9063,23.5,,,,,,
2000-06-09 00:00:00,,,,23.8438,24.125,23.8438,,,,,,
2000-06-12 00:00:00,,,,24.125,24.4063,23.8438,,,,,,
2000-06-13 00:00:00,,,,23.5313,23.8125,23.5,,,,,,
2000-06-14 00:00:00,,,,23.7813,24.5,23.6875,,,,,,
2000-06-15 00:00:00,,,,24,24.2188,23.9375,,,,,,
2000-06-16 00:00:00,,,,24,24.0938,23.4688,,,,,,
2000-06-19 00:00:00,,,,23.625,23.7188,22.8125,,,,,,
2000-06-20 00:00:00,,,,23.125,23.125,22.4375,,,,,,
2000-06-21 00:00:00,,,,22.8125,23.2188,22.75,,,,,,
2000-06-22 00:00:00,,,,23.0625,23.1563,22.9063,,,,0,2,2
2000-06-23 00:00:00,,,,23.1563,23.2188,23,,,,,,
2000-06-26 00:00:00,,,,23.0625,23.3438,23,,,,,,
2000-06-27 00:00:00,,,,23.2813,24.4375,23.2188,,,,,,
2000-06-28 00:00:00,,,,24.3125,24.625,23.9375,,,,,,
2000-06-29 00:00:00,,,,24.0625,24.4063,23.4063,,,,,,
2000-06-30 00:00:00,,,,23.5313,24.2813,23.5313,,,,0,2,2
2000-07-03 00:00:00,,,,23.875,24.6563,23.875,,,,,,
2000-07-05 00:00:00,,,,25.25,25.25,24.5,,,,,,
2000-07-06 00:00:00,,,,24.125,24.1563,23.0938,,,,,,
2000-07-07 00:00:00,,,,23.875,24.2813,23.7813,,,,,,
2000-07-10 00:00:00,,,,24.0938,24.3438,23.875,,,,,,
2000-07-11 00:00:00,,,,23.875,24.9063,23.8438,,,,,,
2000-07-12 00:00:00,,,,24.9063,24.9375,24.3438,,,,,,
2000-07-13 00:00:00,,,,24.5625,25.0625,24.375,,,,,,
2000-07-14 00:00:00,,,,24.8438,24.9063,24.2813,,,,,,
2000-07-17 00:00:00,,,,24.3125,24.3125,23.7188,,,,,,
2000-07-18 00:00:00,,,,23.9063,24.4688,23.8438,,,,,,
2000-07-19 00:00:00,,,,23.9688,23.9688,23.625,,,,,,
2000-07-20 00:00:00,,,,23.6875,23.7813,23.3125,,,,,,
2000-07-21 00:00:00,,,,23.5313,23.875,23.5313,,,,,,
2000-07-24 00:00:00,,,,23.5938,23.75,23.5625,,,,,,
2000-07-25 00:00:00,,,,23.5,23.625,23.25,,,,,,
2000-07-26 00:00:00,,,,23.3125,23.3125,22.875,,,,,,
2000-07-27 00:00:00,,,,23.125,23.9688,23.125,,,,,,
2000-07-28 00:00:00,,,,24,24,23.3125,,,,,,
2000-07-31 00:00:00,,,,23.4063,23.9688,23.3438,,,,0,2,2
2000-08-01 00:00:00,,,,23.4375,23.5,23,,,,,,
2000-08-02 00:00:00,,,,23.25,23.3125,22.9688,,,,,,
2000-08-03 00:00:00,,,,23.0938,24,23.0938,,,,,,
2000-08-04 00:00:00,,,,23.1563,23.375,21.125,,,,,,
2000-08-07 00:00:00,,,,21.4375,22.1875,20.8438,,,,0,2,2
2000-08-08 00:00:00,,,,22.125,22.3125,21.75,,,,,,
2000-08-09 00:00:00,,,,22.125,22.6875,22.125,,,,,,
2000-08-10 00:00:00,,,,22.5,22.5,22,,,,,,
2000-08-11 00:00:00,,,,21.9063,22.5625,21.9063,,,,,,
2000-08-14 00:00:00,,,,22.4375,22.5,22.0313,,,,,,
2000-08-15 00:00:00,,,,22.4375,23.1875,22.4375,,,,,,
2000-08-16 00:00:00,,,,23,23.25,22.9063,,,,,,
2000-08-17 00:00:00,,,,23.1875,23.2188,22.9375,,,,,,
2000-08-18 00:00:00,,,,22.9688,23.1875,22.875,,,,,,
2000-08-21 00:00:00,,,,22.9063,23.125,22.7813,,,,,,
2000-08-22 00:00:00,,,,22.75,23.125,22.75,,,,,,
2000-08-23 00:00:00,,,,22.9063,22.9063,22.4688,,,,,,
2000-08-24 00:00:00,,,,22.5313,22.9063,22.4063,,,,,,
2000-08-25 00:00:00,,,,22.5313,22.875,22.4688,,,,,,
2000-08-28 00:00:00,,,,22.5625,22.5938,22.1875,,,,,,
2000-08-29 00:00:00,,,,22.1875,22.25,21.9375,,,,,,
2000-08-30 00:00:00,,,,21.9688,22.2188,21.9063,,,,,,
2000-08-31 00:00:00,,,,21.7813,22.25,21.4375,,,,,,
2000-09-01 00:00:00,,,,21.5938,21.7813,21.4688,,,,,,
2000-09-05 00:00:00,,,,21.4375,22.5,21.25,,,,,,
2000-09-06 00:00:00,,,,22.25,23.625,22.25,,,,,,
2000-09-07 00:00:00,,,,22.9688,23.1563,22.5,,,,,,
2000-09-08 00:00:00,,,,22.6563,22.6563,21.6563,,,,,,
2000-09-11 00:00:00,,,,21.7188,21.9375,21.5,,,,,,
2000-09-12 00:00:00,,,,21.6563,21.6563,21.2813,,,,,,
2000-09-13 00:00:00,,,,21.5625,21.8438,21.5313,,,,,,
2000-09-14 00:00:00,,,,21.875,22.0938,21.125,,,,,,
2000-09-15 00:00:00,,,,20.9688,21.1563,20.5,,,,,,
2000-09-18 00:00:00,,,,20.7188,20.7188,19.9688,,,,,,
2000-09-19 00:00:00,,,,20.375,20.375,19.9063,,,,,,
2000-09-20 00:00:00,,,,20.1875,20.1875,19.375,,,,,,
2000-09-21 00:00:00,,,,19.625,19.75,18.9063,,,,,,
2000-09-22 00:00:00,,,,19.3125,19.3438,19,,,,,,
2000-09-25 00:00:00,,,,19.0938,19.0938,18.5938,,,,,,
2000-09-26 00:00:00,,,,18.4688,18.4688,18,,,,,,
2000-09-27 00:00:00,,,,18.2188,18.3438,17.9688,,,,,,
2000-09-28 00:00:00,,,,18.2188,18.6563,17.8125,,,,,,
2000-09-29 00:00:00,,,,18.75,19.2188,18.4688,,,,,,
2000-10-02 00:00:00,,,,18.6563,18.6875,18.0938,,,,,,
2000-10-03 00:00:00,,,,18.5313,19.8125,18.4688,,,,,,
2000-10-04 00:00:00,,,,19.1563,19.8125,19.1563,,,,,,
2000-10-05 00:00:00,,,,19.8125,20,19.1875,,,,,,
2000-10-06 00:00:00,,,,19.6563,20.1563,19.5,,,,,,
2000-10-09 00:00:00,,,,19.625,20.0938,19.4375,,,,,,
2000-10-10 00:00:00,,,,19.7188,19.875,19.0625,,,,,,
2000-10-11 00:00:00,,,,19.25,19.5,18.5,,,,,,
2000-10-12 00:00:00,,,,18.6875,18.7813,18.1563,,,,,,
2000-10-13 00:00:00,,,,18.2813,18.2813,17.5313,,,,,,
2000-10-16 00:00:00,,,,18,19,17.9063,,,,,,
2000-10-17 00:00:00,,,,18.875,18.9688,18.1875,,,,,,
2000-10-18 00:00:00,,,,18.3438,18.6875,18.1563,,,,,,
2000-10-19 00:00:00,,,,18.4375,18.5,18.1875,,,,,,
2000-10-20 00:00:00,,,,18.25,18.8438,18.25,,,,0,2,2
2000-10-23 00:00:00,,,,18.4688,19.4375,18.3125,,,,0,2,3
2000-10-24 00:00:00,,,,18.75,19.5625,18.625,,,,,,
2000-10-25 00:00:00,,,,19.375,19.375,18.7813,,,,,,
2000-10-26 00:00:00,,,,19.0625,19.75,19.0625,,,,,,
2000-10-27 00:00:00,,,,19.6563,19.8125,18.8125,,,,,,
2000-10-30 00:00:00,,,,19.75,21.4688,19.7188,,,,,,
2000-10-31 00:00:00,,,,21.3125,21.5938,20.75,,,,,,
2000-11-01 00:00:00,,,,21.5,21.5313,20.75,,,,,,
2000-11-02 00:00:00,,,,21,21.1563,20.7188,,,,,,
2000-11-03 00:00:00,,,,20.9688,21.4375,20.7813,,,,,,
2000-11-06 00:00:00,,,,21.3125,21.6875,21.3125,,,,0,2,4
2000-11-07 00:00:00,,,,21.5,21.875,21.4688,,,,,,
2000-11-08 00:00:00,,,,21.7188,22.1563,21.1563,,,,,,
2000-11-09 00:00:00,,,,21.5,21.5938,20.9688,,,,,,
2000-11-10 00:00:00,,,,21.25,21.375,20.9063,,,,,,
2000-11-13 00:00:00,,,,21,21.5,21,,,,,,
2000-11-14 00:00:00,,,,21.2188,22.0625,21.1563,,,,,,
2000-11-15 00:00:00,,,,22,22.75,22,,,,,,
2000-11-16 00:00:00,,,,22.125,22.125,21.0313,,,,,,
