Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,27.3125,28.0313,27.2813,,,,0,8,1
2000-05-02 00:00:00,,,,27.9063,28.4688,27.7188,,,,,,
2000-05-03 00:00:00,,,,27.4063,27.5313,26.5313,,,,0,9,1
2000-05-04 00:00:00,,,,26.9375,27.75,26.8125,,,,0,9,1
2000-05-05 00:00:00,,,,27.125,27.5938,27.0625,,,,0,9,1
2000-05-08 00:00:00,,,,27,27.6875,26.9063,,,,,,
2000-05-09 00:00:00,,,,27.2813,28.0938,27.25,,,,,,
2000-05-10 00:00:00,,,,27.625,28.1563,27.3125,,,,,,
2000-05-11 00:00:00,,,,27.75,28.1563,27.5625,,,,,,
2000-05-12 00:00:00,,,,27.6875,28.1563,26.9688,,,,,,
2000-05-15 00:00:00,,,,28.4063,29.0938,28.0625,,,,,,
2000-05-16 00:00:00,,,,29.5625,29.75,28.9688,,,,,,
2000-05-17 00:00:00,,,,28.625,29,28.1563,,,,,,
2000-05-18 00:00:00,,,,28.3125,28.6563,28.3125,,,,,,
2000-05-19 00:00:00,,,,28.4063,28.8125,28.2188,,,,,,
2000-05-22 00:00:00,,,,28.5625,28.6563,28.2188,,,,,,
2000-05-23 00:00:00,,,,28.5,29.1563,28.5,,,,,,
2000-05-24 00:00:00,,,,29.0313,29.5938,29,,,,0,9,1
2000-05-25 00:00:00,,,,30,30.2813,29.8125,,,,0,9,1
2000-05-26 00:00:00,,,,29.8125,29.875,29.5313,,,,,,
2000-05-30 00:00:00,,,,29.625,29.8125,29.5,,,,,,
2000-05-31 00:00:00,,,,29.6875,29.75,29.5,,,,,,
2000-06-01 00:00:00,,,,29.5,30.6563,29.5,,,,0,9,1
2000-06-02 00:00:00,,,,31.5,31.5,31,,,,0,9,1
2000-06-05 00:00:00,,,,31.125,31.3438,30,,,,,,
2000-06-06 00:00:00,,,,30.0938,30.1875,29.6875,,,,0,9,1
2000-06-07 00:00:00,,,,29.9375,30.5,29.875,,,,,,
2000-06-08 00:00:00,,,,29.75,29.7813,29.1563,,,,,,
2000-06-09 00:00:00,,,,29.4375,29.625,29.2813,,,,0,9,1
2000-06-12 00:00:00,,,,29.5,30.2813,29.4063,,,,,,
2000-06-13 00:00:00,,,,29.625,30.5625,29.5938,,,,,,
2000-06-14 00:00:00,,,,30,30.125,29.0938,,,,,,
2000-06-15 00:00:00,,,,29.0313,29.2188,28.6563,,,,,,
2000-06-16 00:00:00,,,,28.6875,29.1875,28.625,,,,,,
2000-06-19 00:00:00,,,,28.8125,29.375,28.7188,,,,,,
2000-06-20 00:00:00,,,,31.125,31.125,29.4375,,,,0,9,1
2000-06-21 00:00:00,,,,29.8125,30.0625,29.5313,,,,,,
2000-06-22 00:00:00,,,,28.75,30.2813,28.75,,,,,,
2000-06-23 00:00:00,,,,31,31,30.3125,,,,,,
2000-06-26 00:00:00,,,,31.2188,32.3125,30.9375,,,,,,
2000-06-27 00:00:00,,,,32.25,32.625,31.9688,,,,,,
2000-06-28 00:00:00,,,,32.5,32.5,31.7813,,,,,,
2000-06-29 00:00:00,,,,31.75,31.8125,30.9688,,,,,,
2000-06-30 00:00:00,,,,31.4375,32.2813,30.0625,,,,0,9,1
2000-07-03 00:00:00,,,,30.25,30.75,30.25,,,,,,
2000-07-05 00:00:00,,,,30.75,31.5938,30.3125,,,,0,9,1
2000-07-06 00:00:00,,,,30.75,30.9063,30.1875,,,,,,
2000-07-07 00:00:00,,,,30.6875,31.5,30.6563,,,,,,
2000-07-10 00:00:00,,,,30.9688,31.75,30.9375,,,,,,
2000-07-11 00:00:00,,,,31.625,32.25,31.0625,,,,,,
2000-07-12 00:00:00,,,,32.5,32.5,32.0313,,,,,,
2000-07-13 00:00:00,,,,32.3125,32.3125,31.5938,,,,,,
2000-07-14 00:00:00,,,,31.6875,32.125,31.4063,,,,,,
2000-07-17 00:00:00,,,,31.375,31.5,30.6875,,,,,,
2000-07-18 00:00:00,,,,30.25,30.8438,30.25,,,,,,
2000-07-19 00:00:00,,,,31.1875,31.2188,30.5,,,,,,
2000-07-20 00:00:00,,,,30.9375,32.5,30.9375,,,,,,
2000-07-21 00:00:00,,,,32.5625,32.7188,32.125,,,,,,
