Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,6.25,6.5313,6.2188,,,,0,13,0
2000-05-02 00:00:00,,,,6.5,6.8438,6.4844,,,,,,
2000-05-03 00:00:00,,,,6.7031,6.7969,6.5313,,,,,,
2000-05-04 00:00:00,,,,6.5625,7.0313,6.5313,,,,0,13,0
2000-05-05 00:00:00,,,,6.8594,7.1563,6.8594,,,,,,
2000-05-08 00:00:00,,,,7.0313,7.3594,7,,,,,,
2000-05-09 00:00:00,,,,7.2344,7.3438,6.9375,,,,,,
2000-05-10 00:00:00,,,,7.1094,7.2031,6.9531,,,,,,
2000-05-11 00:00:00,,,,7.25,7.375,7.2031,,,,0,13,0
2000-05-12 00:00:00,,,,7.375,7.4375,7.2188,,,,0,13,0
2000-05-15 00:00:00,,,,7.3906,7.4844,7.375,,,,0,13,0
2000-05-16 00:00:00,,,,7.375,7.375,6.9531,,,,,,
2000-05-17 00:00:00,,,,7.0313,7.625,7,,,,,,
2000-05-18 00:00:00,,,,7.4375,7.7031,7.3125,,,,,,
2000-05-19 00:00:00,,,,7.6875,7.8594,7.5156,,,,,,
2000-05-22 00:00:00,,,,7.7813,7.9844,7.7031,,,,,,
2000-05-23 00:00:00,,,,7.8906,7.9688,7.7656,,,,0,13,0
2000-05-24 00:00:00,,,,7.7969,7.9844,7.6719,,,,,,
2000-05-25 00:00:00,,,,7.875,7.875,7.4219,,,,,,
2000-05-26 00:00:00,,,,7.625,7.7344,7.4531,,,,,,
2000-05-30 00:00:00,,,,7.5,7.8125,7.4531,,,,0,13,0
2000-05-31 00:00:00,,,,7.8125,8.125,7.7969,,,,0,13,0
2000-06-01 00:00:00,,,,8.2188,8.2188,7.8438,,,,0,13,0
2000-06-02 00:00:00,,,,8.0625,8.1094,7.5938,,,,,,
2000-06-05 00:00:00,,,,7.625,7.625,7.4375,,,,0,13,0
2000-06-06 00:00:00,,,,7.4844,7.8594,7.4844,,,,0,13,0
2000-06-07 00:00:00,,,,7.8438,8.0938,7.5625,,,,,,
2000-06-08 00:00:00,,,,7.875,8.25,7.875,,,,0,13,0
2000-06-09 00:00:00,,,,8.0469,8.0469,7.8906,,,,,,
2000-06-12 00:00:00,,,,7.9844,8.2344,7.9688,,,,,,
2000-06-13 00:00:00,,,,8.2031,8.3594,8.1875,,,,,,
2000-06-14 00:00:00,,,,8.3281,8.4844,8.2969,,,,,,
2000-06-15 00:00:00,,,,8.3438,8.4219,8.1406,,,,,,
2000-06-16 00:00:00,,,,8.3438,8.7188,8.3438,,,,,,
2000-06-19 00:00:00,,,,8.625,8.7031,8.375,,,,,,
2000-06-20 00:00:00,,,,8.375,8.4063,8.2188,,,,0,14,0
2000-06-21 00:00:00,,,,8.3906,8.4688,8.1719,,,,,,
2000-06-22 00:00:00,,,,8.5781,8.5781,7.9375,,,,0,14,0
2000-06-23 00:00:00,,,,8.1406,8.3906,8.1406,,,,,,
2000-06-26 00:00:00,,,,8.3125,8.4375,8,,,,,,
2000-06-27 00:00:00,,,,8.0625,8.25,7.9531,,,,,,
2000-06-28 00:00:00,,,,8.2188,8.375,8.125,,,,,,
2000-06-29 00:00:00,,,,8.375,8.5781,8.2813,,,,,,
2000-06-30 00:00:00,,,,8.4375,8.5938,8.1875,,,,,,
2000-07-03 00:00:00,,,,8.3906,8.4375,8.1875,,,,,,
2000-07-05 00:00:00,,,,8.2188,8.2188,7.3125,,,,0,14,0
2000-07-06 00:00:00,,,,7.625,7.6875,6.8281,,,,0,14,0
2000-07-07 00:00:00,,,,7.125,7.5313,7.0469,,,,,,
2000-07-10 00:00:00,,,,7.9844,7.9844,7.5625,,,,,,
