Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,11.6406,11.9063,11.6406,,,,0,6,0
2000-05-02 00:00:00,,,,11.75,11.9219,11.5469,,,,,,
2000-05-03 00:00:00,,,,11.5156,11.6563,11.5156,,,,,,
2000-05-04 00:00:00,,,,11.6563,11.8594,11.5938,,,,,,
2000-05-05 00:00:00,,,,11.8438,12.0313,11.8438,,,,,,
2000-05-08 00:00:00,,,,12.0781,12.1719,11.9375,,,,0,6,0
2000-05-09 00:00:00,,,,12,12,11.6719,,,,,,
2000-05-10 00:00:00,,,,11.5938,11.7031,11.5938,,,,,,
2000-05-11 00:00:00,,,,11.6875,12.0625,11.6875,,,,,,
2000-05-12 00:00:00,,,,12.0625,12.0625,11.8438,,,,,,
2000-05-15 00:00:00,,,,11.8438,11.9531,11.7813,,,,,,
2000-05-16 00:00:00,,,,12.0156,12.2813,12,,,,,,
2000-05-17 00:00:00,,,,12.2031,12.3125,12.125,,,,,,
2000-05-18 00:00:00,,,,12.25,12.3125,11.9375,,,,,,
2000-05-19 00:00:00,,,,12,12,11.875,,,,,,
2000-05-22 00:00:00,,,,11.9219,11.9531,11.7969,,,,,,
2000-05-23 00:00:00,,,,11.8906,12.125,11.875,,,,,,
2000-05-24 00:00:00,,,,12,12.1719,11.7813,,,,,,
2000-05-25 00:00:00,,,,12.1563,12.3125,12.0625,,,,,,
2000-05-26 00:00:00,,,,12.1719,12.4531,12.0938,,,,,,
2000-05-29 00:00:00,,,,,,,,,,0,5,0
2000-05-30 00:00:00,,,,12.4688,12.5625,12.3281,,,,,,
2000-05-31 00:00:00,,,,12.5938,12.6875,12.4375,,,,0,5,0
2000-06-01 00:00:00,,,,12.4844,12.8438,12.4844,,,,0,6,0
2000-06-02 00:00:00,,,,13,13.1875,12.6406,,,,,,
2000-06-05 00:00:00,,,,12.6406,12.6406,12.0781,,,,,,
2000-06-06 00:00:00,,,,12.125,12.5625,12.125,,,,,,
2000-06-07 00:00:00,,,,12.4844,12.6875,12.4375,,,,,,
2000-06-08 00:00:00,,,,12.6406,12.7344,12.4063,,,,,,
2000-06-09 00:00:00,,,,12.5469,12.6563,12.4688,,,,0,6,0
2000-06-12 00:00:00,,,,12.4688,12.4844,12.1875,,,,,,
2000-06-13 00:00:00,,,,12.25,12.375,11.9844,,,,0,6,0
2000-06-14 00:00:00,,,,12.3281,12.3438,12.1406,,,,0,6,0
2000-06-15 00:00:00,,,,12.1563,12.4063,12.1094,,,,,,
2000-06-16 00:00:00,,,,12.2031,12.2969,12.0781,,,,,,
2000-06-19 00:00:00,,,,12.2813,12.3438,12.2188,,,,0,6,0
2000-06-20 00:00:00,,,,12.3281,12.4063,12.1563,,,,,,
2000-06-21 00:00:00,,,,12.4063,12.4375,12.25,,,,,,
2000-06-22 00:00:00,,,,12.2031,12.4219,12.1875,,,,,,
2000-06-23 00:00:00,,,,12.1875,12.2969,11.7344,,,,,,
2000-06-26 00:00:00,,,,12,12.0625,11.7188,,,,,,
2000-06-27 00:00:00,,,,11.7656,11.7656,11.4063,,,,,,
2000-06-28 00:00:00,,,,11.4531,12.0938,11.4531,,,,,,
2000-06-29 00:00:00,,,,12.1563,12.1563,11.8906,,,,,,
2000-06-30 00:00:00,,,,11.9063,12.1719,11.7031,,,,0,6,0
2000-07-03 00:00:00,,,,11.9375,12.0938,11.9063,,,,,,
2000-07-05 00:00:00,,,,12.0625,12.0625,11.7344,,,,,,
