Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,2.2422,2.4531,2.2422,,,,0,6,1
2000-05-02 00:00:00,,,,2.2891,2.3906,2.2891,,,,,,
2000-05-03 00:00:00,,,,2.375,2.375,2.207,,,,,,
2000-05-04 00:00:00,,,,2.25,2.3438,2.2188,,,,,,
2000-05-05 00:00:00,,,,2.3125,2.4648,2.3125,,,,,,
2000-05-08 00:00:00,,,,2.4375,2.5313,2.4063,,,,0,6,1
2000-05-09 00:00:00,,,,2.5586,2.5781,2.4844,,,,,,
2000-05-10 00:00:00,,,,2.5234,2.8906,2.5078,,,,0,6,1
2000-05-11 00:00:00,,,,2.7969,2.9141,2.6914,,,,0,6,1
2000-05-12 00:00:00,,,,2.8594,2.9609,2.8047,,,,,,
2000-05-15 00:00:00,,,,2.8789,3.0625,2.8007999999999997,,,,,,
2000-05-16 00:00:00,,,,3.0938,3.1953,3.0469,,,,,,
2000-05-17 00:00:00,,,,3.0586,3.1367,3.0469,,,,0,7,1
2000-05-18 00:00:00,,,,3.1055,3.125,3.0703,,,,,,
2000-05-19 00:00:00,,,,3.0859,3.1094,2.9375,,,,,,
2000-05-22 00:00:00,,,,2.9375,3.0703,2.9375,,,,,,
2000-05-23 00:00:00,,,,3.0625,3.125,2.9922,,,,,,
2000-05-24 00:00:00,,,,3.0234,3.0234,2.9609,,,,,,
2000-05-25 00:00:00,,,,3.0039,3.125,3.0039,,,,0,7,1
2000-05-26 00:00:00,,,,3.0898,3.1133,3.0313,,,,0,7,1
2000-05-30 00:00:00,,,,3.0742,3.2383,3.0742,,,,,,
2000-05-31 00:00:00,,,,3.1875,3.3906,3.1758,,,,0,7,1
2000-06-01 00:00:00,,,,3.3594,3.5156,3.3125,,,,0,7,1
2000-06-02 00:00:00,,,,3.4492,3.4609,3.125,,,,,,
2000-06-05 00:00:00,,,,3.3672,3.4297,3.3125,,,,,,
2000-06-06 00:00:00,,,,3.375,3.4258,3.3477,,,,,,
2000-06-07 00:00:00,,,,3.3516,3.4531,3.1953,,,,,,
