Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,38.6875,38.875,38.5,,,,0,3,0
2000-05-02 00:00:00,,,,39.125,39.375,39.125,,,,,,
2000-05-03 00:00:00,,,,39.3125,39.5,39.1875,,,,,,
2000-05-04 00:00:00,,,,39.4375,39.875,39.3125,,,,,,
2000-05-05 00:00:00,,,,40.25,41,39.9375,,,,,,
2000-05-08 00:00:00,,,,40.375,40.375,40.0625,,,,,,
2000-05-09 00:00:00,,,,40.125,40.75,39.9375,,,,,,
2000-05-10 00:00:00,,,,40.375,40.4375,40.0625,,,,,,
2000-05-11 00:00:00,,,,40.3125,40.5,39.9375,,,,,,
2000-05-12 00:00:00,,,,40.1875,40.4375,40.1875,,,,,,
2000-05-15 00:00:00,,,,40.4375,41,40.4375,,,,,,
2000-05-16 00:00:00,,,,40.875,41.5,40.8125,,,,,,
2000-05-17 00:00:00,,,,41.25,41.3125,41.0625,,,,,,
2000-05-18 00:00:00,,,,41,41,40.625,,,,,,
2000-05-19 00:00:00,,,,40.8125,40.8125,40.5,,,,,,
2000-05-22 00:00:00,,,,40.5625,40.5625,40.0625,,,,,,
2000-05-23 00:00:00,,,,40.5625,40.5625,40.4375,,,,,,
2000-05-24 00:00:00,,,,40.4375,40.4375,40.125,,,,,,
2000-05-25 00:00:00,,,,40.25,40.5625,39.75,,,,,,
2000-05-26 00:00:00,,,,39.875,39.9375,39.75,,,,,,
2000-05-30 00:00:00,,,,39.9375,40,39.875,,,,,,
2000-05-31 00:00:00,,,,39.875,40.4375,39.75,,,,,,
2000-06-01 00:00:00,,,,39.8125,39.9375,39.6875,,,,,,
2000-06-02 00:00:00,,,,39.8125,40.1875,39.8125,,,,,,
2000-06-05 00:00:00,,,,40,40,39.9375,,,,,,
2000-06-06 00:00:00,,,,40,40.25,39.8125,,,,,,
2000-06-07 00:00:00,,,,40.25,40.25,40,,,,,,
2000-06-08 00:00:00,,,,40.3125,40.375,40.1875,,,,,,
2000-06-09 00:00:00,,,,40.3125,40.5,40.3125,,,,,,
2000-06-12 00:00:00,,,,40.625,40.625,40.4375,,,,,,
2000-06-13 00:00:00,,,,40.5625,41.0625,40.5625,,,,,,
2000-06-14 00:00:00,,,,41.125,41.625,41.0625,,,,,,
2000-06-15 00:00:00,,,,41.5,42.1875,41.3125,,,,0,3,0
2000-06-16 00:00:00,,,,41.8125,42.0625,41.75,,,,,,
2000-06-19 00:00:00,,,,41.875,42.9375,41.875,,,,,,
2000-06-20 00:00:00,,,,43,43.375,42.75,,,,,,
2000-06-21 00:00:00,,,,42.9375,42.9375,42.3125,,,,,,
2000-06-22 00:00:00,,,,42.6875,42.6875,41.625,,,,,,
2000-06-23 00:00:00,,,,42.25,43,42.125,,,,,,
2000-06-26 00:00:00,,,,43.25,43.375,43.0625,,,,,,
2000-06-27 00:00:00,,,,43.375,44,43.375,,,,0,3,0
2000-06-28 00:00:00,,,,43.375,43.375,43.25,,,,,,
2000-06-29 00:00:00,,,,43.3125,43.6875,43.3125,,,,,,
2000-06-30 00:00:00,,,,43.5,43.5,42,,,,0,3,0
2000-07-03 00:00:00,,,,42,42.3125,42,,,,,,
2000-07-05 00:00:00,,,,42.4375,43,42.375,,,,,,
2000-07-06 00:00:00,,,,42.875,43,42.625,,,,,,
2000-07-07 00:00:00,,,,42.6875,42.6875,42.5,,,,,,
2000-07-10 00:00:00,,,,42.4375,42.6875,42.4375,,,,,,
2000-07-11 00:00:00,,,,42.6875,43,42.625,,,,,,
2000-07-12 00:00:00,,,,42.625,43.375,42.625,,,,,,
2000-07-13 00:00:00,,,,43.75,44.25,43.5625,,,,,,
2000-07-14 00:00:00,,,,44.375,44.4375,44,,,,,,
2000-07-17 00:00:00,,,,44.0625,44.1875,43.875,,,,,,
2000-07-18 00:00:00,,,,44.25,44.25,43.9375,,,,,,
2000-07-19 00:00:00,,,,44.1875,44.875,44.1875,,,,,,
2000-07-20 00:00:00,,,,44.4375,45.5,44.4375,,,,,,
2000-07-21 00:00:00,,,,45.5,45.5625,44.75,,,,,,
2000-07-24 00:00:00,,,,45,45.1875,44.875,,,,,,
2000-07-25 00:00:00,,,,45.5625,46.125,45.4375,,,,,,
2000-07-26 00:00:00,,,,45.875,46.375,45.875,,,,,,
2000-07-27 00:00:00,,,,46.875,48,46.6875,,,,0,3,0
2000-07-28 00:00:00,,,,47.9375,49.5,47.75,,,,0,3,0
2000-07-31 00:00:00,,,,49.25,49.625,48.4375,,,,,,
2000-08-01 00:00:00,,,,49.4375,50.125,49.375,,,,,,
2000-08-02 00:00:00,,,,49.875,51.25,49.5,,,,,,
2000-08-03 00:00:00,,,,50.875,51.6875,50.75,,,,,,
2000-08-04 00:00:00,,,,51.3125,51.375,51.0625,,,,,,
2000-08-07 00:00:00,,,,51.4375,52,51,,,,,,
2000-08-08 00:00:00,,,,50.75,51.125,50.4375,,,,,,
2000-08-09 00:00:00,,,,50.375,52,50.375,,,,,,
2000-08-10 00:00:00,,,,52,52,50.875,,,,,,
2000-08-11 00:00:00,,,,50.875,50.875,50.125,,,,,,
2000-08-14 00:00:00,,,,50.625,51.0625,50.5625,,,,,,
2000-08-15 00:00:00,,,,50.8125,50.875,50.5,,,,,,
2000-08-16 00:00:00,,,,50.625,50.875,50.5,,,,,,
2000-08-17 00:00:00,,,,50.75,50.9375,50.6875,,,,,,
2000-08-18 00:00:00,,,,50.6875,51,50.5,,,,,,
2000-08-21 00:00:00,,,,49.875,50.1875,49.5,,,,,,
2000-08-22 00:00:00,,,,49.6875,50.5,49.625,,,,,,
2000-08-23 00:00:00,,,,50.4375,50.4375,49.6875,,,,,,
2000-08-24 00:00:00,,,,49.6875,49.8125,49.625,,,,,,
2000-08-25 00:00:00,,,,49.625,50,49.5,,,,,,
2000-08-28 00:00:00,,,,50.0625,50.0625,49.5625,,,,,,
2000-08-29 00:00:00,,,,49.5625,49.625,49.5,,,,,,
2000-08-30 00:00:00,,,,49.5,49.5,49.0625,,,,,,
2000-08-31 00:00:00,,,,49.25,49.3125,49.125,,,,0,4,0
2000-09-01 00:00:00,,,,49.125,49.1875,49.125,,,,,,
2000-09-05 00:00:00,,,,49.125,49.125,48.875,,,,,,
2000-09-06 00:00:00,,,,48.875,48.9375,48.8125,,,,,,
2000-09-07 00:00:00,,,,48.9375,49.125,48.9375,,,,,,
2000-09-08 00:00:00,,,,49.1875,50.3125,49.1875,,,,,,
2000-09-11 00:00:00,,,,50.625,51.4375,50.5,,,,,,
2000-09-12 00:00:00,,,,50.75,51.375,50.5625,,,,,,
2000-09-13 00:00:00,,,,51.3125,51.875,51.25,,,,,,
2000-09-14 00:00:00,,,,51.625,52.375,51.625,,,,,,
2000-09-15 00:00:00,,,,51.9375,53.0625,51.75,,,,,,
2000-09-18 00:00:00,,,,53,53.4375,52.625,,,,,,
2000-09-19 00:00:00,,,,52.875,53.75,52.75,,,,,,
2000-09-20 00:00:00,,,,53.875,54.5,53.8125,,,,,,
2000-09-21 00:00:00,,,,54.625,54.625,53.9375,,,,,,
2000-09-22 00:00:00,,,,53.9375,55.25,53.9375,,,,,,
2000-09-25 00:00:00,,,,55.25,55.25,54.125,,,,,,
2000-09-26 00:00:00,,,,54.4375,55,54.1875,,,,,,
2000-09-27 00:00:00,,,,54.3125,55.0625,54.125,,,,,,
2000-09-28 00:00:00,,,,54.875,56.5,54.875,,,,,,
2000-09-29 00:00:00,,,,56.4375,56.4375,55.25,,,,,,
2000-10-02 00:00:00,,,,55.625,56,55.1875,,,,0,4,0
2000-10-03 00:00:00,,,,55.1875,56,55.1875,,,,,,
2000-10-04 00:00:00,,,,55.1875,55.375,54.75,,,,,,
2000-10-05 00:00:00,,,,55.3125,55.5625,54.625,,,,,,
