Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,218.75,218.75,207.5,,,,0,3,0
2000-05-02 00:00:00,,,,203.125,204.375,196.25,,,,,,
2000-05-03 00:00:00,,,,194.375,195,188.125,,,,,,
2000-05-04 00:00:00,,,,195.625,203.125,193.125,,,,,,
2000-05-05 00:00:00,,,,199.375,203.75,195,,,,,,
2000-05-08 00:00:00,,,,198.125,210,197.5,,,,0,3,0
2000-05-09 00:00:00,,,,208.125,215,203.125,,,,0,3,0
2000-05-10 00:00:00,,,,202.1875,203.125,191.25,,,,,,
2000-05-11 00:00:00,,,,202.5,206.25,191.25,,,,,,
2000-05-12 00:00:00,,,,197.5,201.25,196.875,,,,,,
2000-05-15 00:00:00,,,,200.625,207.5,193.125,,,,0,3,0
2000-05-16 00:00:00,,,,208.75,212.5,200.625,,,,0,3,0
2000-05-17 00:00:00,,,,200.625,203.75,196.875,,,,,,
2000-05-18 00:00:00,,,,200,202.5,194.375,,,,,,
2000-05-19 00:00:00,,,,196.25,198.75,192.5,,,,,,
2000-05-22 00:00:00,,,,193.125,193.125,153.125,,,,,,
2000-05-23 00:00:00,,,,166.25,169.375,156.25,,,,,,
2000-05-24 00:00:00,,,,156.25,157.5,131.25,,,,,,
2000-05-25 00:00:00,,,,146.25,157.5,145.625,,,,,,
2000-05-26 00:00:00,,,,151.875,154.375,145,,,,,,
2000-05-30 00:00:00,,,,151.25,160,149.375,,,,,,
2000-05-31 00:00:00,,,,158.125,166.25,153.125,,,,0,3,0
2000-06-01 00:00:00,,,,155.625,166.25,151.875,,,,0,3,0
2000-06-02 00:00:00,,,,178.75,188.125,178.75,,,,,,
2000-06-05 00:00:00,,,,182.5,190,175.625,,,,,,
2000-06-06 00:00:00,,,,179.375,181.25,168.75,,,,,,
2000-06-07 00:00:00,,,,182.5,192.5,175,,,,,,
2000-06-08 00:00:00,,,,193.125,194.375,177.5,,,,,,
2000-06-09 00:00:00,,,,184.375,187.5,178.75,,,,0,3,0
2000-06-12 00:00:00,,,,181.875,183.125,175,,,,,,
2000-06-13 00:00:00,,,,175,178.125,167.5,,,,,,
2000-06-14 00:00:00,,,,172.5,173.125,163.75,,,,,,
2000-06-15 00:00:00,,,,167.5,175,163.75,,,,,,
2000-06-16 00:00:00,,,,174.375,176.25,170,,,,,,
2000-06-19 00:00:00,,,,174.375,180,170.625,,,,,,
2000-06-20 00:00:00,,,,180.625,185,178.125,,,,,,
2000-06-21 00:00:00,,,,181.25,186.875,175,,,,,,
2000-06-22 00:00:00,,,,180.625,181.25,173.125,,,,,,
2000-06-23 00:00:00,,,,175.625,175.625,170,,,,,,
2000-06-26 00:00:00,,,,170.625,171.25,163.125,,,,,,
2000-06-27 00:00:00,,,,165.625,167.5,160,,,,,,
2000-06-28 00:00:00,,,,161.25,170,160,,,,,,
2000-06-29 00:00:00,,,,166.25,176.875,164.375,,,,,,
2000-06-30 00:00:00,,,,169.375,171.875,161.875,,,,,,
2000-07-03 00:00:00,,,,165,165.625,162.5,,,,,,
2000-07-05 00:00:00,,,,161.875,168.75,161.25,,,,,,
2000-07-06 00:00:00,,,,163.75,165,158.75,,,,,,
2000-07-07 00:00:00,,,,160.625,163.125,156.25,,,,0,3,0
2000-07-10 00:00:00,,,,158.125,160,155.625,,,,,,
2000-07-11 00:00:00,,,,158.125,160.625,155.625,,,,,,
2000-07-12 00:00:00,,,,161.875,170,160,,,,,,
2000-07-13 00:00:00,,,,167.5,184.8438,164.375,,,,,,
2000-07-14 00:00:00,,,,183.75,198.75,178.75,,,,,,
2000-07-17 00:00:00,,,,198.75,199.375,188.75,,,,,,
2000-07-18 00:00:00,,,,188.125,188.125,177.5,,,,,,
2000-07-19 00:00:00,,,,190,197.5,176.25,,,,,,
2000-07-20 00:00:00,,,,179.375,183.125,177.5,,,,0,3,0
2000-07-21 00:00:00,,,,179.375,179.375,173.125,,,,,,
2000-07-24 00:00:00,,,,174.375,174.375,163.125,,,,,,
2000-07-25 00:00:00,,,,166.25,171.875,160.625,,,,,,
2000-07-26 00:00:00,,,,168.75,170,159.375,,,,,,
2000-07-27 00:00:00,,,,160.625,161.25,152.5,,,,,,
2000-07-28 00:00:00,,,,155,157.5,143.75,,,,,,
2000-07-31 00:00:00,,,,146.875,151.25,143.75,,,,,,
2000-08-01 00:00:00,,,,151.25,151.875,143.125,,,,,,
