Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.75,3.75,3.625,,,,0,3,0
2000-05-02 00:00:00,,,,3.656,3.6879999999999997,3.609,,,,,,
2000-05-03 00:00:00,,,,3.547,3.641,3.516,,,,,,
2000-05-04 00:00:00,,,,3.594,3.6879999999999997,3.5629999999999997,,,,,,
2000-05-05 00:00:00,,,,3.719,3.844,3.719,,,,0,3,0
2000-05-08 00:00:00,,,,3.844,3.875,3.797,,,,,,
2000-05-09 00:00:00,,,,3.859,3.875,3.75,,,,,,
2000-05-10 00:00:00,,,,3.75,3.844,3.719,,,,,,
2000-05-11 00:00:00,,,,3.797,3.875,3.6879999999999997,,,,,,
2000-05-12 00:00:00,,,,3.734,3.922,3.734,,,,,,
2000-05-15 00:00:00,,,,3.875,4.188,3.875,,,,,,
2000-05-16 00:00:00,,,,4.125,4.234,4.078,,,,,,
2000-05-17 00:00:00,,,,4.125,4.125,3.953,,,,0,3,0
2000-05-18 00:00:00,,,,4,4.031,3.859,,,,,,
2000-05-19 00:00:00,,,,3.891,3.906,3.828,,,,,,
2000-05-22 00:00:00,,,,3.859,3.906,3.828,,,,,,
2000-05-23 00:00:00,,,,3.875,3.969,3.875,,,,,,
2000-05-24 00:00:00,,,,3.906,4.188,3.906,,,,,,
2000-05-25 00:00:00,,,,4.078,4.406,4.078,,,,,,
2000-05-26 00:00:00,,,,4.359,4.516,4.328,,,,,,
2000-05-30 00:00:00,,,,4.5,4.953,4.5,,,,,,
2000-05-31 00:00:00,,,,4.938,5.156,4.938,,,,,,
2000-06-01 00:00:00,,,,5.016,5.031,4.859,,,,,,
2000-06-02 00:00:00,,,,4.969,5,4.672,,,,,,
2000-06-05 00:00:00,,,,4.734,4.734,4.531,,,,,,
2000-06-06 00:00:00,,,,4.563,4.563,4.203,,,,,,
2000-06-07 00:00:00,,,,4.375,4.656,4.375,,,,,,
2000-06-08 00:00:00,,,,4.563,4.625,4.547,,,,,,
2000-06-09 00:00:00,,,,4.594,4.75,4.578,,,,,,
2000-06-12 00:00:00,,,,4.656,4.734,4.594,,,,,,
2000-06-13 00:00:00,,,,4.625,4.641,4.547,,,,,,
2000-06-14 00:00:00,,,,4.656,4.656,4.547,,,,,,
2000-06-15 00:00:00,,,,4.609,4.656,4.578,,,,,,
2000-06-16 00:00:00,,,,4.594,4.609,4.484,,,,,,
2000-06-19 00:00:00,,,,4.391,4.594,4.391,,,,,,
2000-06-20 00:00:00,,,,4.5,4.516,4.406,,,,,,
2000-06-21 00:00:00,,,,4.484,4.75,4.469,,,,,,
2000-06-22 00:00:00,,,,4.688,5.125,4.578,,,,,,
2000-06-23 00:00:00,,,,4.891,5.078,4.891,,,,,,
2000-06-26 00:00:00,,,,5,5.063,4.813,,,,,,
2000-06-27 00:00:00,,,,4.969,5,4.688,,,,,,
2000-06-28 00:00:00,,,,4.688,5.125,4.531,,,,,,
2000-06-29 00:00:00,,,,5.141,5.25,5.063,,,,,,
2000-06-30 00:00:00,,,,5.078,5.125,4.625,,,,,,
2000-07-03 00:00:00,,,,4.719,5.188,4.719,,,,,,
2000-07-05 00:00:00,,,,5.141,5.188,4.906,,,,,,
2000-07-06 00:00:00,,,,4.953,5.109,4.953,,,,,,
2000-07-07 00:00:00,,,,5.125,5.156,5,,,,,,
2000-07-10 00:00:00,,,,5.141,5.328,5.141,,,,,,
