Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,20.6563,21.0938,20.625,,,,0,5,2
2000-05-02 00:00:00,,,,20.875,21.0625,20.3125,,,,,,
2000-05-03 00:00:00,,,,20.5625,20.7813,20.375,,,,,,
2000-05-04 00:00:00,,,,20.7813,21.8125,20.7813,,,,,,
2000-05-05 00:00:00,,,,21.25,21.5,20.9063,,,,,,
2000-05-08 00:00:00,,,,21.5,22.4688,21.5,,,,0,6,2
2000-05-09 00:00:00,,,,22,22.0313,21.5938,,,,,,
2000-05-10 00:00:00,,,,22.0313,22.6875,21.9375,,,,,,
2000-05-11 00:00:00,,,,22.2813,22.875,22.1875,,,,,,
2000-05-12 00:00:00,,,,22.5625,22.625,22,,,,0,6,2
2000-05-15 00:00:00,,,,22.2188,22.875,22.2188,,,,,,
2000-05-16 00:00:00,,,,22.5313,22.5313,21.7188,,,,,,
2000-05-17 00:00:00,,,,22.5,22.5,21.4375,,,,,,
2000-05-18 00:00:00,,,,21.625,22.1563,21.625,,,,,,
2000-05-19 00:00:00,,,,21.5625,21.9688,21.4063,,,,,,
2000-05-22 00:00:00,,,,22.0625,22.8438,22.0625,,,,,,
2000-05-23 00:00:00,,,,22.5313,22.875,22.4375,,,,,,
2000-05-24 00:00:00,,,,22.5,23.4063,22.5,,,,0,6,2
2000-05-25 00:00:00,,,,22.8125,22.9063,22.375,,,,,,
2000-05-26 00:00:00,,,,22.625,23.0313,22.5313,,,,0,6,2
2000-05-30 00:00:00,,,,22.625,22.6875,22,,,,,,
2000-05-31 00:00:00,,,,22.0625,22.4688,21.9688,,,,0,6,3
2000-06-01 00:00:00,,,,21.8438,21.9063,21.5,,,,,,
2000-06-02 00:00:00,,,,21.6875,21.8438,21.4063,,,,0,6,3
2000-06-05 00:00:00,,,,21.5625,21.6875,20.8438,,,,,,
2000-06-06 00:00:00,,,,21.125,21.7188,21.0625,,,,,,
2000-06-07 00:00:00,,,,21.1563,21.3125,20.875,,,,,,
2000-06-08 00:00:00,,,,20.7813,21.5625,20.75,,,,,,
2000-06-09 00:00:00,,,,21.2813,22.1875,21.25,,,,0,6,3
2000-06-12 00:00:00,,,,22.0313,22.4688,22.0313,,,,,,
2000-06-13 00:00:00,,,,22.0938,22.6875,22,,,,,,
2000-06-14 00:00:00,,,,22.0625,22.0938,21.375,,,,,,
2000-06-15 00:00:00,,,,21.5,21.8125,21.25,,,,,,
2000-06-16 00:00:00,,,,21.5625,21.9688,21.2188,,,,,,
2000-06-19 00:00:00,,,,21.7188,21.7813,21.1875,,,,,,
2000-06-20 00:00:00,,,,20.9375,21.375,20.9063,,,,,,
2000-06-21 00:00:00,,,,21.2188,21.75,21.1875,,,,,,
2000-06-22 00:00:00,,,,21.1875,21.3125,20.75,,,,,,
2000-06-23 00:00:00,,,,21.125,21.4063,21,,,,,,
2000-06-26 00:00:00,,,,21.1875,21.5625,21.125,,,,0,6,3
2000-06-27 00:00:00,,,,21.25,21.3438,20.5938,,,,,,
2000-06-28 00:00:00,,,,20.7188,21.5313,20.2813,,,,,,
2000-06-29 00:00:00,,,,21.625,21.6875,20.8438,,,,,,
2000-06-30 00:00:00,,,,20.9375,21.4063,20.125,,,,,,
