Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.3281,7.9844,7.3125,,,,0,2,0
2000-05-02 00:00:00,,,,7.7969,7.9688,7.75,,,,,,
2000-05-03 00:00:00,,,,7.7031,8.0156,7.6563,,,,,,
2000-05-04 00:00:00,,,,7.7813,8.2109,7.7344,,,,,,
2000-05-05 00:00:00,,,,8.0156,8.25,8.0156,,,,,,
2000-05-08 00:00:00,,,,8.2188,8.3594,8.1719,,,,,,
2000-05-09 00:00:00,,,,8.375,8.4453,8.2656,,,,0,2,0
2000-05-10 00:00:00,,,,8.3438,8.3984,8.0625,,,,,,
2000-05-11 00:00:00,,,,8,8.5938,7.8828,,,,,,
2000-05-12 00:00:00,,,,8.4844,8.9375,8.4063,,,,,,
2000-05-15 00:00:00,,,,8.6016,8.9688,8.5469,,,,,,
2000-05-16 00:00:00,,,,8.7813,9.1641,8.7813,,,,,,
2000-05-17 00:00:00,,,,8.7969,8.8438,8.6094,,,,,,
2000-05-18 00:00:00,,,,8.8594,8.875,8.625,,,,,,
2000-05-19 00:00:00,,,,8.5625,8.625,8.2188,,,,0,2,0
2000-05-22 00:00:00,,,,8.2734,8.3125,7.625,,,,,,
2000-05-23 00:00:00,,,,8.125,8.4805,7.7656,,,,,,
2000-05-24 00:00:00,,,,7.7656,8.0469,7.5,,,,,,
2000-05-25 00:00:00,,,,8.0313,8.375,7.8301,,,,,,
2000-05-26 00:00:00,,,,7.8125,7.8516,7.375,,,,,,
2000-05-30 00:00:00,,,,7.4531,8.125,7.4219,,,,0,2,0
2000-05-31 00:00:00,,,,7.8047,8.0391,7.7734,,,,,,
2000-06-01 00:00:00,,,,7.8906,8.2656,7.8906,,,,0,3,0
2000-06-02 00:00:00,,,,8.2813,8.3438,8.1875,,,,,,
2000-06-05 00:00:00,,,,8.2031,8.25,7.8438,,,,,,
2000-06-06 00:00:00,,,,8.125,8.125,7.6563,,,,,,
2000-06-07 00:00:00,,,,7.6992,7.9375,7.4531,,,,,,
2000-06-08 00:00:00,,,,7.4453,7.4688,7.1875,,,,,,
2000-06-09 00:00:00,,,,7.2813,7.3438,6.8438,,,,,,
2000-06-12 00:00:00,,,,6.9844,6.9844,5.6563,,,,,,
2000-06-13 00:00:00,,,,6.0469,6.9219,6.0313,,,,,,
2000-06-14 00:00:00,,,,6.8125,6.9609,6.4375,,,,0,3,0
2000-06-15 00:00:00,,,,6.5703,6.7656,6.4063,,,,,,
