Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,23.844,24.125,21.5,,,,0,2,0
2000-05-02 00:00:00,,,,21.594,22.938,20.625,,,,,,
2000-05-03 00:00:00,,,,20.563,21.188,19.5,,,,,,
2000-05-04 00:00:00,,,,20.969,21.125,19.5,,,,,,
2000-05-05 00:00:00,,,,18.25,18.563,16.656,,,,,,
2000-05-08 00:00:00,,,,17.531,17.875,16.563,,,,,,
2000-05-09 00:00:00,,,,17.313,17.375,15.5,,,,,,
2000-05-10 00:00:00,,,,15.656,15.656,14.563,,,,,,
2000-05-11 00:00:00,,,,15,16.219,14.188,,,,,,
2000-05-12 00:00:00,,,,15.5,17.125,15.375,,,,,,
2000-05-15 00:00:00,,,,16.25,16.75,15.094,,,,,,
2000-05-16 00:00:00,,,,17.344,19,16.5,,,,,,
2000-05-17 00:00:00,,,,18.063,21.875,18.031,,,,,,
2000-05-18 00:00:00,,,,21.063,21.063,18,,,,,,
2000-05-19 00:00:00,,,,17.25,18.125,16.75,,,,,,
2000-05-22 00:00:00,,,,17.156,17.25,15.125,,,,,,
2000-05-23 00:00:00,,,,16.875,19.5,15.875,,,,0,2,0
2000-05-24 00:00:00,,,,15.813,16.938,14.906,,,,,,
2000-05-25 00:00:00,,,,16.625,17.797,15.25,,,,,,
2000-05-26 00:00:00,,,,15.953,16.063,15.031,,,,,,
2000-05-30 00:00:00,,,,16.25,17.063,16.063,,,,,,
2000-05-31 00:00:00,,,,16.813,17.75,16.063,,,,,,
2000-06-01 00:00:00,,,,16.531,18.563,16.438,,,,,,
2000-06-02 00:00:00,,,,19.68,20.625,18.75,,,,0,2,0
2000-06-05 00:00:00,,,,20.25,22.625,20.063,,,,,,
2000-06-06 00:00:00,,,,22,22.75,20.875,,,,,,
2000-06-07 00:00:00,,,,21.375,21.938,20.313,,,,,,
2000-06-08 00:00:00,,,,21.969,24.188,21.875,,,,,,
2000-06-09 00:00:00,,,,25,25,23.625,,,,,,
2000-06-12 00:00:00,,,,24.563,24.875,21.625,,,,0,3,0
2000-06-13 00:00:00,,,,22.375,23.344,20,,,,,,
2000-06-14 00:00:00,,,,23.25,23.75,21.719,,,,0,3,0
2000-06-15 00:00:00,,,,22.688,22.719,21,,,,,,
2000-06-16 00:00:00,,,,21.25,22,20.875,,,,,,
2000-06-19 00:00:00,,,,21.359,21.375,20.25,,,,,,
2000-06-20 00:00:00,,,,21,22.625,20.938,,,,,,
2000-06-21 00:00:00,,,,22.219,24,21.5,,,,,,
2000-06-22 00:00:00,,,,24.375,25.625,24,,,,0,4,0
2000-06-23 00:00:00,,,,25.484,26.063,23.813,,,,,,
2000-06-26 00:00:00,,,,24.25,24.438,23.25,,,,,,
2000-06-27 00:00:00,,,,24.219,26.125,23.688,,,,,,
2000-06-28 00:00:00,,,,24.375,25.938,24.031,,,,,,
2000-06-29 00:00:00,,,,24.5,26.875,24,,,,,,
2000-06-30 00:00:00,,,,26.75,28.875,26.063,,,,,,
2000-07-03 00:00:00,,,,27.25,27.313,25.75,,,,,,
2000-07-05 00:00:00,,,,25.328,25.5,23.813,,,,,,
2000-07-06 00:00:00,,,,24.25,24.688,23.469,,,,,,
2000-07-07 00:00:00,,,,23.875,23.875,21.625,,,,,,
2000-07-10 00:00:00,,,,21.875,22.563,21.75,,,,,,
2000-07-11 00:00:00,,,,23.188,24.656,22.5,,,,,,
2000-07-12 00:00:00,,,,24.031,24.031,22.625,,,,,,
2000-07-13 00:00:00,,,,22.969,27.813,22.938,,,,,,
2000-07-14 00:00:00,,,,28,28.25,25,,,,,,
2000-07-17 00:00:00,,,,27.188,27.75,25.813,,,,0,4,0
2000-07-18 00:00:00,,,,26.563,27.125,25.031,,,,,,
2000-07-19 00:00:00,,,,25.906,26.219,24.25,,,,,,
2000-07-20 00:00:00,,,,24.906,26.5,23.5,,,,,,
2000-07-21 00:00:00,,,,24.625,24.625,22.875,,,,0,4,0
2000-07-24 00:00:00,,,,23.5,23.75,21,,,,,,
2000-07-25 00:00:00,,,,22.188,22.344,20.313,,,,,,
2000-07-26 00:00:00,,,,19.563,25.125,19.125,,,,0,4,0
2000-07-27 00:00:00,,,,23.656,23.781,22.031,,,,0,4,0
2000-07-28 00:00:00,,,,22.438,25.219,21.031,,,,,,
2000-07-31 00:00:00,,,,21.656,23.25,20.125,,,,,,
2000-08-01 00:00:00,,,,22.75,24.563,22.188,,,,,,
2000-08-02 00:00:00,,,,23.344,23.5,21.438,,,,,,
2000-08-03 00:00:00,,,,20.875,22.594,20.25,,,,,,
2000-08-04 00:00:00,,,,22.781,23.438,22.25,,,,,,
2000-08-07 00:00:00,,,,23.313,23.75,22.75,,,,,,
2000-08-08 00:00:00,,,,23.125,23.625,22.375,,,,,,
2000-08-09 00:00:00,,,,23.188,23.875,22.594,,,,,,
2000-08-10 00:00:00,,,,23.125,23.25,22.656,,,,,,
2000-08-11 00:00:00,,,,22.844,23,22.313,,,,,,
2000-08-14 00:00:00,,,,22.938,23.438,22.531,,,,,,
2000-08-15 00:00:00,,,,23.203,23.813,22.5,,,,,,
2000-08-16 00:00:00,,,,23.172,24.5,22.938,,,,,,
2000-08-17 00:00:00,,,,24,26.469,23.781,,,,,,
2000-08-18 00:00:00,,,,25.969,26.219,24.938,,,,,,
2000-08-21 00:00:00,,,,25.719,27.625,25.688,,,,,,
2000-08-22 00:00:00,,,,27.344,27.344,25.719,,,,,,
2000-08-23 00:00:00,,,,25.781,25.813,24.438,,,,,,
2000-08-24 00:00:00,,,,25.125,25.406,24.063,,,,,,
2000-08-25 00:00:00,,,,24.656,24.969,23.938,,,,,,
2000-08-28 00:00:00,,,,25.313,27.125,25.156,,,,,,
2000-08-29 00:00:00,,,,26.375,27,25.188,,,,,,
2000-08-30 00:00:00,,,,25.609,26.563,25.406,,,,,,
2000-08-31 00:00:00,,,,26.344,30,26.219,,,,,,
2000-09-01 00:00:00,,,,30.625,30.75,28.063,,,,,,
2000-09-05 00:00:00,,,,29.719,30.625,28.75,,,,,,
