Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,0.9844,1.0469,0.9453,,,,,,
2000-05-02 00:00:00,,,,1.0625,1.2422,1.0234,,,,,,
2000-05-03 00:00:00,,,,1.125,1.1875,1.1133,,,,,,
2000-05-04 00:00:00,,,,1.1875,1.2109,1.1719,,,,,,
2000-05-05 00:00:00,,,,1.1875,1.2031,1.1562999999999999,,,,,,
2000-05-08 00:00:00,,,,1.1719,1.2344,1.125,,,,,,
2000-05-09 00:00:00,,,,1.1562999999999999,1.25,1.1406,,,,,,
2000-05-10 00:00:00,,,,1.2187999999999999,1.2266,1.1406,,,,,,
2000-05-11 00:00:00,,,,1.2109,1.3594,1.2109,,,,,,
2000-05-12 00:00:00,,,,1.2812999999999999,1.3594,1.2578,,,,,,
2000-05-15 00:00:00,,,,1.25,1.2772999999999999,1.2187999999999999,,,,,,
2000-05-16 00:00:00,,,,1.25,1.2656,1.125,,,,,,
2000-05-17 00:00:00,,,,1.1875,1.2031,1.1719,,,,,,
2000-05-18 00:00:00,,,,1.1719,1.1875,1.1562999999999999,,,,,,
2000-05-19 00:00:00,,,,1.125,1.25,1.125,,,,,,
2000-05-22 00:00:00,,,,1.2031,1.2031,1.0937999999999999,,,,,,
2000-05-23 00:00:00,,,,1.0977,1.1328,1.0937999999999999,,,,,,
2000-05-24 00:00:00,,,,1.0937999999999999,1.1719,1.0937999999999999,,,,,,
2000-05-25 00:00:00,,,,1.0781,1.0781,0.9844,,,,,,
2000-05-26 00:00:00,,,,0.9688,1.0937999999999999,0.9688,,,,,,
2000-05-30 00:00:00,,,,0.9688,0.9688,0.9375,,,,,,
2000-05-31 00:00:00,,,,0.9531,0.9688,0.8555,,,,,,
2000-06-01 00:00:00,,,,0.873,0.875,0.8594,,,,,,
2000-06-02 00:00:00,,,,0.875,0.8906,0.8438,,,,,,
2000-06-05 00:00:00,,,,0.8594,0.8594,0.7969,,,,,,
2000-06-06 00:00:00,,,,0.8066,0.8086,0.6875,,,,,,
2000-06-07 00:00:00,,,,0.7344,0.7344,0.6875,,,,,,
2000-06-08 00:00:00,,,,0.6914,0.7109,0.6563,,,,,,
2000-06-09 00:00:00,,,,0.6875,0.6875,0.6563,,,,,,
2000-06-12 00:00:00,,,,0.6699,0.7813,0.668,,,,,,
2000-06-13 00:00:00,,,,0.8418,0.8418,0.75,,,,,,
2000-06-14 00:00:00,,,,0.7813,0.7813,0.75,,,,,,
2000-06-15 00:00:00,,,,0.7969,0.7969,0.7578,,,,,,
2000-06-16 00:00:00,,,,0.7773,0.8281,0.7656,,,,,,
2000-06-19 00:00:00,,,,0.7813,0.7813,0.75,,,,,,
2000-06-20 00:00:00,,,,0.7813,0.8281,0.7656,,,,,,
2000-06-21 00:00:00,,,,0.7813,0.7813,0.75,,,,,,
2000-06-22 00:00:00,,,,0.7695,0.7969,0.7656,,,,,,
2000-06-23 00:00:00,,,,0.7734,0.8281,0.7188,,,,,,
2000-06-26 00:00:00,,,,0.7422,0.7578,0.7266,,,,,,
2000-06-27 00:00:00,,,,0.7578,0.7578,0.7227,,,,,,
2000-06-28 00:00:00,,,,0.75,0.75,0.7344,,,,,,
2000-06-29 00:00:00,,,,0.7578,0.7891,0.7266,,,,,,
2000-06-30 00:00:00,,,,0.7578,0.875,0.7031,,,,,,
2000-07-03 00:00:00,,,,0.8047,0.875,0.8047,,,,,,
2000-07-05 00:00:00,,,,0.8887,1.1094,0.8828,,,,,,
2000-07-06 00:00:00,,,,0.9531,0.9531,0.8516,,,,,,
2000-07-07 00:00:00,,,,0.9297,1.0313,0.9219,,,,,,
2000-07-10 00:00:00,,,,1.0313,1.0391,1.0156,,,,,,
2000-07-11 00:00:00,,,,1.0273,1.0625,1.0156,,,,,,
2000-07-12 00:00:00,,,,1.0625,1.2344,1.0586,,,,,,
2000-07-13 00:00:00,,,,1.1406,1.25,1.0469,,,,,,
2000-07-14 00:00:00,,,,1.0547,1.125,1.0547,,,,,,
2000-07-17 00:00:00,,,,1.0586,1.1406,1.0547,,,,,,
2000-07-18 00:00:00,,,,1.0625,1.0625,1.0547,,,,,,
2000-07-19 00:00:00,,,,1.0781,1.1094,1.0625,,,,,,
2000-07-20 00:00:00,,,,1.1094,1.1094,0.9453,,,,,,
2000-07-21 00:00:00,,,,0.9531,1.0469,0.9453,,,,,,
2000-07-24 00:00:00,,,,1.0039,1.0625,0.9688,,,,,,
2000-07-25 00:00:00,,,,1.0039,1.0625,0.9375,,,,,,
2000-07-26 00:00:00,,,,1.0234,1.0547,1.0195,,,,,,
2000-07-27 00:00:00,,,,1.0156,1.0313,0.9531,,,,,,
2000-07-28 00:00:00,,,,0.9844,1,0.9844,,,,,,
2000-07-31 00:00:00,,,,1.0156,1.0156,0.9688,,,,,,
2000-08-01 00:00:00,,,,1.0234,1.0234,0.9688,,,,,,
2000-08-02 00:00:00,,,,1.0937999999999999,1.0937999999999999,0.9844,,,,,,
2000-08-03 00:00:00,,,,0.9844,1,0.9688,,,,,,
2000-08-04 00:00:00,,,,0.9688,0.9844,0.9375,,,,,,
2000-08-07 00:00:00,,,,0.9766,1,0.8828,,,,,,
2000-08-08 00:00:00,,,,0.9063,0.9688,0.8828,,,,,,
2000-08-09 00:00:00,,,,0.9375,0.9375,0.8906,,,,,,
2000-08-10 00:00:00,,,,0.9688,0.9688,0.8906,,,,,,
2000-08-11 00:00:00,,,,0.9023,0.9531,0.8594,,,,,,
2000-08-14 00:00:00,,,,0.8594,0.9375,0.8594,,,,,,
2000-08-15 00:00:00,,,,0.9063,0.9219,0.7891,,,,,,
2000-08-16 00:00:00,,,,0.8555,0.9063,0.8359,,,,,,
2000-08-17 00:00:00,,,,0.8672,0.9063,0.8438,,,,,,
2000-08-18 00:00:00,,,,0.8672,0.875,0.8359,,,,,,
2000-08-21 00:00:00,,,,0.8633,0.9297,0.8594,,,,,,
2000-08-22 00:00:00,,,,0.9219,0.9297,0.8438,,,,,,
2000-08-23 00:00:00,,,,0.8594,0.875,0.8594,,,,,,
2000-08-24 00:00:00,,,,0.8672,0.8828,0.8516,,,,,,
2000-08-25 00:00:00,,,,0.8594,0.8906,0.8594,,,,,,
2000-08-28 00:00:00,,,,0.9063,0.9063,0.8125,,,,,,
2000-08-29 00:00:00,,,,0.8438,0.8516,0.7578,,,,,,
