Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,10.5,14.0625,10.5,,,,0,0,1
2000-12-04 00:00:00,,,,13.875,15,13.625,,,,,,
2000-12-05 00:00:00,,,,15.5,15.5,15,,,,,,
2000-12-06 00:00:00,,,,15,15.1875,15,,,,,,
2000-12-07 00:00:00,,,,15,15,14.8125,,,,,,
2000-12-08 00:00:00,,,,14.9688,15,14.9688,,,,,,
2000-12-11 00:00:00,,,,14.9375,15.1875,14.8125,,,,,,
2000-12-12 00:00:00,,,,14.875,15.1563,14.875,,,,,,
2000-12-13 00:00:00,,,,15.25,15.375,15.25,,,,,,
2000-12-14 00:00:00,,,,15.3125,15.3125,15.25,,,,,,
2000-12-15 00:00:00,,,,15.0625,15.125,14.75,,,,,,
2000-12-18 00:00:00,,,,14.75,15.125,14.75,,,,,,
2000-12-19 00:00:00,,,,15,15.25,15,,,,,,
2000-12-20 00:00:00,,,,15,15,14.625,,,,,,
2000-12-21 00:00:00,,,,14.6875,14.6875,14.375,,,,,,
2000-12-22 00:00:00,,,,14.75,16.5938,14.75,,,,,,
2000-12-26 00:00:00,,,,16.2813,16.4375,16.0625,,,,0,0,1
2000-12-27 00:00:00,,,,16.2188,16.5313,16.2188,,,,,,
2000-12-28 00:00:00,,,,16.3438,16.625,16.3125,,,,,,
2000-12-29 00:00:00,,,,16.5313,16.6563,16,,,,,,
2001-01-02 00:00:00,,,,16.5,17.3125,16.5,,,,,,
2001-01-03 00:00:00,,,,17.4375,17.5625,17.1563,,,,,,
2001-01-04 00:00:00,,,,17.3125,17.375,17.125,,,,,,
2001-01-05 00:00:00,,,,17.2188,17.3438,16.75,,,,,,
2001-01-08 00:00:00,,,,17,17.0313,16.75,,,,,,
2001-01-09 00:00:00,,,,16.7188,16.8125,16.6875,,,,,,
2001-01-10 00:00:00,,,,16.6563,16.8125,16.6563,,,,,,
2001-01-11 00:00:00,,,,16.7813,16.8438,16.5938,,,,,,
2001-01-12 00:00:00,,,,16.6563,16.7188,16.625,,,,0,0,1
2001-01-16 00:00:00,,,,16.375,16.5625,16.375,,,,,,
2001-01-17 00:00:00,,,,16.5,16.875,16.4375,,,,,,
2001-01-18 00:00:00,,,,16.625,16.7813,16.5625,,,,,,
2001-01-19 00:00:00,,,,16.5938,16.6875,16.4063,,,,,,
2001-01-22 00:00:00,,,,16.2188,16.4375,16.0938,,,,,,
2001-01-23 00:00:00,,,,16.125,16.3125,16,,,,,,
2001-01-24 00:00:00,,,,16.25,16.3438,16,,,,,,
2001-01-25 00:00:00,,,,16.25,16.625,16.25,,,,,,
2001-01-26 00:00:00,,,,16.5938,16.7188,16.5313,,,,,,
2001-01-29 00:00:00,,,,16.51,16.59,16.38,,,,,,
2001-01-30 00:00:00,,,,16.285,16.285,15.85,,,,,,
2001-01-31 00:00:00,,,,15.6,16.27,15.6,,,,,,
2001-02-01 00:00:00,,,,15.8,17.9,15.8,,,,0,1,1
2001-02-02 00:00:00,,,,17.2,17.625,17.05,,,,0,2,0
2001-02-05 00:00:00,,,,16.96,17.65,16.85,,,,,,
2001-02-06 00:00:00,,,,16.595,17.595,16.595,,,,,,
2001-02-07 00:00:00,,,,17.505,18.225,17.505,,,,,,
2001-02-08 00:00:00,,,,18,19.005,17.95,,,,,,
2001-02-09 00:00:00,,,,18.815,19.26,18.65,,,,,,
2001-02-12 00:00:00,,,,19.26,19.725,19.13,,,,,,
2001-02-13 00:00:00,,,,19.3,19.95,19.255,,,,,,
2001-02-14 00:00:00,,,,19.35,19.55,19.225,,,,,,
2001-02-15 00:00:00,,,,19.45,19.7,19.45,,,,,,
