Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.8271,7.9028,7.6506,,,,,,
2000-05-02 00:00:00,,,,7.8692,8.0625,7.8271,,,,,,
2000-05-03 00:00:00,,,,7.9364,7.9364,7.8019,,,,,,
2000-05-04 00:00:00,,,,7.6338,7.9364,7.6338,,,,,,
2000-05-05 00:00:00,,,,7.6842,7.9364,7.6842,,,,,,
2000-05-08 00:00:00,,,,7.8524,8.1214,7.8271,,,,,,
2000-05-09 00:00:00,,,,7.9364,8.0457,7.8608,,,,,,
2000-05-10 00:00:00,,,,7.9196,7.9196,7.8187,,,,,,
2000-05-11 00:00:00,,,,7.8439,8.0373,7.8439,,,,,,
2000-05-12 00:00:00,,,,7.9364,8.1214,7.9364,,,,,,
2000-05-15 00:00:00,,,,8.0205,8.5081,8.0205,,,,,,
2000-05-16 00:00:00,,,,8.2475,8.5081,8.2391,,,,,,
2000-05-17 00:00:00,,,,8.4072,8.6931,8.382,,,,,,
2000-05-18 00:00:00,,,,8.5838,8.5922,8.4745,,,,,,
2000-05-19 00:00:00,,,,8.5754,8.6763,8.4409,,,,,,
2000-05-22 00:00:00,,,,8.5417,8.6594,8.5417,,,,,,
2000-05-23 00:00:00,,,,8.6342,8.743500000000001,8.6342,,,,,,
2000-05-24 00:00:00,,,,8.7267,9.021,8.7267,,,,,,
2000-05-25 00:00:00,,,,8.9117,8.9117,8.6258,,,,,,
2000-05-26 00:00:00,,,,8.7099,8.794,8.424,,,,,,
2000-05-30 00:00:00,,,,8.5165,8.5754,8.0373,,,,,,
2000-05-31 00:00:00,,,,8.2391,8.3652,8.1382,,,,,,
2000-06-01 00:00:00,,,,8.2223,8.3736,8.0037,,,,,,
2000-06-02 00:00:00,,,,8.3148,8.3568,8.2559,,,,,,
2000-06-05 00:00:00,,,,8.2727,8.4072,8.0205,,,,,,
2000-06-06 00:00:00,,,,8.0541,8.34,7.9701,,,,,,
2000-06-07 00:00:00,,,,8.1971,8.2727,7.9196,,,,,,
2000-06-08 00:00:00,,,,8.0037,8.1886,7.9701,,,,,,
2000-06-09 00:00:00,,,,8.1886,8.4409,8.1886,,,,,,
2000-06-12 00:00:00,,,,8.4409,8.5502,8.3652,,,,,,
2000-06-13 00:00:00,,,,8.3904,8.4072,8.34,,,,,,
2000-06-14 00:00:00,,,,8.3988,8.651,8.3736,,,,,,
2000-06-15 00:00:00,,,,8.4745,8.4913,8.2391,,,,,,
2000-06-16 00:00:00,,,,8.2559,8.34,8.1718,,,,,,
2000-06-19 00:00:00,,,,8.2811,8.2811,8.0205,,,,,,
2000-06-20 00:00:00,,,,8.0037,8.0541,7.8019,,,,,,
2000-06-21 00:00:00,,,,8.0037,8.1886,7.9196,,,,,,
2000-06-22 00:00:00,,,,8.1382,8.1382,7.9953,,,,,,
2000-06-23 00:00:00,,,,8.0541,8.1046,7.9196,,,,,,
2000-06-26 00:00:00,,,,7.9532,8.0121,7.8187,,,,,,
2000-06-27 00:00:00,,,,7.8355,8.1298,7.7094000000000005,,,,,,
2000-06-28 00:00:00,,,,8.0709,8.0709,7.8187,,,,,,
2000-06-29 00:00:00,,,,8.0121,8.155,7.8608,,,,,,
2000-06-30 00:00:00,,,,7.9112,7.9869,7.8019,,,,,,
2000-07-03 00:00:00,,,,7.8103,8.1886,7.8019,,,,,,
2000-07-05 00:00:00,,,,8.1886,8.2391,7.8019,,,,,,
2000-07-06 00:00:00,,,,7.8776,8.0289,7.8355,,,,,,
2000-07-07 00:00:00,,,,7.9364,8.0037,7.8439,,,,,,
2000-07-10 00:00:00,,,,7.9532,8.1046,7.9532,,,,,,
2000-07-11 00:00:00,,,,8.0373,8.3568,8.0373,,,,,,
2000-07-12 00:00:00,,,,8.2727,8.2811,8.1634,,,,,,
2000-07-13 00:00:00,,,,8.2055,8.3063,8.1886,,,,,,
2000-07-14 00:00:00,,,,8.2559,8.2727,8.0373,,,,,,
2000-07-17 00:00:00,,,,8.1298,8.1886,8.0709,,,,,,
2000-07-18 00:00:00,,,,8.1466,8.2139,8.1298,,,,,,
2000-07-19 00:00:00,,,,8.1886,8.1886,7.8524,,,,,,
2000-07-20 00:00:00,,,,8.0037,8.0541,7.886,,,,,,
2000-07-21 00:00:00,,,,7.9028,7.9196,7.8355,,,,,,
2000-07-24 00:00:00,,,,7.886,7.9869,7.8776,,,,,,
2000-07-25 00:00:00,,,,7.9701,8.2139,7.9532,,,,,,
2000-07-26 00:00:00,,,,8.1718,8.2055,8.1046,,,,,,
2000-07-27 00:00:00,,,,8.1214,8.3736,8.1214,,,,,,
2000-07-28 00:00:00,,,,8.3063,8.3568,8.2055,,,,,,
2000-07-31 00:00:00,,,,8.2055,8.34,8.0878,,,,,,
2000-08-01 00:00:00,,,,8.1382,8.2643,8.1382,,,,,,
2000-08-02 00:00:00,,,,8.2055,8.2391,7.9532,,,,,,
2000-08-03 00:00:00,,,,8.0037,8.2643,7.9701,,,,,,
2000-08-04 00:00:00,,,,8.1971,8.4072,8.1971,,,,,,
2000-08-07 00:00:00,,,,8.3736,8.5417,8.3568,,,,,,
2000-08-08 00:00:00,,,,8.5586,8.6426,8.5249,,,,,,
2000-08-09 00:00:00,,,,8.6006,8.743500000000001,8.5586,,,,,,
2000-08-10 00:00:00,,,,8.6426,8.6426,8.5417,,,,,,
2000-08-11 00:00:00,,,,8.6174,8.878,8.6174,,,,,,
2000-08-14 00:00:00,,,,8.8276,8.8528,8.6679,,,,,,
2000-08-15 00:00:00,,,,8.8276,8.8949,8.743500000000001,,,,,,
2000-08-16 00:00:00,,,,8.8444,8.9117,8.8108,,,,,,
2000-08-17 00:00:00,,,,8.9117,9.0462,8.8444,,,,,,
2000-08-18 00:00:00,,,,9.0126,9.0126,8.8276,,,,,,
2000-08-21 00:00:00,,,,8.878,9.0041,8.8108,,,,,,
2000-08-22 00:00:00,,,,8.8612,8.9957,8.8612,,,,,,
2000-08-23 00:00:00,,,,8.9453,8.9789,8.9453,,,,,,
2000-08-24 00:00:00,,,,8.9705,9.2564,8.9705,,,,,,
2000-08-25 00:00:00,,,,9.1303,9.1807,9.0798,,,,,,
2000-08-28 00:00:00,,,,9.0966,9.248,9.0966,,,,,,
2000-08-29 00:00:00,,,,9.1723,9.2059,9.0798,,,,,,
2000-08-30 00:00:00,,,,9.1218,9.1723,9.0714,,,,,,
2000-08-31 00:00:00,,,,9.0798,9.2816,9.0378,,,,,,
2000-09-01 00:00:00,,,,9.1303,9.2732,9.1218,,,,0,1,0
2000-09-05 00:00:00,,,,9.1807,9.3404,9.1639,,,,,,
2000-09-06 00:00:00,,,,9.332,9.6095,9.332,,,,,,
2000-09-07 00:00:00,,,,9.4161,9.6431,9.3488,,,,,,
2000-09-08 00:00:00,,,,9.6515,9.7188,9.3909,,,,,,
2000-09-11 00:00:00,,,,9.4834,9.6179,9.4834,,,,,,
2000-09-12 00:00:00,,,,9.6011,9.6179,9.5842,,,,,,
2000-09-13 00:00:00,,,,9.6179,9.6683,9.4497,,,,,,
2000-09-14 00:00:00,,,,9.4834,9.4834,9.248,,,,,,
2000-09-15 00:00:00,,,,9.2143,9.2395,9.0041,,,,,,
2000-09-18 00:00:00,,,,9.0126,9.0126,8.567,,,,,,
2000-09-19 00:00:00,,,,8.836,8.878,8.5417,,,,,,
2000-09-20 00:00:00,,,,8.8108,8.8108,8.6174,,,,,,
2000-09-21 00:00:00,,,,8.6594,8.8612,8.6594,,,,,,
2000-09-22 00:00:00,,,,8.7771,8.878,8.6174,,,,,,
2000-09-25 00:00:00,,,,8.7099,8.7099,8.5249,,,,,,
2000-09-26 00:00:00,,,,8.6931,8.8444,8.6847,,,,,,
2000-09-27 00:00:00,,,,8.743500000000001,8.9285,8.743500000000001,,,,,,
2000-09-28 00:00:00,,,,8.8612,8.9537,8.7183,,,,,,
2000-09-29 00:00:00,,,,8.8864,9.1218,8.8864,,,,,,
2000-10-02 00:00:00,,,,8.9957,9.0041,8.7856,,,,,,
