Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,21.5,21.625,21.25,,,,0,1,1
2000-05-02 00:00:00,,,,21.625,22.125,21.563,,,,,,
2000-05-03 00:00:00,,,,22,22.25,21.875,,,,,,
2000-05-04 00:00:00,,,,22.125,22.125,22,,,,,,
2000-05-05 00:00:00,,,,22.063,22.188,21.938,,,,,,
2000-05-08 00:00:00,,,,22,22,21.75,,,,,,
2000-05-09 00:00:00,,,,21.938,21.938,21.438,,,,,,
2000-05-10 00:00:00,,,,21.688,21.688,21.313,,,,,,
2000-05-11 00:00:00,,,,21.563,21.75,21.5,,,,,,
2000-05-12 00:00:00,,,,21.625,21.938,21.625,,,,,,
2000-05-15 00:00:00,,,,21.813,21.938,21.625,,,,,,
2000-05-16 00:00:00,,,,21.813,21.938,21.625,,,,,,
2000-05-17 00:00:00,,,,21.688,21.813,21.375,,,,,,
2000-05-18 00:00:00,,,,21.688,22.313,21.625,,,,,,
2000-05-19 00:00:00,,,,22.25,22.313,22,,,,,,
2000-05-22 00:00:00,,,,21.875,22.063,21.625,,,,0,0,1
2000-05-23 00:00:00,,,,21.938,22,21.563,,,,,,
2000-05-24 00:00:00,,,,21.625,22.125,21.313,,,,,,
2000-05-25 00:00:00,,,,22.063,22.125,21.875,,,,,,
2000-05-26 00:00:00,,,,21.75,22.063,21.625,,,,,,
2000-05-30 00:00:00,,,,22,22.063,21.688,,,,,,
2000-05-31 00:00:00,,,,22.063,22.063,21.5,,,,0,1,2
2000-06-01 00:00:00,,,,21.813,21.938,21.688,,,,,,
2000-06-02 00:00:00,,,,21.938,22,21.688,,,,,,
2000-06-05 00:00:00,,,,21.875,21.938,21.563,,,,,,
2000-06-06 00:00:00,,,,21.563,21.938,21.563,,,,,,
2000-06-07 00:00:00,,,,21.75,21.938,21.625,,,,,,
2000-06-08 00:00:00,,,,21.938,21.938,21.688,,,,,,
2000-06-09 00:00:00,,,,21.813,21.875,21.688,,,,,,
2000-06-12 00:00:00,,,,21.875,21.875,21.563,,,,,,
2000-06-13 00:00:00,,,,21.625,21.813,21.563,,,,,,
2000-06-14 00:00:00,,,,21.75,21.938,21.625,,,,,,
2000-06-15 00:00:00,,,,21.813,21.875,21.5,,,,,,
2000-06-16 00:00:00,,,,21.625,21.625,21.25,,,,,,
2000-06-19 00:00:00,,,,21.438,21.438,21.125,,,,,,
2000-06-20 00:00:00,,,,21.25,21.313,21.125,,,,,,
2000-06-21 00:00:00,,,,21.375,21.375,21.125,,,,,,
2000-06-22 00:00:00,,,,20.75,20.813,20.563,,,,,,
2000-06-23 00:00:00,,,,20.75,20.813,20.563,,,,,,
2000-06-26 00:00:00,,,,20.75,20.75,20.625,,,,,,
2000-06-27 00:00:00,,,,20.625,20.875,20.625,,,,,,
2000-06-28 00:00:00,,,,20.75,20.938,20.75,,,,,,
2000-06-29 00:00:00,,,,20.75,21,20.75,,,,,,
2000-06-30 00:00:00,,,,20.875,21.125,20,,,,,,
2000-07-03 00:00:00,,,,20.25,20.875,20.25,,,,,,
2000-07-05 00:00:00,,,,21,21.313,20.813,,,,,,
2000-07-06 00:00:00,,,,21.063,21.688,21.063,,,,,,
2000-07-07 00:00:00,,,,21.625,21.938,21.5,,,,,,
2000-07-10 00:00:00,,,,21.438,21.625,21.438,,,,,,
2000-07-11 00:00:00,,,,21.688,21.688,21.313,,,,,,
2000-07-12 00:00:00,,,,21.5,21.75,21.375,,,,,,
2000-07-13 00:00:00,,,,21.5,21.75,21.438,,,,,,
2000-07-14 00:00:00,,,,21.625,21.625,21.188,,,,,,
2000-07-17 00:00:00,,,,21.313,21.313,21.063,,,,,,
2000-07-18 00:00:00,,,,21.25,21.25,20.938,,,,,,
2000-07-19 00:00:00,,,,21,21.188,20.875,,,,,,
2000-07-20 00:00:00,,,,21.125,21.188,20.813,,,,,,
2000-07-21 00:00:00,,,,21.125,21.375,20.938,,,,,,
2000-07-24 00:00:00,,,,21,21,20.75,,,,,,
2000-07-25 00:00:00,,,,21,21,20.75,,,,,,
2000-07-26 00:00:00,,,,20.938,21,20.813,,,,0,1,3
2000-07-27 00:00:00,,,,20.938,21,20.875,,,,,,
2000-07-28 00:00:00,,,,21,21.25,20.938,,,,,,
2000-07-31 00:00:00,,,,20.938,21.375,20.938,,,,0,1,3
2000-08-01 00:00:00,,,,21.375,21.688,21.188,,,,0,1,3
2000-08-02 00:00:00,,,,21.5,21.563,21.25,,,,,,
2000-08-03 00:00:00,,,,21.563,21.563,21.125,,,,,,
2000-08-04 00:00:00,,,,21.5,21.5,20.875,,,,,,
2000-08-07 00:00:00,,,,21,21.125,20.625,,,,,,
2000-08-08 00:00:00,,,,20.813,21.063,20.75,,,,,,
2000-08-09 00:00:00,,,,21,21,20.813,,,,,,
2000-08-10 00:00:00,,,,20.875,21,20.875,,,,,,
2000-08-11 00:00:00,,,,21,21,20.938,,,,,,
2000-08-14 00:00:00,,,,21,21.188,20.938,,,,,,
2000-08-15 00:00:00,,,,20.938,21,20.563,,,,,,
2000-08-16 00:00:00,,,,20.75,21,20.75,,,,,,
2000-08-17 00:00:00,,,,21,21,20.938,,,,,,
2000-08-18 00:00:00,,,,20.938,21,20.875,,,,,,
2000-08-21 00:00:00,,,,21,21.125,20.875,,,,,,
2000-08-22 00:00:00,,,,20.938,21,20.875,,,,,,
2000-08-23 00:00:00,,,,20.875,20.938,20.75,,,,,,
2000-08-24 00:00:00,,,,20.75,20.813,20.5,,,,,,
2000-08-25 00:00:00,,,,20.563,20.688,20.25,,,,,,
2000-08-28 00:00:00,,,,20.5,20.5,20.063,,,,,,
2000-08-29 00:00:00,,,,20.25,20.375,20.063,,,,,,
2000-08-30 00:00:00,,,,20.125,20.438,20,,,,,,
2000-08-31 00:00:00,,,,20.438,20.625,20,,,,,,
2000-09-01 00:00:00,,,,20.125,20.438,20.063,,,,,,
2000-09-05 00:00:00,,,,20.313,20.438,20.063,,,,,,
2000-09-06 00:00:00,,,,20.125,20.313,20,,,,,,
2000-09-07 00:00:00,,,,20.125,20.313,20.125,,,,,,
2000-09-08 00:00:00,,,,20.25,20.5,20.188,,,,,,
2000-09-11 00:00:00,,,,20.75,20.875,20.375,,,,,,
2000-09-12 00:00:00,,,,20.875,20.938,20.625,,,,,,
2000-09-13 00:00:00,,,,20.75,20.938,20.75,,,,,,
2000-09-14 00:00:00,,,,20.875,21,20.875,,,,,,
2000-09-15 00:00:00,,,,20.688,20.875,20.625,,,,,,
2000-09-18 00:00:00,,,,20.875,20.938,20.313,,,,,,
2000-09-19 00:00:00,,,,20.5,20.75,20.375,,,,,,
2000-09-20 00:00:00,,,,20.5,20.625,20.25,,,,,,
2000-09-21 00:00:00,,,,20.375,20.375,20,,,,0,1,3
2000-09-22 00:00:00,,,,20,20.25,19.875,,,,,,
2000-09-25 00:00:00,,,,20.188,20.25,19.875,,,,,,
2000-09-26 00:00:00,,,,19.938,20.063,19.75,,,,,,
2000-09-27 00:00:00,,,,20,20.125,19.875,,,,,,
2000-09-28 00:00:00,,,,19.438,19.563,19.313,,,,,,
2000-09-29 00:00:00,,,,19.438,19.438,19.125,,,,,,
2000-10-02 00:00:00,,,,19.313,19.5,19.125,,,,,,
2000-10-03 00:00:00,,,,19.25,19.375,19,,,,,,
2000-10-04 00:00:00,,,,19.188,19.313,19.125,,,,,,
2000-10-05 00:00:00,,,,19.313,19.813,19.25,,,,,,
2000-10-06 00:00:00,,,,19.813,19.938,19.625,,,,,,
2000-10-09 00:00:00,,,,19.75,19.938,19.688,,,,,,
2000-10-10 00:00:00,,,,19.875,19.875,19.5,,,,,,
2000-10-11 00:00:00,,,,19.75,19.813,19.625,,,,,,
2000-10-12 00:00:00,,,,19.688,19.813,19.5,,,,,,
2000-10-13 00:00:00,,,,19.625,19.75,19.5,,,,,,
2000-10-16 00:00:00,,,,19.75,19.875,19.563,,,,,,
2000-10-17 00:00:00,,,,19.75,19.75,19.5,,,,,,
2000-10-18 00:00:00,,,,19.5,19.563,19.438,,,,,,
2000-10-19 00:00:00,,,,19.5,19.563,19.438,,,,,,
2000-10-20 00:00:00,,,,19.5,19.563,19.313,,,,,,
2000-10-23 00:00:00,,,,19.5,19.5,19.375,,,,,,
2000-10-24 00:00:00,,,,19.5,19.5,19.375,,,,,,
2000-10-25 00:00:00,,,,19.375,19.375,19,,,,,,
2000-10-26 00:00:00,,,,19.25,19.25,18.813,,,,,,
2000-10-27 00:00:00,,,,18.875,19.375,18.875,,,,,,
2000-10-30 00:00:00,,,,19.25,19.375,19.125,,,,,,
2000-10-31 00:00:00,,,,19.25,19.375,19.125,,,,,,
2000-11-01 00:00:00,,,,19.313,19.313,19.125,,,,,,
2000-11-02 00:00:00,,,,19.125,19.25,18.938,,,,,,
2000-11-03 00:00:00,,,,19,19.125,18.875,,,,,,
2000-11-06 00:00:00,,,,19.063,19.375,19.063,,,,,,
2000-11-07 00:00:00,,,,19.125,19.25,18.938,,,,0,2,4
2000-11-08 00:00:00,,,,19.125,19.438,19.125,,,,,,
2000-11-09 00:00:00,,,,19.438,19.438,18.875,,,,,,
2000-11-10 00:00:00,,,,19.313,19.438,19.125,,,,,,
2000-11-13 00:00:00,,,,19.188,19.313,19,,,,,,
2000-11-14 00:00:00,,,,19.188,19.438,19.125,,,,,,
2000-11-15 00:00:00,,,,19.313,19.375,19.188,,,,,,
2000-11-16 00:00:00,,,,19.25,19.313,19.125,,,,,,
2000-11-17 00:00:00,,,,19.375,19.375,19.063,,,,,,
2000-11-20 00:00:00,,,,19.125,19.25,19.125,,,,,,
2000-11-21 00:00:00,,,,19.313,19.313,19.188,,,,,,
2000-11-22 00:00:00,,,,19.25,19.313,19.125,,,,,,
2000-11-24 00:00:00,,,,19.125,19.5,19.125,,,,,,
2000-11-27 00:00:00,,,,19.313,19.563,19.313,,,,,,
2000-11-28 00:00:00,,,,19.313,19.375,19.25,,,,,,
2000-11-29 00:00:00,,,,19.313,19.5,19.313,,,,,,
2000-11-30 00:00:00,,,,19.313,19.5,19.25,,,,,,
2000-12-01 00:00:00,,,,19.313,19.375,19.188,,,,,,
2000-12-04 00:00:00,,,,19.438,19.438,19.188,,,,,,
2000-12-05 00:00:00,,,,19.25,19.5,19.188,,,,,,
2000-12-06 00:00:00,,,,19.313,19.563,19.125,,,,,,
2000-12-07 00:00:00,,,,19.188,19.25,19.125,,,,,,
2000-12-08 00:00:00,,,,19.313,19.625,19.188,,,,,,
2000-12-11 00:00:00,,,,19.563,19.688,19.438,,,,,,
2000-12-12 00:00:00,,,,19.625,19.688,19.438,,,,,,
2000-12-13 00:00:00,,,,19.375,19.438,19.125,,,,0,2,5
2000-12-14 00:00:00,,,,19.313,19.375,19.063,,,,,,
2000-12-15 00:00:00,,,,19.125,19.625,19,,,,,,
2000-12-18 00:00:00,,,,19.5,19.563,19.25,,,,,,
2000-12-19 00:00:00,,,,19.438,19.625,19.313,,,,,,
2000-12-20 00:00:00,,,,19.5,19.813,19.438,,,,,,
2000-12-21 00:00:00,,,,19.625,19.938,19.375,,,,,,
2000-12-22 00:00:00,,,,19.688,19.938,19.188,,,,,,
2000-12-26 00:00:00,,,,19.25,19.438,19.188,,,,,,
2000-12-27 00:00:00,,,,19.5,19.938,19.438,,,,,,
2000-12-28 00:00:00,,,,19.188,19.5,19,,,,,,
2000-12-29 00:00:00,,,,19.25,19.313,18.938,,,,,,
2001-01-01 00:00:00,,,,,,,,,,0,2,5
2001-01-02 00:00:00,,,,19.125,19.25,19.063,,,,,,
2001-01-03 00:00:00,,,,19.125,19.5,19.063,,,,,,
2001-01-04 00:00:00,,,,19.5,19.875,19.5,,,,,,
2001-01-05 00:00:00,,,,19.563,19.688,19.313,,,,,,
2001-01-08 00:00:00,,,,19.438,19.438,19.313,,,,,,
2001-01-09 00:00:00,,,,19.375,19.5,19.375,,,,,,
2001-01-10 00:00:00,,,,19.5,19.938,19.438,,,,,,
2001-01-11 00:00:00,,,,19.75,19.938,19.625,,,,,,
2001-01-12 00:00:00,,,,19.688,19.75,19.5,,,,,,
2001-01-16 00:00:00,,,,19.5,19.875,19.5,,,,,,
2001-01-17 00:00:00,,,,19.625,19.75,19.5,,,,,,
2001-01-18 00:00:00,,,,19.563,19.688,19.375,,,,,,
2001-01-19 00:00:00,,,,19.375,19.75,19.375,,,,,,
2001-01-22 00:00:00,,,,19.813,19.813,19.563,,,,,,
2001-01-23 00:00:00,,,,19.625,19.875,19.625,,,,,,
2001-01-24 00:00:00,,,,19.688,19.688,19.625,,,,,,
2001-01-25 00:00:00,,,,19.688,19.688,19.438,,,,,,
2001-01-26 00:00:00,,,,19.5,19.5,19.313,,,,,,
2001-01-29 00:00:00,,,,19.5,19.68,19.5,,,,,,
2001-01-30 00:00:00,,,,19.65,19.9,19.63,,,,,,
2001-01-31 00:00:00,,,,19.95,19.99,19.71,,,,,,
2001-02-01 00:00:00,,,,19.8,19.87,19.5,,,,,,
2001-02-02 00:00:00,,,,19.8,19.89,19.6,,,,,,
2001-02-05 00:00:00,,,,19.7,19.8,19.61,,,,,,
2001-02-06 00:00:00,,,,19.7,19.75,19.3,,,,,,
2001-02-07 00:00:00,,,,19.36,19.48,19.32,,,,,,
2001-02-08 00:00:00,,,,19.4,19.48,19.38,,,,,,
2001-02-09 00:00:00,,,,19.44,19.45,19.35,,,,0,2,5
2001-02-12 00:00:00,,,,19.5,19.54,19.4,,,,,,
2001-02-13 00:00:00,,,,19.5,19.5,19.41,,,,,,
2001-02-14 00:00:00,,,,19.48,19.48,19.31,,,,,,
2001-02-15 00:00:00,,,,19.47,19.53,19.45,,,,,,
2001-02-16 00:00:00,,,,19.55,19.65,19.45,,,,0,2,5
2001-02-20 00:00:00,,,,19.48,19.56,19.45,,,,,,
2001-02-21 00:00:00,,,,19.46,19.51,19.42,,,,0,2,5
2001-02-22 00:00:00,,,,19.47,19.55,19.47,,,,0,2,5
2001-02-23 00:00:00,,,,19.51,19.7,19.45,,,,,,
2001-02-26 00:00:00,,,,19.75,19.9,19.68,,,,,,
2001-02-27 00:00:00,,,,19.85,19.95,19.72,,,,,,
2001-02-28 00:00:00,,,,19.8,19.95,19.65,,,,0,2,5
2001-03-01 00:00:00,,,,19.79,19.96,19.7,,,,,,
2001-03-02 00:00:00,,,,19.86,19.95,19.85,,,,,,
2001-03-05 00:00:00,,,,19.89,19.98,19.89,,,,,,
2001-03-06 00:00:00,,,,19.85,20.05,19.85,,,,,,
2001-03-07 00:00:00,,,,20.05,20.22,20.04,,,,,,
2001-03-08 00:00:00,,,,20.2,20.26,20,,,,,,
2001-03-09 00:00:00,,,,20.16,20.25,20.03,,,,,,
2001-03-12 00:00:00,,,,20.05,20.23,20,,,,,,
2001-03-13 00:00:00,,,,20.05,20.2,20,,,,,,
2001-03-14 00:00:00,,,,20,20.1,19.9,,,,,,
2001-03-15 00:00:00,,,,19.9,19.92,19.67,,,,,,
2001-03-16 00:00:00,,,,19.8,20,19.55,,,,,,
2001-03-19 00:00:00,,,,19.65,19.93,19.65,,,,,,
2001-03-20 00:00:00,,,,19.95,20.3,19.85,,,,,,
