Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,28.531,29.5,28.188,,,,0,5,1
2000-05-02 00:00:00,,,,28.906,29.156,28.5,,,,,,
2000-05-03 00:00:00,,,,28.469,28.5,27.813,,,,,,
2000-05-04 00:00:00,,,,27.75,28.313,27.438,,,,,,
2000-05-05 00:00:00,,,,27.844,28.906,27.656,,,,,,
2000-05-08 00:00:00,,,,28.375,28.531,27.938,,,,,,
2000-05-09 00:00:00,,,,28,28.844,27.688,,,,,,
2000-05-10 00:00:00,,,,28.313,28.938,27.75,,,,,,
2000-05-11 00:00:00,,,,28,28.594,28,,,,0,5,1
2000-05-12 00:00:00,,,,27.906,28.875,27.906,,,,,,
2000-05-15 00:00:00,,,,28.094,28.719,28.094,,,,,,
2000-05-16 00:00:00,,,,28.469,28.969,28.063,,,,,,
2000-05-17 00:00:00,,,,27.313,27.781,27.281,,,,,,
2000-05-18 00:00:00,,,,27.406,28.281,27.406,,,,,,
2000-05-19 00:00:00,,,,27.75,28.5,27.75,,,,,,
2000-05-22 00:00:00,,,,28.281,28.563,27.813,,,,,,
2000-05-23 00:00:00,,,,27.969,28.688,27.969,,,,,,
2000-05-24 00:00:00,,,,28.594,30,28.563,,,,,,
2000-05-25 00:00:00,,,,29.063,29.313,28.563,,,,,,
2000-05-26 00:00:00,,,,28.688,28.938,28.219,,,,,,
2000-05-30 00:00:00,,,,28.188,29.188,28.188,,,,,,
2000-05-31 00:00:00,,,,29.25,29.688,29.25,,,,,,
2000-06-01 00:00:00,,,,29.406,30.188,29.188,,,,0,5,2
2000-06-02 00:00:00,,,,30.438,30.594,29,,,,0,5,2
2000-06-05 00:00:00,,,,29.125,29.125,28.531,,,,,,
2000-06-06 00:00:00,,,,28.781,29.125,28.75,,,,,,
2000-06-07 00:00:00,,,,28.938,29.438,28.531,,,,,,
2000-06-08 00:00:00,,,,28.625,28.625,27.5,,,,0,6,2
2000-06-09 00:00:00,,,,27.625,28.156,27.313,,,,0,6,2
2000-06-12 00:00:00,,,,27.688,27.875,27.438,,,,,,
2000-06-13 00:00:00,,,,27.531,27.594,26.938,,,,,,
