Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.1055,8.367,8.0747,,,,0,5,0
2000-05-02 00:00:00,,,,8.3516,8.4131,8.2901,,,,0,5,0
2000-05-03 00:00:00,,,,8.3823,8.3977,8.2439,,,,,,
2000-05-04 00:00:00,,,,8.2747,8.3516,8.1209,,,,,,
2000-05-05 00:00:00,,,,8.2439,8.2439,8.1824,,,,0,5,0
2000-05-08 00:00:00,,,,8.2285,8.2901,8.2285,,,,,,
2000-05-09 00:00:00,,,,8.3054,8.3054,8.2132,,,,,,
2000-05-10 00:00:00,,,,8.2593,8.2747,8.0901,,,,,,
2000-05-11 00:00:00,,,,8.1209,8.1363,8.0901,,,,,,
2000-05-12 00:00:00,,,,8.1209,8.1209,8.0286,,,,,,
2000-05-15 00:00:00,,,,8.1055,8.1363,8.0901,,,,,,
2000-05-16 00:00:00,,,,8.1209,8.1516,8.1055,,,,,,
2000-05-17 00:00:00,,,,8.1209,8.1209,8.0594,,,,,,
2000-05-18 00:00:00,,,,8.0747,8.1055,8.0132,,,,,,
2000-05-19 00:00:00,,,,8.0286,8.044,7.9517,,,,,,
2000-05-22 00:00:00,,,,8.0901,8.0901,7.9824,,,,,,
2000-05-23 00:00:00,,,,8.0286,8.044,7.9824,,,,,,
2000-05-24 00:00:00,,,,8.0286,8.044,7.9209,,,,,,
2000-05-25 00:00:00,,,,7.9517,7.9671,7.844,,,,,,
2000-05-26 00:00:00,,,,7.8748000000000005,7.9055,7.7517,,,,,,
2000-05-30 00:00:00,,,,7.8286,7.8594,7.7671,,,,,,
2000-05-31 00:00:00,,,,7.7825,7.7825,7.721,,,,,,
2000-06-01 00:00:00,,,,7.7979,7.7979,7.7364,,,,0,5,0
2000-06-02 00:00:00,,,,7.7671,7.7671,7.7056000000000004,,,,0,5,0
2000-06-05 00:00:00,,,,7.721,7.721,7.6441,,,,,,
2000-06-06 00:00:00,,,,7.6902,7.721,7.6287,,,,,,
2000-06-07 00:00:00,,,,7.6748,7.6902,7.5979,,,,,,
2000-06-08 00:00:00,,,,7.6594999999999995,7.7364,7.6287,,,,,,
2000-06-09 00:00:00,,,,7.7364,7.7517,7.6902,,,,0,5,0
2000-06-12 00:00:00,,,,7.7517,7.7517,7.6902,,,,,,
2000-06-13 00:00:00,,,,7.7517,7.7517,7.6902,,,,,,
2000-06-14 00:00:00,,,,7.7056000000000004,7.7517,7.5979,,,,,,
2000-06-15 00:00:00,,,,7.6287,7.8748000000000005,7.6287,,,,0,5,0
2000-06-16 00:00:00,,,,7.7671,7.7825,7.7056000000000004,,,,,,
2000-06-19 00:00:00,,,,7.7825,7.8133,7.7364,,,,,,
2000-06-20 00:00:00,,,,7.844,7.8594,7.7825,,,,,,
2000-06-21 00:00:00,,,,7.8594,7.8594,7.7056000000000004,,,,,,
2000-06-22 00:00:00,,,,7.7825,7.7979,7.721,,,,,,
2000-06-23 00:00:00,,,,7.7056000000000004,7.7517,7.6287,,,,,,
2000-06-26 00:00:00,,,,7.7056000000000004,7.7671,7.6902,,,,,,
2000-06-27 00:00:00,,,,7.7517,7.844,7.7364,,,,,,
2000-06-28 00:00:00,,,,7.8133,7.9978,7.7825,,,,,,
2000-06-29 00:00:00,,,,7.9517,7.9671,7.8902,,,,,,
2000-06-30 00:00:00,,,,7.9671,8.0286,7.8133,,,,,,
