Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,50.048,52.08,48.046,,,,0,1,0
2004-08-20 00:00:00,,,,50.554,54.593,50.299,,,,0,2,1
2004-08-23 00:00:00,,,,55.429,56.795,54.578,,,,,,
2004-08-24 00:00:00,,,,55.674,55.854,51.835,,,,,,
2004-08-25 00:00:00,,,,52.451,54.047,52,,,,,,
2004-08-26 00:00:00,,,,52.526,54.017,52.399,,,,1,2,1
2004-08-27 00:00:00,,,,54.102,54.363,52.896,,,,,,
2004-08-30 00:00:00,,,,52.691,52.721,51.054,,,,1,2,1
2004-08-31 00:00:00,,,,51.2,51.905,51.129,,,,,,
2004-09-01 00:00:00,,,,51.45,51.535,49.883,,,,1,2,1
2004-09-02 00:00:00,,,,49.643,51.235,49.518,,,,1,2,2
2004-09-03 00:00:00,,,,50.524,50.919,49.708,,,,,,
2004-09-07 00:00:00,,,,50.554,51.049,49.853,,,,1,3,3
2004-09-08 00:00:00,,,,50.419,51.565,50.299,,,,,,
2004-09-09 00:00:00,,,,51.315,51.405,50.554,,,,2,3,3
2004-09-10 00:00:00,,,,50.784,53.181,50.699,,,,,,
2004-09-13 00:00:00,,,,53.392,54.253,53.282,,,,2,3,4
2004-09-14 00:00:00,,,,53.787,56.054,53.447,,,,2,3,5
2004-09-15 00:00:00,,,,55.334,57.17,55.153,,,,,,
2004-09-16 00:00:00,,,,56.229,57.956,55.889,,,,,,
2004-09-17 00:00:00,,,,57.351,58.802,56.83,,,,,,
2004-09-20 00:00:00,,,,58.467,60.859,58.442,,,,2,4,5
2004-09-21 00:00:00,,,,60.073,60.268,58.812,,,,,,
2004-09-22 00:00:00,,,,58.757,59.893,58.462,,,,2,5,5
2004-09-23 00:00:00,,,,59.478,61.374,58.567,,,,2,5,5
2004-09-24 00:00:00,,,,60.529,62.11,59.943,,,,,,
2004-09-27 00:00:00,,,,59.838,60.499,58.957,,,,2,5,5
2004-09-28 00:00:00,,,,60.709,63.762,60.173,,,,2,10,5
2004-09-29 00:00:00,,,,63.411,67.565,63.181,,,,2,10,6
2004-09-30 00:00:00,,,,65.008,66.199,64.563,,,,2,10,6
2004-10-01 00:00:00,,,,65.463,67.185,64.522,,,,,,
