Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.75,3.75,3.75,,,,,,
2001-01-17 00:00:00,,,,3.75,3.75,3.75,,,,,,
2001-01-18 00:00:00,,,,3.875,4.125,3.875,,,,,,
2001-01-19 00:00:00,,,,4.1875,4.2813,4.1875,,,,,,
2001-01-22 00:00:00,,,,4.25,4.625,4.25,,,,,,
2001-01-23 00:00:00,,,,4.5,4.7813,4.5,,,,,,
2001-01-24 00:00:00,,,,4.625,4.625,4.625,,,,,,
2001-01-25 00:00:00,,,,4.6563,4.6875,4.625,,,,,,
2001-01-26 00:00:00,,,,4.625,4.6406,4.625,,,,,,
2001-01-29 00:00:00,,,,4.63,4.6875,4.6,,,,,,
2001-01-30 00:00:00,,,,4.675,4.675,4.5875,,,,,,
2001-01-31 00:00:00,,,,4.675,4.7625,4.675,,,,,,
2001-02-01 00:00:00,,,,4.75,5.3,4.6899999999999995,,,,,,
2001-02-02 00:00:00,,,,5.1875,5.25,5.15,,,,,,
2001-02-05 00:00:00,,,,5.2125,5.3625,4.995,,,,,,
2001-02-06 00:00:00,,,,4.975,5.0025,4.9375,,,,,,
2001-02-07 00:00:00,,,,4.925,5,4.9125,,,,,,
2001-02-08 00:00:00,,,,5,5.04,4.875,,,,,,
2001-02-09 00:00:00,,,,4.875,4.9375,4.875,,,,,,
2001-02-12 00:00:00,,,,4.9375,4.9375,4.825,,,,,,
2001-02-13 00:00:00,,,,4.825,4.885,4.8125,,,,,,
2001-02-14 00:00:00,,,,4.8125,4.8125,4.77,,,,,,
2001-02-15 00:00:00,,,,4.775,4.7875,4.575,,,,,,
2001-02-16 00:00:00,,,,4.525,4.525,4.35,,,,,,
2001-02-20 00:00:00,,,,4.5175,4.5375,4.4525,,,,,,
2001-02-21 00:00:00,,,,4.5225,4.5225,4.475,,,,,,
2001-02-22 00:00:00,,,,4.52,4.535,4.475,,,,,,
2001-02-23 00:00:00,,,,4.525,4.675,4.5,,,,,,
2001-02-26 00:00:00,,,,4.625,4.78,4.625,,,,,,
2001-02-27 00:00:00,,,,4.75,4.75,4.725,,,,,,
2001-02-28 00:00:00,,,,4.725,4.75,4.7125,,,,,,
2001-03-01 00:00:00,,,,4.725,4.725,4.675,,,,,,
2001-03-02 00:00:00,,,,4.6875,4.7025,4.675,,,,,,
2001-03-05 00:00:00,,,,4.6875,4.7625,4.6875,,,,,,
2001-03-06 00:00:00,,,,4.7524999999999995,4.775,4.7,,,,,,
2001-03-07 00:00:00,,,,4.7,4.7475000000000005,4.7,,,,,,
2001-03-08 00:00:00,,,,4.745,4.745,4.7,,,,,,
2001-03-09 00:00:00,,,,4.7,4.7025,4.675,,,,,,
2001-03-12 00:00:00,,,,4.695,4.725,4.6625,,,,,,
2001-03-13 00:00:00,,,,4.7125,4.7125,4.6125,,,,0,1,0
2001-03-14 00:00:00,,,,4.6125,4.6375,4.4675,,,,,,
2001-03-15 00:00:00,,,,4.45,4.45,4.2875,,,,,,
2001-03-16 00:00:00,,,,4.3875,4.45,4.3375,,,,,,
2001-03-19 00:00:00,,,,4.2875,4.4375,4.2875,,,,,,
2001-03-20 00:00:00,,,,4.3125,4.375,4.25,,,,,,
2001-03-21 00:00:00,,,,4.275,4.3,4.0625,,,,,,
2001-03-22 00:00:00,,,,4.3125,4.4625,4.2625,,,,0,1,0
2001-03-23 00:00:00,,,,4.475,4.575,4.475,,,,,,
2001-03-26 00:00:00,,,,4.6125,4.625,4.57,,,,,,
2001-03-27 00:00:00,,,,4.6,4.6125,4.5325,,,,,,
2001-03-28 00:00:00,,,,4.575,4.6,4.4625,,,,,,
