Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,93.25,101.625,93.25,,,,0,2,3
2000-05-02 00:00:00,,,,95,97.625,93,,,,0,2,4
2000-05-03 00:00:00,,,,92.25,95.75,89.688,,,,,,
2000-05-04 00:00:00,,,,91.375,92,88.125,,,,,,
2000-05-05 00:00:00,,,,89.375,92.188,87.438,,,,,,
2000-05-08 00:00:00,,,,86,87.875,85.75,,,,,,
2000-05-09 00:00:00,,,,86,86.938,84.75,,,,,,
2000-05-10 00:00:00,,,,83,83.688,80.563,,,,,,
2000-05-11 00:00:00,,,,81.5,83.25,80.438,,,,,,
2000-05-12 00:00:00,,,,80.25,84.875,80.25,,,,,,
2000-05-15 00:00:00,,,,83.813,88,83.813,,,,,,
2000-05-16 00:00:00,,,,88,89.188,84,,,,,,
2000-05-17 00:00:00,,,,85.125,86,83,,,,0,2,4
2000-05-18 00:00:00,,,,83.875,87.5,83.875,,,,,,
2000-05-19 00:00:00,,,,84.25,85,82.125,,,,,,
2000-05-22 00:00:00,,,,83.5,83.875,80.625,,,,,,
2000-05-23 00:00:00,,,,81.875,85.5,81.5,,,,,,
2000-05-24 00:00:00,,,,82.625,83.625,79.5,,,,,,
2000-05-25 00:00:00,,,,80.5,83.375,71.938,,,,,,
2000-05-26 00:00:00,,,,73.125,73.375,69.375,,,,0,2,4
2000-05-30 00:00:00,,,,71.5,73.25,70.688,,,,,,
2000-05-31 00:00:00,,,,72,74.875,71.125,,,,,,
2000-06-01 00:00:00,,,,74.563,77.625,73.625,,,,0,2,4
2000-06-02 00:00:00,,,,84.5,87.25,83.5,,,,,,
2000-06-05 00:00:00,,,,86.875,87.875,84.5,,,,,,
2000-06-06 00:00:00,,,,84,85.063,81.75,,,,,,
2000-06-07 00:00:00,,,,82.875,88,82.375,,,,,,
2000-06-08 00:00:00,,,,86.875,87.625,85.063,,,,,,
2000-06-09 00:00:00,,,,85.125,86.563,83.25,,,,,,
2000-06-12 00:00:00,,,,83.313,84.313,81.75,,,,,,
2000-06-13 00:00:00,,,,83.5,85.75,82.625,,,,0,3,4
2000-06-14 00:00:00,,,,85.188,90.188,84.813,,,,,,
2000-06-15 00:00:00,,,,89.938,90.75,87,,,,,,
2000-06-16 00:00:00,,,,90.25,91.438,87.625,,,,,,
2000-06-19 00:00:00,,,,90.188,93,89.5,,,,,,
2000-06-20 00:00:00,,,,91.5,93.438,87.375,,,,0,3,4
2000-06-21 00:00:00,,,,88,88.25,84.25,,,,0,3,4
2000-06-22 00:00:00,,,,86.625,86.625,82,,,,,,
2000-06-23 00:00:00,,,,85.25,87,84,,,,,,
2000-06-26 00:00:00,,,,86.75,88,85.75,,,,,,
2000-06-27 00:00:00,,,,87.75,89.375,87.625,,,,,,
2000-06-28 00:00:00,,,,88,90.938,88,,,,,,
2000-06-29 00:00:00,,,,90.125,93.125,88.313,,,,,,
2000-06-30 00:00:00,,,,93,95.938,92.563,,,,0,3,4
2000-07-03 00:00:00,,,,94.375,94.938,93.438,,,,,,
2000-07-05 00:00:00,,,,94.375,97,93.875,,,,0,3,4
2000-07-06 00:00:00,,,,90,94,88.375,,,,0,3,4
2000-07-07 00:00:00,,,,93.188,95.25,90.938,,,,,,
2000-07-10 00:00:00,,,,94.875,98.688,93.813,,,,0,3,4
2000-07-11 00:00:00,,,,97.563,99.188,97.063,,,,,,
2000-07-12 00:00:00,,,,100.125,104.125,100.125,,,,,,
2000-07-13 00:00:00,,,,100.5,104.25,99.5,,,,,,
2000-07-14 00:00:00,,,,104.25,105.25,102.875,,,,,,
2000-07-17 00:00:00,,,,104.063,104.125,100.625,,,,,,
2000-07-18 00:00:00,,,,102,104.25,101.125,,,,,,
2000-07-19 00:00:00,,,,103.188,103.563,100.313,,,,,,
2000-07-20 00:00:00,,,,101,104.938,101,,,,,,
2000-07-21 00:00:00,,,,103.625,105.688,102.813,,,,,,
2000-07-24 00:00:00,,,,104.75,106.938,102.75,,,,,,
2000-07-25 00:00:00,,,,105.75,106.688,103.688,,,,,,
2000-07-26 00:00:00,,,,105.625,105.938,102.75,,,,,,
2000-07-27 00:00:00,,,,105.75,106.375,99.875,,,,,,
2000-07-28 00:00:00,,,,100.125,101.063,96,,,,,,
2000-07-31 00:00:00,,,,96,98.938,94.5,,,,,,
2000-08-01 00:00:00,,,,99,102.25,97,,,,,,
2000-08-02 00:00:00,,,,99.25,102.938,99.25,,,,,,
2000-08-03 00:00:00,,,,101.625,105.625,100.5,,,,,,
2000-08-04 00:00:00,,,,109.5,112.938,108,,,,0,4,3
2000-08-07 00:00:00,,,,111.5,115,109.75,,,,,,
2000-08-08 00:00:00,,,,114.063,115.313,112.813,,,,,,
2000-08-09 00:00:00,,,,113,116.75,111.875,,,,,,
2000-08-10 00:00:00,,,,115.375,116.75,111.375,,,,0,4,3
2000-08-11 00:00:00,,,,111.75,117.875,111.75,,,,,,
2000-08-14 00:00:00,,,,118,121.75,116.625,,,,,,
2000-08-15 00:00:00,,,,120.813,120.813,117.813,,,,,,
2000-08-16 00:00:00,,,,117,118.375,111.625,,,,,,
2000-08-17 00:00:00,,,,113.063,118.875,113.063,,,,0,4,2
2000-08-18 00:00:00,,,,118.875,119,116,,,,0,4,2
2000-08-21 00:00:00,,,,116.938,118.75,116.25,,,,0,4,2
2000-08-22 00:00:00,,,,117.938,121.5,117.75,,,,,,
2000-08-23 00:00:00,,,,119.75,119.75,118.063,,,,,,
2000-08-24 00:00:00,,,,119.063,120.875,117.938,,,,,,
2000-08-25 00:00:00,,,,118.5,120.188,117.125,,,,,,
2000-08-28 00:00:00,,,,118.25,124.5,118.25,,,,,,
2000-08-29 00:00:00,,,,121.5,127.438,121.375,,,,,,
2000-08-30 00:00:00,,,,125.5,126.5,123.125,,,,,,
2000-08-31 00:00:00,,,,124.5,129.25,123.875,,,,,,
2000-09-01 00:00:00,,,,128,129.813,127.125,,,,,,
2000-09-05 00:00:00,,,,128.688,130.063,127.188,,,,,,
2000-09-06 00:00:00,,,,128.688,132.875,127.563,,,,,,
2000-09-07 00:00:00,,,,127.875,129.5,125.938,,,,,,
2000-09-08 00:00:00,,,,127.5,129.188,124,,,,,,
2000-09-11 00:00:00,,,,127,132.438,126.313,,,,0,4,2
2000-09-12 00:00:00,,,,132.313,133.625,129.688,,,,,,
2000-09-13 00:00:00,,,,129.25,130.75,127.375,,,,,,
2000-09-14 00:00:00,,,,129.375,131.75,128.688,,,,0,4,2
2000-09-15 00:00:00,,,,128,128.125,124.313,,,,,,
2000-09-18 00:00:00,,,,124,124.125,117.75,,,,,,
2000-09-19 00:00:00,,,,118.563,121.438,115.313,,,,0,4,2
2000-09-20 00:00:00,,,,121.5,122.938,114.938,,,,,,
