Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,2,2
2000-05-15 00:00:00,,,,,,,,,,0,2,2
2000-05-17 00:00:00,,,,,,,,,,0,2,2
2000-05-25 00:00:00,,,,,,,,,,0,2,2
2000-06-02 00:00:00,,,,,,,,,,0,2,3
2000-06-05 00:00:00,,,,,,,,,,0,3,2
2000-06-16 00:00:00,,,,,,,,,,0,3,2
2000-06-20 00:00:00,,,,,,,,,,0,2,3
2000-06-29 00:00:00,,,,,,,,,,0,0,5
2000-06-30 00:00:00,,,,,,,,,,0,0,5
2000-07-25 00:00:00,,,,,,,,,,0,0,5
2000-08-15 00:00:00,,,,,,,,,,0,0,5
2000-08-21 00:00:00,,,,,,,,,,0,0,5
2000-09-18 00:00:00,,,,,,,,,,0,0,5
2000-09-21 00:00:00,,,,,,,,,,0,0,5
2000-09-25 00:00:00,,,,,,,,,,0,0,5
2000-10-12 00:00:00,,,,,,,,,,0,0,6
2000-10-25 00:00:00,,,,,,,,,,0,0,6
2000-11-22 00:00:00,,,,,,,,,,0,0,6
2000-12-04 00:00:00,,,,,,,,,,0,0,6
2000-12-19 00:00:00,,,,,,,,,,0,1,5
2000-12-20 00:00:00,,,,,,,,,,0,2,4
2001-01-08 00:00:00,,,,,,,,,,0,2,4
2001-01-11 00:00:00,,,,,,,,,,0,2,4
2001-01-12 00:00:00,,,,,,,,,,0,2,4
2001-01-24 00:00:00,,,,,,,,,,0,2,4
2001-02-06 00:00:00,,,,,,,,,,0,2,4
2001-02-12 00:00:00,,,,,,,,,,0,2,4
2001-02-14 00:00:00,,,,,,,,,,0,2,4
2001-02-15 00:00:00,,,,,,,,,,0,2,4
2001-03-08 00:00:00,,,,,,,,,,0,1,5
2001-03-20 00:00:00,,,,,,,,,,0,1,5
