Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,43.375,45.813,43.375,,,,0,3,3
2000-05-02 00:00:00,,,,45.313,45.438,44.375,,,,,,
2000-05-03 00:00:00,,,,44.438,44.813,44.063,,,,,,
2000-05-04 00:00:00,,,,44.25,45.125,44.188,,,,,,
2000-05-05 00:00:00,,,,44.375,45.438,44.125,,,,,,
2000-05-08 00:00:00,,,,45.188,45.563,43.938,,,,,,
2000-05-09 00:00:00,,,,44.313,44.438,43.75,,,,,,
2000-05-10 00:00:00,,,,44.375,44.938,43.375,,,,,,
2000-05-11 00:00:00,,,,43.875,44.625,43.25,,,,,,
2000-05-12 00:00:00,,,,43.75,43.75,41.688,,,,,,
2000-05-15 00:00:00,,,,42.563,44.938,42.313,,,,,,
2000-05-16 00:00:00,,,,44.5,45.25,44.375,,,,,,
2000-05-17 00:00:00,,,,44.5,44.813,44.063,,,,,,
2000-05-18 00:00:00,,,,44.813,45.188,44.5,,,,,,
2000-05-19 00:00:00,,,,44.25,44.75,44.25,,,,0,3,3
2000-05-22 00:00:00,,,,44.688,45,42.688,,,,,,
2000-05-23 00:00:00,,,,43.25,43.25,42.5,,,,,,
2000-05-24 00:00:00,,,,42.938,43.125,41.375,,,,0,3,3
2000-05-25 00:00:00,,,,41.25,42.25,41.125,,,,,,
2000-05-26 00:00:00,,,,42.313,42.5,40.813,,,,,,
2000-05-30 00:00:00,,,,40.875,41.563,40.75,,,,,,
2000-05-31 00:00:00,,,,41.125,41.625,39.75,,,,,,
2000-06-01 00:00:00,,,,40,40.188,39.375,,,,0,3,4
2000-06-02 00:00:00,,,,40.625,41.938,40.5,,,,0,3,4
2000-06-05 00:00:00,,,,41.375,41.563,39.688,,,,,,
2000-06-06 00:00:00,,,,40,40.313,39.313,,,,,,
2000-06-07 00:00:00,,,,39.75,39.75,38.375,,,,,,
2000-06-08 00:00:00,,,,38.875,39.375,38.563,,,,,,
2000-06-09 00:00:00,,,,38.75,39.063,37.688,,,,,,
