Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,5.25,5.25,4.875,,,,,,
2006-08-17 00:00:00,,,,4.75,4.75,4.4375,,,,,,
2006-08-18 00:00:00,,,,4.5,4.625,4.5,,,,,,
2006-08-21 00:00:00,,,,4.6,4.745,4.6,,,,,,
2006-08-22 00:00:00,,,,4.75,4.8625,4.75,,,,,,
2006-08-23 00:00:00,,,,4.765,4.7875,4.75,,,,,,
2006-08-24 00:00:00,,,,4.775,4.8125,4.75,,,,,,
2006-08-25 00:00:00,,,,4.8125,4.8125,4.8100000000000005,,,,,,
2006-08-28 00:00:00,,,,4.765,4.8075,4.765,,,,,,
2006-08-29 00:00:00,,,,4.77,4.77,4.7675,,,,,,
2006-08-30 00:00:00,,,,4.8,4.825,4.7775,,,,,,
2006-08-31 00:00:00,,,,4.79,4.95,4.79,,,,,,
2006-09-01 00:00:00,,,,4.95,4.95,4.925,,,,,,
2006-09-05 00:00:00,,,,4.895,4.9725,4.8625,,,,,,
2006-09-06 00:00:00,,,,4.9375,5.3325,4.8875,,,,0,1,0
2006-09-07 00:00:00,,,,5.28,5.7025,5.1375,,,,,,
2006-09-08 00:00:00,,,,5.4775,5.68,5.4025,,,,,,
2006-09-11 00:00:00,,,,5.3775,5.49,5.375,,,,,,
2006-09-12 00:00:00,,,,5.4225,5.5125,5.3625,,,,,,
2006-09-13 00:00:00,,,,5.5024999999999995,5.8,5.5024999999999995,,,,,,
2006-09-14 00:00:00,,,,5.5625,5.625,5.4175,,,,1,1,0
2006-09-15 00:00:00,,,,5.4275,5.46,5.3,,,,,,
2006-09-18 00:00:00,,,,5.375,5.4375,5.3175,,,,,,
2006-09-19 00:00:00,,,,5.3875,5.625,5.3075,,,,,,
2006-09-20 00:00:00,,,,5.345,5.5649999999999995,5.34,,,,,,
2006-09-21 00:00:00,,,,5.425,5.4925,5.425,,,,,,
2006-09-22 00:00:00,,,,5.4425,5.555,5.415,,,,,,
2006-09-25 00:00:00,,,,5.48,5.6274999999999995,5.465,,,,,,
2006-09-26 00:00:00,,,,5.6,5.625,5.5775,,,,,,
2006-09-27 00:00:00,,,,5.465,5.6725,5.45,,,,,,
2006-09-28 00:00:00,,,,5.5875,5.7325,5.5725,,,,,,
2006-09-29 00:00:00,,,,5.6375,5.66,5.5525,,,,,,
2006-10-02 00:00:00,,,,5.595,5.6525,5.575,,,,,,
2006-10-03 00:00:00,,,,5.645,5.6825,5.58,,,,,,
2006-10-04 00:00:00,,,,5.6,5.7725,5.595,,,,,,
2006-10-05 00:00:00,,,,5.65,5.8149999999999995,5.65,,,,,,
2006-10-06 00:00:00,,,,5.755,5.7825,5.6899999999999995,,,,,,
2006-10-09 00:00:00,,,,5.7,5.7825,5.6625,,,,,,
2006-10-10 00:00:00,,,,5.6325,5.7125,5.6,,,,,,
2006-10-11 00:00:00,,,,5.675,5.6899999999999995,5.5925,,,,,,
2006-10-12 00:00:00,,,,5.835,5.8725000000000005,5.72,,,,,,
2006-10-13 00:00:00,,,,5.77,5.8525,5.77,,,,,,
2006-10-16 00:00:00,,,,5.835,5.835,5.75,,,,,,
2006-10-17 00:00:00,,,,5.75,5.7625,5.6975,,,,,,
2006-10-18 00:00:00,,,,5.7225,5.7625,5.6825,,,,,,
2006-10-19 00:00:00,,,,5.75,5.775,5.6925,,,,,,
2006-10-20 00:00:00,,,,5.7524999999999995,5.845,5.7524999999999995,,,,,,
2006-10-23 00:00:00,,,,5.8100000000000005,5.92,5.8100000000000005,,,,,,
2006-10-24 00:00:00,,,,5.825,5.9525,5.7775,,,,,,
2006-10-25 00:00:00,,,,5.925,6.0375,5.9175,,,,,,
2006-10-26 00:00:00,,,,5.9475,6.1225,5.93,,,,,,
2006-10-27 00:00:00,,,,6.0625,6.125,6.0425,,,,,,
2006-10-30 00:00:00,,,,6.0625,6.1425,5.9975000000000005,,,,0,1,0
2006-10-31 00:00:00,,,,5.975,5.9775,5.755,,,,,,
2006-11-01 00:00:00,,,,5.8425,5.8425,5.7225,,,,,,
2006-11-02 00:00:00,,,,5.75,5.9025,5.7,,,,0,1,0
2006-11-03 00:00:00,,,,5.825,5.865,5.7125,,,,,,
2006-11-06 00:00:00,,,,5.7,5.75,5.6775,,,,,,
2006-11-07 00:00:00,,,,5.6675,5.725,5.555,,,,,,
2006-11-08 00:00:00,,,,5.5,5.59,5.435,,,,,,
2006-11-09 00:00:00,,,,5.52,5.555,5.4975,,,,,,
2006-11-10 00:00:00,,,,5.5875,5.6375,5.5,,,,,,
2006-11-13 00:00:00,,,,5.6325,5.71,5.605,,,,,,
2006-11-14 00:00:00,,,,5.625,5.9025,5.625,,,,,,
2006-11-15 00:00:00,,,,6,6.005,5.885,,,,,,
2006-11-16 00:00:00,,,,5.9625,6.0375,5.925,,,,,,
2006-11-17 00:00:00,,,,6.015,6.015,5.945,,,,,,
2006-11-20 00:00:00,,,,6,6.0925,5.9625,,,,,,
2006-11-21 00:00:00,,,,6.04,6.085,5.9975000000000005,,,,,,
2006-11-22 00:00:00,,,,6.06,6.1625,6.035,,,,,,
2006-11-24 00:00:00,,,,6.0875,6.1125,6.0175,,,,,,
2006-11-27 00:00:00,,,,6.0875,6.0875,5.945,,,,,,
2006-11-28 00:00:00,,,,5.995,6.035,5.925,,,,,,
2006-11-29 00:00:00,,,,5.9675,6.035,5.965,,,,,,
2006-11-30 00:00:00,,,,6.0475,6.14,6.0025,,,,,,
2006-12-01 00:00:00,,,,6.105,6.1925,6.0375,,,,,,
2006-12-04 00:00:00,,,,6.0025,6.0175,5.895,,,,,,
2006-12-05 00:00:00,,,,5.9875,6.0525,5.975,,,,,,
2006-12-06 00:00:00,,,,6.0425,6.045,5.9399999999999995,,,,,,
2006-12-07 00:00:00,,,,5.9825,6.065,5.9375,,,,,,
2006-12-08 00:00:00,,,,5.95,5.9875,5.8725000000000005,,,,,,
2006-12-11 00:00:00,,,,5.9125,6,5.8149999999999995,,,,,,
2006-12-12 00:00:00,,,,5.95,5.9975000000000005,5.9325,,,,,,
2006-12-13 00:00:00,,,,5.9375,6.0225,5.9175,,,,,,
2006-12-14 00:00:00,,,,6.0475,6.0625,5.9475,,,,,,
2006-12-15 00:00:00,,,,5.995,6.0325,5.9175,,,,,,
2006-12-18 00:00:00,,,,5.9375,5.9625,5.8325,,,,,,
2006-12-19 00:00:00,,,,5.86,5.8625,5.7275,,,,,,
2006-12-20 00:00:00,,,,5.785,5.8575,5.785,,,,,,
2006-12-21 00:00:00,,,,5.855,5.885,5.6875,,,,,,
2006-12-22 00:00:00,,,,5.7325,5.895,5.7175,,,,,,
2006-12-26 00:00:00,,,,5.825,5.925,5.8149999999999995,,,,,,
2006-12-27 00:00:00,,,,5.915,6,5.915,,,,,,
2006-12-28 00:00:00,,,,5.9625,6.005,5.9,,,,,,
2006-12-29 00:00:00,,,,6.01,6.01,5.89,,,,,,
2007-01-03 00:00:00,,,,5.925,6.04,5.925,,,,,,
2007-01-04 00:00:00,,,,5.9875,6.06,5.95,,,,,,
2007-01-05 00:00:00,,,,6.0125,6.0975,5.955,,,,,,
2007-01-08 00:00:00,,,,6.0475,6.2025,6.0375,,,,,,
2007-01-09 00:00:00,,,,6.18,6.2175,6.115,,,,,,
2007-01-10 00:00:00,,,,6.14,6.1875,6.085,,,,,,
2007-01-11 00:00:00,,,,6.1875,6.23,6.1675,,,,,,
2007-01-12 00:00:00,,,,6.24,6.335,6.24,,,,,,
2007-01-16 00:00:00,,,,6.3125,6.4375,6.3125,,,,,,
2007-01-17 00:00:00,,,,6.4025,6.41,6.3675,,,,,,
2007-01-18 00:00:00,,,,6.38,6.4425,6.325,,,,,,
2007-01-19 00:00:00,,,,6.3875,6.3975,6.3125,,,,,,
2007-01-22 00:00:00,,,,6.315,6.38,6.2325,,,,,,
2007-01-23 00:00:00,,,,6.3375,6.4075,6.315,,,,,,
2007-01-24 00:00:00,,,,6.375,6.5,6.34,,,,,,
2007-01-25 00:00:00,,,,6.4925,6.515,6.445,,,,,,
2007-01-26 00:00:00,,,,6.46,6.5,6.395,,,,,,
2007-01-29 00:00:00,,,,6.4575,6.4975,6.365,,,,,,
2007-01-30 00:00:00,,,,6.4575,6.4725,6.4175,,,,,,
2007-01-31 00:00:00,,,,6.435,6.4375,6.3625,,,,,,
2007-02-01 00:00:00,,,,6.3,6.345,6.1425,,,,,,
2007-02-02 00:00:00,,,,6.2275,6.3925,6.2275,,,,0,1,0
2007-02-05 00:00:00,,,,6.3125,6.385,6.2375,,,,,,
2007-02-06 00:00:00,,,,6.2775,6.3225,6.2475,,,,,,
2007-02-07 00:00:00,,,,6.2625,6.3625,6.2375,,,,,,
2007-02-08 00:00:00,,,,6.2575,6.3125,6.2275,,,,,,
2007-02-09 00:00:00,,,,6.265,6.345,6.26,,,,,,
2007-02-12 00:00:00,,,,6.305,6.4875,6.3,,,,,,
2007-02-13 00:00:00,,,,6.4975,6.625,6.475,,,,,,
2007-02-14 00:00:00,,,,6.5925,6.6625,6.5925,,,,,,
2007-02-15 00:00:00,,,,6.6775,6.715,6.625,,,,,,
2007-02-16 00:00:00,,,,6.6675,6.7325,6.6625,,,,,,
2007-02-20 00:00:00,,,,6.675,6.75,6.6475,,,,,,
2007-02-21 00:00:00,,,,6.645,6.8025,6.64,,,,,,
2007-02-22 00:00:00,,,,6.79,6.8125,6.7375,,,,,,
2007-02-23 00:00:00,,,,6.745,6.7975,6.7325,,,,,,
2007-02-26 00:00:00,,,,6.75,6.8675,6.7425,,,,,,
2007-02-27 00:00:00,,,,6.78,6.875,6.75,,,,,,
2007-02-28 00:00:00,,,,6.8675,7.1875,6.8325,,,,0,2,0
2007-03-01 00:00:00,,,,7.0875,7.1425,6.9525,,,,,,
2007-03-02 00:00:00,,,,7.025,7.155,6.9925,,,,,,
2007-03-05 00:00:00,,,,6.9375,6.95,6.7875,,,,,,
2007-03-06 00:00:00,,,,6.8,6.9575,6.8,,,,,,
2007-03-07 00:00:00,,,,6.96,6.985,6.9025,,,,,,
2007-03-08 00:00:00,,,,6.975,7.055,6.955,,,,,,
2007-03-09 00:00:00,,,,7.065,7.095,7.025,,,,,,
2007-03-12 00:00:00,,,,7.0625,7.18,7.06,,,,,,
2007-03-13 00:00:00,,,,7.1,7.1725,7.0775,,,,,,
2007-03-14 00:00:00,,,,7.1325,7.185,6.925,,,,,,
2007-03-15 00:00:00,,,,6.9399999999999995,7,6.7675,,,,,,
2007-03-16 00:00:00,,,,6.765,6.8025,6.6975,,,,,,
2007-03-19 00:00:00,,,,6.72,6.9475,6.72,,,,,,
2007-03-20 00:00:00,,,,6.8725000000000005,7.0575,6.8725000000000005,,,,,,
2007-03-21 00:00:00,,,,7.02,7.105,6.985,,,,,,
2007-03-22 00:00:00,,,,7.1125,7.1975,7.105,,,,,,
2007-03-23 00:00:00,,,,7.1925,7.3525,7.1875,,,,,,
2007-03-26 00:00:00,,,,7.2775,7.325,7.2075,,,,,,
2007-03-27 00:00:00,,,,7.24,7.2975,7.225,,,,,,
2007-03-28 00:00:00,,,,7.3125,7.36,7.275,,,,0,3,0
2007-03-29 00:00:00,,,,7.3475,7.41,7.3,,,,0,3,0
2007-03-30 00:00:00,,,,7.3825,7.4125,7.25,,,,,,
2007-04-02 00:00:00,,,,7.3625,7.39,7.3525,,,,,,
2007-04-03 00:00:00,,,,7.385,7.4125,7.3475,,,,,,
2007-04-04 00:00:00,,,,7.35,7.38,7.2375,,,,,,
2007-04-05 00:00:00,,,,7.23,7.2625,7.2125,,,,,,
2007-04-09 00:00:00,,,,7.23,7.25,7.1025,,,,,,
2007-04-10 00:00:00,,,,7.1075,7.16,7.075,,,,,,
2007-04-11 00:00:00,,,,7.0975,7.1325,7.0475,,,,,,
2007-04-12 00:00:00,,,,7.0625,7.1775,7.035,,,,,,
2007-04-13 00:00:00,,,,7.1325,7.17,7.0775,,,,,,
2007-04-16 00:00:00,,,,7.125,7.125,7.05,,,,,,
2007-04-17 00:00:00,,,,7.08,7.0975,7.0675,,,,,,
2007-04-18 00:00:00,,,,7.0575,7.1075,7.0075,,,,,,
