Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,21.25,21.7917,21.25,,,,0,6,4
2000-05-02 00:00:00,,,,21.3958,21.75,21.3125,,,,0,6,3
2000-05-03 00:00:00,,,,21.3542,21.4375,20.6667,,,,,,
2000-05-04 00:00:00,,,,20.8125,21.6042,20.7708,,,,0,6,3
2000-05-05 00:00:00,,,,21.4792,21.6667,21.2917,,,,,,
2000-05-08 00:00:00,,,,21.6458,22.2917,21.5208,,,,,,
2000-05-09 00:00:00,,,,22.0625,22.0833,21.8125,,,,,,
2000-05-10 00:00:00,,,,21.8542,22,21.625,,,,,,
2000-05-11 00:00:00,,,,21.5208,22.5417,21.5,,,,,,
2000-05-12 00:00:00,,,,22.7083,23.375,22.4583,,,,,,
2000-05-15 00:00:00,,,,23.2917,23.375,23.0208,,,,,,
2000-05-16 00:00:00,,,,23.1875,23.1875,22.5,,,,,,
2000-05-17 00:00:00,,,,22.6042,23,22.2083,,,,0,6,3
2000-05-18 00:00:00,,,,22.875,22.875,22.3333,,,,,,
2000-05-19 00:00:00,,,,22.2917,22.8333,22.2708,,,,,,
2000-05-22 00:00:00,,,,22.4583,22.5625,22,,,,,,
2000-05-23 00:00:00,,,,22,22.4583,21.9167,,,,0,6,4
2000-05-24 00:00:00,,,,22.3958,22.6042,21.7917,,,,,,
2000-05-25 00:00:00,,,,21.7083,21.8333,21.25,,,,,,
2000-05-26 00:00:00,,,,21.7292,21.875,21.4792,,,,,,
2000-05-30 00:00:00,,,,21.4167,21.7708,21.4167,,,,,,
2000-05-31 00:00:00,,,,22.0833,22.3333,21.9583,,,,,,
2000-06-01 00:00:00,,,,22.3333,22.3333,21.5833,,,,0,6,5
2000-06-02 00:00:00,,,,21.9792,21.9792,20.8333,,,,,,
2000-06-05 00:00:00,,,,20.9375,21.5,20.9375,,,,,,
2000-06-06 00:00:00,,,,21.1667,21.9792,21.1667,,,,,,
2000-06-07 00:00:00,,,,22.0833,22.0833,21.3958,,,,,,
2000-06-08 00:00:00,,,,21.4583,21.9583,21.3958,,,,,,
2000-06-09 00:00:00,,,,21.6667,21.9583,21.5833,,,,,,
2000-06-12 00:00:00,,,,21.8542,22.5208,21.8542,,,,,,
2000-06-13 00:00:00,,,,22.2708,22.6458,22.2083,,,,,,
2000-06-14 00:00:00,,,,22.625,23.0417,22.2083,,,,,,
2000-06-15 00:00:00,,,,22.0833,22.3958,21.7292,,,,,,
2000-06-16 00:00:00,,,,21.9792,22.5833,21.9375,,,,,,
2000-06-19 00:00:00,,,,22.5417,22.5417,21.75,,,,,,
2000-06-20 00:00:00,,,,22.1667,22.2083,21.5417,,,,,,
2000-06-21 00:00:00,,,,22.0833,22.7917,22.0417,,,,,,
2000-06-22 00:00:00,,,,22.8333,22.9792,21.75,,,,,,
2000-06-23 00:00:00,,,,21.9583,22.375,21.875,,,,0,6,5
