Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,52.4375,55.125,52.4375,,,,0,7,0
2000-05-02 00:00:00,,,,54.75,55.125,52.75,,,,,,
2000-05-03 00:00:00,,,,52.875,53.6875,51.8125,,,,,,
2000-05-04 00:00:00,,,,52.1875,52.75,51.125,,,,,,
2000-05-05 00:00:00,,,,51,52.0625,50.0625,,,,,,
2000-05-08 00:00:00,,,,52.4375,53.25,52,,,,,,
2000-05-09 00:00:00,,,,53.5,53.75,51.3125,,,,,,
2000-05-10 00:00:00,,,,52.8125,53.1875,51.125,,,,,,
2000-05-11 00:00:00,,,,51.5,54.625,51.5,,,,,,
2000-05-12 00:00:00,,,,54.0625,54.0625,52.0625,,,,,,
2000-05-15 00:00:00,,,,52.5,57.0625,52.4375,,,,0,8,0
2000-05-16 00:00:00,,,,56.625,57,55.4375,,,,,,
2000-05-17 00:00:00,,,,55.625,55.625,53.0625,,,,,,
2000-05-18 00:00:00,,,,54.0625,56.5,54.0625,,,,0,8,0
2000-05-19 00:00:00,,,,56.1875,56.4375,55.875,,,,,,
2000-05-22 00:00:00,,,,56.3125,59.25,56,,,,,,
2000-05-23 00:00:00,,,,58.75,60.125,57.5,,,,,,
2000-05-24 00:00:00,,,,59.875,64,58.75,,,,,,
2000-05-25 00:00:00,,,,62.375,62.4375,57.5,,,,,,
2000-05-26 00:00:00,,,,58.5,59.375,58.0625,,,,,,
2000-05-30 00:00:00,,,,59.375,61.1875,58.5625,,,,0,8,0
2000-05-31 00:00:00,,,,60.375,60.375,58.5,,,,0,8,1
2000-06-01 00:00:00,,,,58.875,60.5,57.625,,,,0,8,1
2000-06-02 00:00:00,,,,61.25,61.25,59.5,,,,,,
2000-06-05 00:00:00,,,,60.75,60.75,57.875,,,,,,
2000-06-06 00:00:00,,,,55.5,55.5625,53.875,,,,,,
2000-06-07 00:00:00,,,,54.8125,56.0625,54.8125,,,,,,
2000-06-08 00:00:00,,,,55.75,55.875,54.75,,,,,,
2000-06-09 00:00:00,,,,55,55.5,53.625,,,,,,
2000-06-12 00:00:00,,,,53.875,54.5,53.0625,,,,,,
2000-06-13 00:00:00,,,,54.875,54.9375,54.0625,,,,,,
2000-06-14 00:00:00,,,,54,55.75,53.6875,,,,,,
2000-06-15 00:00:00,,,,55.6875,55.9375,54.3125,,,,,,
2000-06-16 00:00:00,,,,55,55,53.375,,,,,,
2000-06-19 00:00:00,,,,52,55.75,52,,,,0,8,1
2000-06-20 00:00:00,,,,55.25,55.25,52.25,,,,0,8,1
2000-06-21 00:00:00,,,,52.375,52.5625,50.5,,,,,,
2000-06-22 00:00:00,,,,50.625,50.875,49.4375,,,,,,
2000-06-23 00:00:00,,,,52.5625,54.5,51.875,,,,0,8,1
2000-06-26 00:00:00,,,,54.625,54.625,52.8125,,,,,,
2000-06-27 00:00:00,,,,55.5,56,54.8125,,,,,,
2000-06-28 00:00:00,,,,55.75,56,55.4375,,,,,,
2000-06-29 00:00:00,,,,55.9375,56.125,55.75,,,,,,
2000-06-30 00:00:00,,,,56,56.375,55.8125,,,,0,8,1
2000-07-03 00:00:00,,,,55.9375,56.625,55.375,,,,,,
2000-07-05 00:00:00,,,,56.75,58,56.125,,,,,,
2000-07-06 00:00:00,,,,57.8125,58.1875,56.6875,,,,,,
2000-07-07 00:00:00,,,,57.375,59.375,57.375,,,,,,
2000-07-10 00:00:00,,,,59,59.625,58.75,,,,,,
2000-07-11 00:00:00,,,,58.375,59.25,58,,,,,,
2000-07-12 00:00:00,,,,59.25,59.875,59.0625,,,,,,
2000-07-13 00:00:00,,,,59,59.25,58,,,,,,
