Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,39.9375,42,39.8125,,,,0,4,1
2000-05-02 00:00:00,,,,41.75,41.875,41,,,,,,
2000-05-03 00:00:00,,,,41.25,41.25,40,,,,,,
2000-05-04 00:00:00,,,,40.4375,40.875,39.9375,,,,,,
2000-05-05 00:00:00,,,,39.9375,41.625,39.875,,,,,,
2000-05-08 00:00:00,,,,41.5,41.875,40.5,,,,,,
2000-05-09 00:00:00,,,,41,41.1875,40.375,,,,0,4,1
2000-05-10 00:00:00,,,,40.875,41.125,40.25,,,,,,
2000-05-11 00:00:00,,,,40.875,41.4375,40.875,,,,,,
2000-05-12 00:00:00,,,,41.4375,42,41.125,,,,,,
2000-05-15 00:00:00,,,,41.9375,42.1875,41.5625,,,,,,
2000-05-16 00:00:00,,,,41.9375,42.875,41.125,,,,,,
2000-05-17 00:00:00,,,,41.75,41.75,40.75,,,,,,
2000-05-18 00:00:00,,,,41,41.4375,40.0625,,,,,,
2000-05-19 00:00:00,,,,39.75,40,39.4375,,,,0,4,1
2000-05-22 00:00:00,,,,39.6875,39.75,37.125,,,,,,
2000-05-23 00:00:00,,,,39.3125,39.5,38.5625,,,,,,
2000-05-24 00:00:00,,,,38.8125,39.25,38.1875,,,,,,
2000-05-25 00:00:00,,,,39,39,37.875,,,,,,
2000-05-26 00:00:00,,,,38.625,39.75,38.0625,,,,0,5,0
2000-05-30 00:00:00,,,,38.5,39,38.25,,,,,,
2000-05-31 00:00:00,,,,38.75,38.8125,37.1875,,,,,,
2000-06-01 00:00:00,,,,37.25,37.25,35.6875,,,,0,6,1
2000-06-02 00:00:00,,,,36.75,37.5,36.625,,,,,,
2000-06-05 00:00:00,,,,36.5625,36.6875,34.75,,,,,,
2000-06-06 00:00:00,,,,36.5,37.0625,35.75,,,,,,
2000-06-07 00:00:00,,,,36.6875,37.6875,36.6875,,,,0,6,1
