Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,24.0928,25.0782,23.4839,,,,0,9,0
2000-05-02 00:00:00,,,,24.89,25.1557,24.4693,,,,,,
2000-05-03 00:00:00,,,,24.0042,24.1593,22.8528,,,,,,
2000-05-04 00:00:00,,,,23.4728,23.5614,22.5981,,,,,,
2000-05-05 00:00:00,,,,23.3842,24.5911,23.1628,,,,0,9,0
2000-05-08 00:00:00,,,,24.2035,24.2146,23.6389,,,,,,
2000-05-09 00:00:00,,,,23.9932,23.9932,23.2624,,,,,,
2000-05-10 00:00:00,,,,23.2071,23.3731,21.7123,,,,,,
2000-05-11 00:00:00,,,,22.3656,23.2735,21.9338,,,,,,
2000-05-12 00:00:00,,,,23.4728,24.5025,23.2292,,,,0,10,0
2000-05-15 00:00:00,,,,23.6499,23.8271,22.5759,,,,,,
2000-05-16 00:00:00,,,,23.9157,24.8789,23.8492,,,,,,
2000-05-17 00:00:00,,,,23.7607,23.9046,22.7199,,,,0,10,0
2000-05-18 00:00:00,,,,23.2956,23.4949,23.0078,,,,,,
2000-05-19 00:00:00,,,,23.3399,23.3399,22.0888,,,,0,10,0
2000-05-22 00:00:00,,,,22.3656,22.4874,20.9926,,,,,,
2000-05-23 00:00:00,,,,21.2584,22.1331,21.2584,,,,,,
2000-05-24 00:00:00,,,,21.2694,21.3359,20.0626,,,,,,
2000-05-25 00:00:00,,,,20.3948,21.6016,20.3726,,,,,,
2000-05-26 00:00:00,,,,20.3062,21.2473,20.2951,,,,,,
2000-05-30 00:00:00,,,,21.2141,22.0998,21.1919,,,,,,
2000-05-31 00:00:00,,,,21.8009,22.0334,21.1809,,,,,,
2000-06-01 00:00:00,,,,22.1441,23.9046,22.0334,,,,0,10,0
2000-06-02 00:00:00,,,,24.1814,25.7536,23.7496,,,,0,10,0
2000-06-05 00:00:00,,,,25.9918,28.1484,25.9493,,,,,,
2000-06-06 00:00:00,,,,26.9566,27.212,26.3323,,,,0,11,0
2000-06-07 00:00:00,,,,26.8005,28.2619,26.5593,,,,,,
2000-06-08 00:00:00,,,,27.822,29.0138,27.3539,,,,,,
2000-06-09 00:00:00,,,,28.9429,29.6097,28.9145,,,,0,11,0
2000-06-12 00:00:00,,,,28.8152,28.9996,28.2761,,,,,,
2000-06-13 00:00:00,,,,27.3539,27.3539,26.5593,,,,0,10,1
2000-06-14 00:00:00,,,,27.1269,27.141,25.8783,,,,0,10,1
2000-06-15 00:00:00,,,,26.1053,27.2262,25.9918,,,,,,
2000-06-16 00:00:00,,,,26.5026,26.531,25.8783,,,,0,10,1
2000-06-19 00:00:00,,,,26.3607,27.1269,25.9351,,,,,,
2000-06-20 00:00:00,,,,26.8857,27.3397,26.3465,,,,,,
