Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,10.3906,10.6406,10.125,,,,0,4,1
2000-05-02 00:00:00,,,,10.0469,10.0625,8.2813,,,,0,3,2
2000-05-03 00:00:00,,,,8.7656,9.0313,8.2344,,,,,,
2000-05-04 00:00:00,,,,8.2031,8.4219,8.1719,,,,0,2,3
2000-05-05 00:00:00,,,,8.25,8.2969,7.8906,,,,0,2,3
2000-05-08 00:00:00,,,,7.9688,8.1719,7.9531,,,,,,
2000-05-09 00:00:00,,,,8.0781,8.1094,7.5469,,,,,,
2000-05-10 00:00:00,,,,7.6719,7.9063,7.5781,,,,,,
2000-05-11 00:00:00,,,,8,8.3125,7.9219,,,,,,
2000-05-12 00:00:00,,,,8.2031,8.2031,8.0625,,,,,,
2000-05-15 00:00:00,,,,8.3438,8.75,8.1406,,,,,,
2000-05-16 00:00:00,,,,8.2969,8.3438,8.1094,,,,,,
2000-05-17 00:00:00,,,,8.1406,8.1406,7.9219,,,,,,
2000-05-18 00:00:00,,,,7.9063,8.0625,7.7656,,,,,,
2000-05-19 00:00:00,,,,7.7188,7.8438,7.625,,,,,,
2000-05-22 00:00:00,,,,7.6719,7.75,7.4219,,,,,,
2000-05-23 00:00:00,,,,7.4531,7.4844,7.125,,,,,,
2000-05-24 00:00:00,,,,7.2969,7.5313,7.2969,,,,0,2,3
2000-05-25 00:00:00,,,,7.4688,7.6094,7.1875,,,,,,
2000-05-26 00:00:00,,,,7.2188,7.3438,7.0625,,,,,,
2000-05-30 00:00:00,,,,7.25,7.5156,7.2031,,,,,,
2000-05-31 00:00:00,,,,7.375,7.7813,7.375,,,,,,
2000-06-01 00:00:00,,,,7.7188,8.2188,7.7031,,,,0,2,3
2000-06-02 00:00:00,,,,8.125,8.4219,8.0781,,,,,,
2000-06-05 00:00:00,,,,8.125,8.3125,7.7813,,,,,,
2000-06-06 00:00:00,,,,7.9375,7.9531,7.7656,,,,,,
2000-06-07 00:00:00,,,,7.875,8.1719,7.875,,,,,,
2000-06-08 00:00:00,,,,7.9844,8.0781,7.7813,,,,,,
2000-06-09 00:00:00,,,,6.875,7.4844,6.7344,,,,0,2,3
2000-06-12 00:00:00,,,,7.25,7.3594,7.25,,,,,,
2000-06-13 00:00:00,,,,7.2656,7.3594,7.2031,,,,,,
2000-06-14 00:00:00,,,,7.3125,7.4063,7.2188,,,,,,
2000-06-15 00:00:00,,,,7.2656,7.4688,7.2344,,,,,,
2000-06-16 00:00:00,,,,7.3281,7.4688,7.3281,,,,0,2,3
2000-06-19 00:00:00,,,,7.3906,7.5313,7.375,,,,,,
2000-06-20 00:00:00,,,,7.4063,7.4375,7.3281,,,,,,
2000-06-21 00:00:00,,,,7.375,7.5938,7.3125,,,,,,
2000-06-22 00:00:00,,,,7.4844,7.7969,7.4844,,,,,,
2000-06-23 00:00:00,,,,7.75,7.8438,7.75,,,,,,
2000-06-26 00:00:00,,,,7.7969,7.9375,7.7813,,,,,,
2000-06-27 00:00:00,,,,8.0469,8.25,8.0156,,,,,,
2000-06-28 00:00:00,,,,8.1719,8.1875,7.9219,,,,,,
2000-06-29 00:00:00,,,,7.9688,8.3281,7.9531,,,,,,
2000-06-30 00:00:00,,,,8.3438,8.4219,8.0156,,,,,,
2000-07-03 00:00:00,,,,8,8.3125,7.9063,,,,,,
2000-07-05 00:00:00,,,,7.9375,8.125,7.9219,,,,,,
2000-07-06 00:00:00,,,,8,8.0625,7.9063,,,,,,
2000-07-07 00:00:00,,,,7.9844,8.0625,7.9688,,,,,,
2000-07-10 00:00:00,,,,8,8.1875,7.9688,,,,,,
2000-07-11 00:00:00,,,,8.0625,8.0781,7.9531,,,,,,
2000-07-12 00:00:00,,,,7.8438,8.1406,7.8438,,,,,,
2000-07-13 00:00:00,,,,7.9844,8.1875,7.9688,,,,,,
2000-07-14 00:00:00,,,,8.2344,8.4375,8.2344,,,,,,
2000-07-17 00:00:00,,,,8.2813,8.3594,8.1563,,,,,,
2000-07-18 00:00:00,,,,8.125,8.2344,8.0469,,,,,,
2000-07-19 00:00:00,,,,8.1563,8.2344,8,,,,,,
2000-07-20 00:00:00,,,,8.2031,8.2031,8.0156,,,,,,
2000-07-21 00:00:00,,,,8.125,8.1719,7.9844,,,,,,
2000-07-24 00:00:00,,,,8.0938,8.1406,7.9219,,,,,,
2000-07-25 00:00:00,,,,7.9844,7.9844,7.8594,,,,,,
2000-07-26 00:00:00,,,,7.8281,8.0469,7.7031,,,,,,
2000-07-27 00:00:00,,,,7.9219,8.0938,7.8438,,,,,,
2000-07-28 00:00:00,,,,7.8594,7.9219,7.7969,,,,,,
2000-07-31 00:00:00,,,,7.8281,8.0781,7.8281,,,,,,
2000-08-01 00:00:00,,,,7.9375,8.0781,7.9375,,,,,,
2000-08-02 00:00:00,,,,8.0625,8.125,8,,,,,,
2000-08-03 00:00:00,,,,8.0625,8.0625,8.0156,,,,,,
2000-08-04 00:00:00,,,,8.0625,8.2344,8.0313,,,,,,
2000-08-07 00:00:00,,,,8.0469,8.0781,7.9375,,,,,,
2000-08-08 00:00:00,,,,8,8.0781,7.9688,,,,,,
2000-08-09 00:00:00,,,,8,8.0938,8,,,,,,
2000-08-10 00:00:00,,,,8.0938,8.3125,8.0156,,,,,,
2000-08-11 00:00:00,,,,8.2969,8.3281,8.2188,,,,,,
2000-08-14 00:00:00,,,,8.25,8.25,8.0313,,,,,,
2000-08-15 00:00:00,,,,8.1563,8.375,8.0938,,,,,,
2000-08-16 00:00:00,,,,8.375,8.375,8.125,,,,,,
2000-08-17 00:00:00,,,,8.1406,8.2813,8.1094,,,,,,
2000-08-18 00:00:00,,,,8.1094,8.1094,7.9531,,,,,,
2000-08-21 00:00:00,,,,8.0313,8.3125,8,,,,,,
2000-08-22 00:00:00,,,,8.0938,8.4063,8.0469,,,,,,
2000-08-23 00:00:00,,,,8.3281,8.6719,8.2969,,,,,,
2000-08-24 00:00:00,,,,8.6875,8.7031,8.4844,,,,,,
2000-08-25 00:00:00,,,,8.3906,8.5469,8.3906,,,,,,
2000-08-28 00:00:00,,,,8.5313,8.6719,8.5156,,,,,,
2000-08-29 00:00:00,,,,8.6094,8.6875,8.5625,,,,,,
2000-08-30 00:00:00,,,,8.625,8.7969,8.5938,,,,,,
2000-08-31 00:00:00,,,,8.75,9.0469,8.75,,,,0,2,3
2000-09-01 00:00:00,,,,9,9.0156,8.8125,,,,,,
2000-09-05 00:00:00,,,,8.8906,9.0625,8.875,,,,,,
2000-09-06 00:00:00,,,,9.0156,9.25,8.9375,,,,,,
2000-09-07 00:00:00,,,,9.0313,9.0625,8.8438,,,,,,
2000-09-08 00:00:00,,,,8.9219,8.9844,8.8125,,,,,,
2000-09-11 00:00:00,,,,8.875,9.0625,8.875,,,,,,
2000-09-12 00:00:00,,,,8.9375,8.9375,8.8125,,,,,,
2000-09-13 00:00:00,,,,8.75,8.7813,8.6094,,,,,,
2000-09-14 00:00:00,,,,8.6563,8.6719,8.5,,,,,,
2000-09-15 00:00:00,,,,8.5,8.5313,8.4375,,,,,,
2000-09-18 00:00:00,,,,8.375,8.4844,8.3125,,,,,,
2000-09-19 00:00:00,,,,8.375,8.5781,8.375,,,,,,
2000-09-20 00:00:00,,,,8.375,8.5313,8.375,,,,,,
2000-09-21 00:00:00,,,,8.5156,8.5313,8.4063,,,,,,
2000-09-22 00:00:00,,,,8.4375,8.5625,8.4375,,,,,,
2000-09-25 00:00:00,,,,8.5313,8.7344,8.5,,,,,,
2000-09-26 00:00:00,,,,8.6563,8.875,8.625,,,,,,
2000-09-27 00:00:00,,,,8.625,8.875,8.625,,,,,,
2000-09-28 00:00:00,,,,8.8594,9.25,8.8594,,,,,,
2000-09-29 00:00:00,,,,9.2344,9.3438,9.1094,,,,,,
2000-10-02 00:00:00,,,,9.2656,9.3125,9.1094,,,,,,
2000-10-03 00:00:00,,,,9.2031,9.3281,9.125,,,,,,
2000-10-04 00:00:00,,,,9.125,9.2188,8.9844,,,,,,
2000-10-05 00:00:00,,,,9.0313,9.0938,9,,,,,,
2000-10-06 00:00:00,,,,8.9531,8.9688,8.625,,,,,,
2000-10-09 00:00:00,,,,8.7031,8.8281,8.6875,,,,,,
2000-10-10 00:00:00,,,,8.75,8.8125,8.6406,,,,,,
2000-10-11 00:00:00,,,,8.7344,8.8125,8.7188,,,,,,
2000-10-12 00:00:00,,,,8.8125,8.8125,8.3906,,,,,,
2000-10-13 00:00:00,,,,8.4219,8.7188,8.4219,,,,,,
2000-10-16 00:00:00,,,,8.6563,8.7344,8.5,,,,,,
2000-10-17 00:00:00,,,,8.6094,8.6875,8.4844,,,,,,
2000-10-18 00:00:00,,,,8.4063,8.4219,7.8281,,,,,,
2000-10-19 00:00:00,,,,8.0625,8.7188,8.0469,,,,,,
2000-10-20 00:00:00,,,,8.6406,8.7031,8.5625,,,,,,
2000-10-23 00:00:00,,,,8.6406,8.6563,8.4688,,,,,,
2000-10-24 00:00:00,,,,8.5,8.6094,8.4531,,,,,,
2000-10-25 00:00:00,,,,8.5313,8.5938,8.4844,,,,,,
2000-10-26 00:00:00,,,,8.5313,8.5625,8.4375,,,,,,
2000-10-27 00:00:00,,,,8.4688,8.7344,8.4531,,,,,,
2000-10-30 00:00:00,,,,8.6563,8.9844,8.6563,,,,,,
2000-10-31 00:00:00,,,,8.9375,9.0156,8.8906,,,,,,
2000-11-01 00:00:00,,,,8.9063,9,8.8438,,,,,,
2000-11-02 00:00:00,,,,8.8906,8.9063,8.7344,,,,,,
2000-11-03 00:00:00,,,,8.75,8.7813,8.6563,,,,,,
2000-11-06 00:00:00,,,,8.6719,8.7656,8.5938,,,,,,
2000-11-07 00:00:00,,,,8.5313,8.7188,8.3594,,,,,,
2000-11-08 00:00:00,,,,8.5156,8.6094,8.4531,,,,,,
2000-11-09 00:00:00,,,,8.5156,8.5938,8.4219,,,,,,
2000-11-10 00:00:00,,,,8.4844,8.4844,8.3594,,,,,,
2000-11-13 00:00:00,,,,8.3281,8.375,8.2031,,,,,,
2000-11-14 00:00:00,,,,8.3125,8.6094,8.3125,,,,,,
2000-11-15 00:00:00,,,,8.4688,8.5469,8.4375,,,,,,
2000-11-16 00:00:00,,,,8.5,8.5313,8.4844,,,,,,
2000-11-17 00:00:00,,,,8.5,8.5781,8.5,,,,,,
2000-11-20 00:00:00,,,,8.5,8.5,8.4063,,,,,,
2000-11-21 00:00:00,,,,8.4531,8.5156,8.4531,,,,,,
2000-11-22 00:00:00,,,,8.4844,8.5,8.4531,,,,,,
2000-11-24 00:00:00,,,,8.4688,8.5781,8.4688,,,,,,
2000-11-27 00:00:00,,,,8.6094,8.6094,8.5313,,,,,,
2000-11-28 00:00:00,,,,8.6094,8.6094,8.5469,,,,0,2,3
2000-11-29 00:00:00,,,,8.5938,8.625,8.2188,,,,,,
2000-11-30 00:00:00,,,,8.5469,8.8438,8.4531,,,,,,
2000-12-01 00:00:00,,,,8.875,9.25,8.875,,,,,,
2000-12-04 00:00:00,,,,9,9.4063,8.9844,,,,,,
2000-12-05 00:00:00,,,,9.4375,9.5938,9.4063,,,,,,
2000-12-06 00:00:00,,,,9.4688,9.7813,9.3594,,,,,,
2000-12-07 00:00:00,,,,9.2813,9.4844,9.2813,,,,,,
2000-12-08 00:00:00,,,,9.3125,9.3906,9.25,,,,,,
2000-12-11 00:00:00,,,,9.3125,9.3125,9.1094,,,,,,
2000-12-12 00:00:00,,,,9.2188,9.3438,9.1719,,,,,,
2000-12-13 00:00:00,,,,9.2656,9.3594,9.25,,,,,,
2000-12-14 00:00:00,,,,9.2656,9.3281,9.1719,,,,,,
2000-12-15 00:00:00,,,,9.2031,9.3281,9.2031,,,,,,
2000-12-18 00:00:00,,,,9.375,9.625,9.375,,,,0,2,3
2000-12-19 00:00:00,,,,9.5625,9.8438,9.5625,,,,,,
2000-12-20 00:00:00,,,,9.7813,9.9844,9.5781,,,,,,
2000-12-21 00:00:00,,,,9.625,9.7969,9.5938,,,,,,
2000-12-22 00:00:00,,,,9.7031,9.8125,9.6719,,,,,,
2000-12-26 00:00:00,,,,9.7344,9.9219,9.7344,,,,,,
2000-12-27 00:00:00,,,,9.8594,9.8594,9.7188,,,,,,
2000-12-28 00:00:00,,,,9.7813,10.2656,9.7656,,,,,,
2000-12-29 00:00:00,,,,10.2188,10.9844,10.2188,,,,,,
2001-01-02 00:00:00,,,,10.2813,10.3125,10,,,,,,
2001-01-03 00:00:00,,,,10.0625,10.1563,9.9688,,,,,,
2001-01-04 00:00:00,,,,10.1406,10.375,10.1094,,,,,,
2001-01-05 00:00:00,,,,10.1563,10.2969,10.0938,,,,,,
2001-01-08 00:00:00,,,,9.6875,9.6875,9.2344,,,,,,
2001-01-09 00:00:00,,,,9.2813,9.6563,9.1563,,,,,,
2001-01-10 00:00:00,,,,9.4063,9.7188,9.4063,,,,0,2,3
2001-01-11 00:00:00,,,,9.5469,9.7344,9.5156,,,,,,
2001-01-12 00:00:00,,,,9.5469,9.6563,9.4375,,,,,,
2001-01-16 00:00:00,,,,9.5156,9.8438,9.5156,,,,,,
2001-01-17 00:00:00,,,,9.8594,9.9688,9.7188,,,,,,
2001-01-18 00:00:00,,,,9.75,10.0781,9.75,,,,,,
2001-01-19 00:00:00,,,,9.9844,10.0781,9.9375,,,,,,
2001-01-22 00:00:00,,,,10.0469,10.1406,10.0156,,,,,,
2001-01-23 00:00:00,,,,10.0781,10.625,10.0781,,,,,,
2001-01-24 00:00:00,,,,10.5,10.5,10.2656,,,,,,
2001-01-25 00:00:00,,,,10.2969,10.4844,10.2813,,,,,,
2001-01-26 00:00:00,,,,10.3594,10.375,10.2969,,,,,,
2001-01-29 00:00:00,,,,10.275,10.8625,10.275,,,,,,
2001-01-30 00:00:00,,,,10.85,11.0125,10.815,,,,,,
2001-01-31 00:00:00,,,,10.925,10.925,10.8,,,,,,
2001-02-01 00:00:00,,,,10.825,10.8375,10.7475,,,,,,
2001-02-02 00:00:00,,,,10.7625,10.825,10.65,,,,,,
2001-02-05 00:00:00,,,,10.8,10.825,10.6875,,,,,,
2001-02-06 00:00:00,,,,10.75,10.765,10.6125,,,,,,
2001-02-07 00:00:00,,,,10.6625,10.7375,10.45,,,,,,
2001-02-08 00:00:00,,,,10.47,10.675,10.47,,,,,,
2001-02-09 00:00:00,,,,10.5475,10.8675,10.53,,,,,,
2001-02-12 00:00:00,,,,10.775,10.9375,10.77,,,,,,
2001-02-13 00:00:00,,,,10.9125,10.975,10.7975,,,,,,
2001-02-14 00:00:00,,,,10.7625,10.8625,10.725,,,,,,
2001-02-15 00:00:00,,,,10.975,11.37,10.975,,,,,,
2001-02-16 00:00:00,,,,11.125,11.4,11.0875,,,,,,
2001-02-20 00:00:00,,,,11.4,11.425,11.1925,,,,,,
2001-02-21 00:00:00,,,,11.225,11.225,11,,,,,,
2001-02-22 00:00:00,,,,11.025,11.025,10.7375,,,,,,
2001-02-23 00:00:00,,,,10.95,10.9825,10.775,,,,,,
2001-02-26 00:00:00,,,,11.1,11.175,10.93,,,,,,
2001-02-27 00:00:00,,,,11.175,11.425,11.1,,,,0,2,3
2001-02-28 00:00:00,,,,11.725,12.375,11.6875,,,,0,3,2
2001-03-01 00:00:00,,,,12.2875,12.675,12,,,,,,
2001-03-02 00:00:00,,,,12.4625,12.72,12.375,,,,0,3,2
2001-03-05 00:00:00,,,,12.625,12.9125,12.625,,,,,,
2001-03-06 00:00:00,,,,12.7875,12.975,12.6775,,,,,,
2001-03-07 00:00:00,,,,12.7625,13.0675,12.755,,,,,,
2001-03-08 00:00:00,,,,13.0625,13.0975,12.8,,,,,,
2001-03-09 00:00:00,,,,13.075,13.085,12.6875,,,,,,
2001-03-12 00:00:00,,,,12.6875,12.7,12.1125,,,,,,
2001-03-13 00:00:00,,,,12.1325,12.625,12.0625,,,,,,
2001-03-14 00:00:00,,,,12.35,12.5625,12.31,,,,,,
2001-03-15 00:00:00,,,,12.5,12.6125,12.1725,,,,,,
2001-03-16 00:00:00,,,,12.5,12.6125,12.375,,,,0,3,2
2001-03-19 00:00:00,,,,12.4925,12.525,12.2875,,,,,,
2001-03-20 00:00:00,,,,12.4875,12.4875,12.1875,,,,,,
2001-03-21 00:00:00,,,,12.19,12.225,11.9875,,,,,,
2001-03-22 00:00:00,,,,12.0025,12.025,11.625,,,,,,
2001-03-23 00:00:00,,,,11.925,12.4225,11.8875,,,,,,
2001-03-26 00:00:00,,,,12.2,12.675,12.1825,,,,,,
2001-03-27 00:00:00,,,,12.65,12.7125,12.5675,,,,,,
2001-03-28 00:00:00,,,,12.625,12.625,12.41,,,,,,
2001-03-29 00:00:00,,,,12.49,12.5,12.375,,,,,,
2001-03-30 00:00:00,,,,12.475,12.625,12.4375,,,,,,
2001-04-02 00:00:00,,,,12.5775,12.7125,12.3125,,,,,,
2001-04-03 00:00:00,,,,12.325,12.35,11.995,,,,0,3,2
2001-04-04 00:00:00,,,,12.0375,12.3,11.9875,,,,,,
2001-04-05 00:00:00,,,,12.3,12.71,12.3,,,,,,
2001-04-06 00:00:00,,,,12.5,12.5,12.3375,,,,,,
2001-04-09 00:00:00,,,,12.445,12.5,12.355,,,,,,
2001-04-10 00:00:00,,,,12.5,12.85,12.5,,,,,,
2001-04-11 00:00:00,,,,12.775,12.8125,12.595,,,,,,
2001-04-12 00:00:00,,,,12.695,12.7625,12.5,,,,,,
2001-04-16 00:00:00,,,,13,13.0675,12.7,,,,0,3,2
2001-04-17 00:00:00,,,,12.875,13.095,12.855,,,,,,
2001-04-18 00:00:00,,,,13.045,13.3625,13.0425,,,,,,
2001-04-19 00:00:00,,,,13.2125,13.55,13.1625,,,,,,
2001-04-20 00:00:00,,,,13.5,13.5625,13.425,,,,,,
2001-04-23 00:00:00,,,,13.4275,13.4275,13.25,,,,,,
2001-04-24 00:00:00,,,,13.375,13.475,13.35,,,,,,
2001-04-25 00:00:00,,,,13.3625,13.575,13.3625,,,,,,
2001-04-26 00:00:00,,,,13.4375,13.5525,13.375,,,,,,
2001-04-27 00:00:00,,,,13.375,13.65,13.375,,,,,,
2001-04-30 00:00:00,,,,13.675,13.75,13.6,,,,,,
2001-05-01 00:00:00,,,,13.6875,13.6875,13.375,,,,,,
2001-05-02 00:00:00,,,,13.4875,13.525,13.3675,,,,,,
2001-05-03 00:00:00,,,,13.4475,13.4475,13.125,,,,,,
2001-05-04 00:00:00,,,,13.3,13.495,13.2875,,,,,,
2001-05-07 00:00:00,,,,13.375,13.7275,13.375,,,,,,
2001-05-08 00:00:00,,,,13.5525,13.7,13.52,,,,0,3,2
2001-05-09 00:00:00,,,,13.55,13.8125,13.545,,,,,,
2001-05-10 00:00:00,,,,13.925,13.99,13.8325,,,,,,
2001-05-11 00:00:00,,,,14,14.125,13.975,,,,,,
2001-05-14 00:00:00,,,,14,14.0025,13.9125,,,,,,
2001-05-15 00:00:00,,,,14.0625,14.1125,13.9575,,,,0,3,2
2001-05-16 00:00:00,,,,14.0375,14.5025,14.025,,,,0,3,2
2001-05-17 00:00:00,,,,14.4925,14.625,14.4525,,,,,,
2001-05-18 00:00:00,,,,14.55,14.6425,14.4775,,,,,,
2001-05-21 00:00:00,,,,14.6175,15.4375,14.6,,,,,,
2001-05-22 00:00:00,,,,15.425,15.425,15.06,,,,,,
2001-05-23 00:00:00,,,,15.05,15.125,14.8375,,,,,,
2001-05-24 00:00:00,,,,14.9625,15.075,14.8875,,,,,,
2001-05-25 00:00:00,,,,14.95,15,14.85,,,,,,
2001-05-29 00:00:00,,,,15.1125,15.15,14.95,,,,,,
2001-05-30 00:00:00,,,,15.0375,15.25,14.8375,,,,,,
2001-05-31 00:00:00,,,,14.825,14.98,14.8,,,,,,
2001-06-01 00:00:00,,,,14.85,15.2575,14.74,,,,0,3,2
2001-06-04 00:00:00,,,,15.24,15.625,15.075,,,,,,
2001-06-05 00:00:00,,,,15.525,16.15,15.52,,,,,,
2001-06-06 00:00:00,,,,15.9325,15.9375,15.715,,,,,,
2001-06-07 00:00:00,,,,15.715,16,15.715,,,,0,3,2
2001-06-08 00:00:00,,,,15.98,15.98,15.825,,,,,,
2001-06-11 00:00:00,,,,15.9375,15.975,15.775,,,,0,3,2
2001-06-12 00:00:00,,,,15.875,15.875,15.615,,,,,,
2001-06-13 00:00:00,,,,15.875,15.975,15.7375,,,,,,
2001-06-14 00:00:00,,,,15.75,15.9,15.4,,,,,,
2001-06-15 00:00:00,,,,15.7125,15.805,15.5625,,,,,,
2001-06-18 00:00:00,,,,15.75,15.8625,15.565,,,,,,
2001-06-19 00:00:00,,,,15.6375,15.7975,15.6125,,,,,,
2001-06-20 00:00:00,,,,15.6125,15.925,15.55,,,,,,
2001-06-21 00:00:00,,,,15.875,16.125,15.825,,,,0,3,2
2001-06-22 00:00:00,,,,15.955,16.125,15.875,,,,,,
2001-06-25 00:00:00,,,,15.975,16.0375,15.925,,,,,,
2001-06-26 00:00:00,,,,15.9375,15.9975,15.86,,,,,,
2001-06-27 00:00:00,,,,15.9375,15.9625,15.85,,,,,,
2001-06-28 00:00:00,,,,15.95,16.095,15.94,,,,,,
2001-06-29 00:00:00,,,,16.125,16.375,16.0875,,,,,,
2001-07-02 00:00:00,,,,16.1625,17.2,16.1625,,,,,,
2001-07-03 00:00:00,,,,17.1025,17.4,16.7875,,,,0,3,2
2001-07-05 00:00:00,,,,16.825,16.825,16.5125,,,,,,
2001-07-06 00:00:00,,,,16.75,16.825,16.6625,,,,,,
2001-07-09 00:00:00,,,,16.65,16.9125,16.625,,,,,,
2001-07-10 00:00:00,,,,16.9375,16.995,16.475,,,,,,
2001-07-11 00:00:00,,,,16.475,16.51,16.19,,,,,,
2001-07-12 00:00:00,,,,16.4575,16.5875,16.275,,,,,,
2001-07-13 00:00:00,,,,16.6025,16.775,16.5,,,,,,
2001-07-16 00:00:00,,,,16.7875,16.935,16.7825,,,,,,
2001-07-17 00:00:00,,,,16.9,17.025,16.9,,,,0,3,2
2001-07-18 00:00:00,,,,16.975,17.06,16.895,,,,,,
2001-07-19 00:00:00,,,,17.25,17.5875,17.16,,,,,,
2001-07-20 00:00:00,,,,17.2875,17.3575,17.0375,,,,,,
2001-07-23 00:00:00,,,,17.2375,17.625,17.175,,,,,,
2001-07-24 00:00:00,,,,17.4375,17.4375,16.9375,,,,,,
2001-07-25 00:00:00,,,,16.975,17.5125,16.9625,,,,,,
2001-07-26 00:00:00,,,,17.5125,17.79,17.5125,,,,,,
2001-07-27 00:00:00,,,,17.8125,17.9,17.7,,,,,,
2001-07-30 00:00:00,,,,17.65,17.85,17.58,,,,,,
2001-07-31 00:00:00,,,,17.75,17.9075,17.75,,,,,,
2001-08-01 00:00:00,,,,17.8875,18.12,17.875,,,,,,
2001-08-02 00:00:00,,,,18,18.06,17.85,,,,,,
2001-08-03 00:00:00,,,,17.925,18.075,17.65,,,,,,
2001-08-06 00:00:00,,,,18.15,18.195,17.575,,,,,,
2001-08-07 00:00:00,,,,17.71,18.05,17.515,,,,,,
2001-08-08 00:00:00,,,,17.55,17.55,16.5,,,,,,
2001-08-09 00:00:00,,,,17.475,17.475,16.95,,,,,,
2001-08-10 00:00:00,,,,17.475,17.735,17.275,,,,,,
2001-08-13 00:00:00,,,,17.475,18.175,17.47,,,,,,
2001-08-14 00:00:00,,,,18.165,18.4,17.975,,,,,,
2001-08-15 00:00:00,,,,18.2,18.375,18.15,,,,,,
2001-08-16 00:00:00,,,,18.125,18.4,18.1,,,,,,
2001-08-17 00:00:00,,,,18.2,18.475,18.19,,,,,,
2001-08-20 00:00:00,,,,18.375,18.785,18.35,,,,,,
2001-08-21 00:00:00,,,,18.65,18.65,18.205,,,,0,3,2
2001-08-22 00:00:00,,,,18.325,18.69,18.225,,,,,,
2001-08-23 00:00:00,,,,18.65,19.025,18.625,,,,,,
2001-08-24 00:00:00,,,,19.125,19.195,18.87,,,,0,3,2
2001-08-27 00:00:00,,,,19.15,19.15,18.7,,,,0,3,2
2001-08-28 00:00:00,,,,19,19.2,18.75,,,,,,
2001-08-29 00:00:00,,,,19.025,19.65,18.75,,,,0,3,2
2001-08-30 00:00:00,,,,19.475,19.51,19.22,,,,,,
2001-08-31 00:00:00,,,,19.325,19.495,19.25,,,,0,3,2
2001-09-03 00:00:00,,,,,,,,,,0,3,1
2001-09-04 00:00:00,,,,17.625,18.895,17.625,,,,,,
2001-09-05 00:00:00,,,,18.25,19.435,18.245,,,,,,
2001-09-06 00:00:00,,,,19.15,19.46,19.15,,,,,,
2001-09-07 00:00:00,,,,19.35,19.4,18.9,,,,,,
2001-09-10 00:00:00,,,,18.65,19.07,18.295,,,,,,
2001-09-17 00:00:00,,,,18.025,18.425,17.75,,,,,,
2001-09-18 00:00:00,,,,18.3,18.6,18.3,,,,,,
2001-09-19 00:00:00,,,,18.5,18.65,18,,,,,,
2001-09-20 00:00:00,,,,17.65,17.655,17.265,,,,,,
2001-09-21 00:00:00,,,,17,17.375,16.7,,,,,,
2001-09-24 00:00:00,,,,17.65,18.375,17.65,,,,0,4,1
2001-09-25 00:00:00,,,,18.75,18.85,18.425,,,,,,
2001-09-26 00:00:00,,,,19,19.185,18.5,,,,0,5,0
2001-09-27 00:00:00,,,,18.5,19,18.26,,,,,,
