Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,6.969,7.5,6.875,,,,0,2,3
2000-05-02 00:00:00,,,,7.438,7.875,7.313,,,,,,
2000-05-03 00:00:00,,,,7.5,7.656,7.156,,,,,,
2000-05-04 00:00:00,,,,7.469,7.813,7.25,,,,,,
2000-05-05 00:00:00,,,,7.625,7.938,7.563,,,,,,
2000-05-08 00:00:00,,,,7.719,8.594,7.656,,,,,,
2000-05-09 00:00:00,,,,8.25,8.875,8.219,,,,,,
2000-05-10 00:00:00,,,,8.125,8.25,7.969,,,,,,
2000-05-11 00:00:00,,,,8.094,8.094,7.844,,,,,,
2000-05-12 00:00:00,,,,8,8.188,7.813,,,,,,
2000-05-15 00:00:00,,,,7.891,8.594,7.813,,,,,,
2000-05-16 00:00:00,,,,8.344,8.625,8.25,,,,,,
2000-05-17 00:00:00,,,,8.406,8.563,8.219,,,,,,
2000-05-18 00:00:00,,,,8.375,8.625,8.25,,,,,,
2000-05-19 00:00:00,,,,8.531,8.594,8.25,,,,0,2,3
2000-05-22 00:00:00,,,,8.438,8.625,8.188,,,,0,2,3
2000-05-23 00:00:00,,,,8.438,8.563,8.281,,,,,,
2000-05-24 00:00:00,,,,8.406,8.5,8.094,,,,,,
2000-05-25 00:00:00,,,,8.25,8.5,8.25,,,,,,
2000-05-26 00:00:00,,,,8.438,8.438,7.945,,,,,,
2000-05-30 00:00:00,,,,8.438,8.688,8.125,,,,,,
2000-05-31 00:00:00,,,,8.531,9,8.313,,,,,,
2000-06-01 00:00:00,,,,8.875,9.063,8.875,,,,0,2,3
2000-06-02 00:00:00,,,,9.047,9.25,9.047,,,,,,
2000-06-05 00:00:00,,,,8.844,9.063,8.813,,,,,,
2000-06-06 00:00:00,,,,8.875,9.031,8.875,,,,,,
2000-06-07 00:00:00,,,,9,9.031,8.938,,,,,,
2000-06-08 00:00:00,,,,8.953,9,8.813,,,,,,
2000-06-09 00:00:00,,,,9,9.063,8.875,,,,,,
2000-06-12 00:00:00,,,,9,9.125,8.875,,,,,,
2000-06-13 00:00:00,,,,8.906,8.977,8.813,,,,,,
2000-06-14 00:00:00,,,,8.938,9.031,8.844,,,,,,
2000-06-15 00:00:00,,,,9,9.219,8.938,,,,,,
2000-06-16 00:00:00,,,,9.031,9.156,8.875,,,,0,2,3
2000-06-19 00:00:00,,,,8.875,9.063,8.5,,,,,,
2000-06-20 00:00:00,,,,8.813,8.813,8.5,,,,,,
2000-06-21 00:00:00,,,,8.563,8.75,8.563,,,,,,
2000-06-22 00:00:00,,,,8.906,8.906,8.719,,,,,,
2000-06-23 00:00:00,,,,8.75,8.875,8.375,,,,,,
2000-06-26 00:00:00,,,,8.438,8.469,8.375,,,,,,
2000-06-27 00:00:00,,,,8.375,8.469,8.25,,,,,,
2000-06-28 00:00:00,,,,8.25,8.5,8.188,,,,,,
2000-06-29 00:00:00,,,,8.375,8.625,8.313,,,,,,
2000-06-30 00:00:00,,,,8.563,8.875,8.438,,,,0,2,3
2000-07-03 00:00:00,,,,8.625,8.844,8.594,,,,,,
2000-07-05 00:00:00,,,,8.781,8.875,8.438,,,,,,
2000-07-06 00:00:00,,,,8.563,8.688,8.469,,,,,,
2000-07-07 00:00:00,,,,8.469,8.531,8.438,,,,,,
2000-07-10 00:00:00,,,,8.531,8.531,8.219,,,,,,
2000-07-11 00:00:00,,,,8.188,8.25,7.625,,,,,,
2000-07-12 00:00:00,,,,7.688,7.719,7.375,,,,,,
2000-07-13 00:00:00,,,,7.469,7.5,7.281,,,,,,
2000-07-14 00:00:00,,,,7.5,7.625,7.438,,,,,,
2000-07-17 00:00:00,,,,7.5,7.563,7.313,,,,,,
2000-07-18 00:00:00,,,,7.469,7.5,7.125,,,,,,
2000-07-19 00:00:00,,,,7.125,7.25,7.063,,,,,,
2000-07-20 00:00:00,,,,7.313,7.438,7,,,,,,
2000-07-21 00:00:00,,,,7.156,7.367,7.063,,,,,,
2000-07-24 00:00:00,,,,7.188,7.219,6.813,,,,,,
2000-07-25 00:00:00,,,,7,7,6.656,,,,,,
2000-07-26 00:00:00,,,,6.813,7.25,6.781,,,,,,
2000-07-27 00:00:00,,,,7.063,7.063,6.906,,,,,,
2000-07-28 00:00:00,,,,6.875,7.063,6.875,,,,,,
2000-07-31 00:00:00,,,,7.031,7.031,6.813,,,,,,
2000-08-01 00:00:00,,,,7.125,8.5,7.125,,,,,,
2000-08-02 00:00:00,,,,8.313,9.344,7.906,,,,,,
2000-08-03 00:00:00,,,,8.875,10.313,8.813,,,,,,
2000-08-04 00:00:00,,,,9.438,9.469,8.938,,,,,,
2000-08-07 00:00:00,,,,9.031,9.211,8.938,,,,,,
2000-08-08 00:00:00,,,,9,9.188,8.969,,,,,,
2000-08-09 00:00:00,,,,9.109,9.188,8.969,,,,,,
2000-08-10 00:00:00,,,,9.094,9.125,9,,,,,,
2000-08-11 00:00:00,,,,9.031,9.063,8.938,,,,,,
2000-08-14 00:00:00,,,,8.938,9.063,8.938,,,,,,
2000-08-15 00:00:00,,,,8.969,9,8.938,,,,,,
2000-08-16 00:00:00,,,,9,9.094,8.875,,,,,,
2000-08-17 00:00:00,,,,9,9,8.813,,,,,,
