Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.8,8.78,7.75,,,,,,
2005-11-17 00:00:00,,,,8.15,8.3,6.96,,,,,,
2005-11-18 00:00:00,,,,7.24,7.39,6.912,,,,,,
2005-11-21 00:00:00,,,,7.05,7.192,6.964,,,,,,
2005-11-22 00:00:00,,,,7.09,7.09,6.87,,,,,,
2005-11-23 00:00:00,,,,6.9399999999999995,6.97,6.332,,,,,,
2005-11-25 00:00:00,,,,6.75,6.89,6.73,,,,,,
2005-11-28 00:00:00,,,,6.78,6.78,6.518,,,,,,
2005-11-29 00:00:00,,,,6.66,6.694,6.254,,,,,,
2005-11-30 00:00:00,,,,6.32,6.482,6.32,,,,,,
2005-12-01 00:00:00,,,,6.46,7.04,6.43,,,,,,
2005-12-02 00:00:00,,,,7,7.26,6.98,,,,,,
2005-12-05 00:00:00,,,,7.236,7.486,7.236,,,,,,
2005-12-06 00:00:00,,,,7.362,7.522,7.29,,,,,,
2005-12-07 00:00:00,,,,7.33,7.33,6.9,,,,,,
2005-12-08 00:00:00,,,,7.14,7.256,7.11,,,,,,
2005-12-09 00:00:00,,,,7.2,7.29,7.156,,,,,,
2005-12-12 00:00:00,,,,7.29,7.3,7.22,,,,,,
2005-12-13 00:00:00,,,,7.288,7.288,7.102,,,,,,
2005-12-14 00:00:00,,,,7.1,7.14,6.96,,,,,,
2005-12-15 00:00:00,,,,6.99,6.99,6.73,,,,,,
2005-12-16 00:00:00,,,,6.77,6.898,6.7,,,,,,
2005-12-19 00:00:00,,,,6.8,6.88,6.772,,,,,,
2005-12-20 00:00:00,,,,6.924,7.082,6.88,,,,,,
2005-12-21 00:00:00,,,,6.98,7,6.91,,,,,,
2005-12-22 00:00:00,,,,6.958,6.958,6.86,,,,,,
2005-12-23 00:00:00,,,,6.89,6.938,6.814,,,,,,
2005-12-27 00:00:00,,,,6.9,7.09,6.9,,,,0,1,1
2005-12-28 00:00:00,,,,7.05,7.09,7.006,,,,,,
2005-12-29 00:00:00,,,,6.98,7.244,6.98,,,,,,
2005-12-30 00:00:00,,,,7.25,7.27,7.09,,,,,,
2006-01-03 00:00:00,,,,7.3,7.642,7.2,,,,,,
2006-01-04 00:00:00,,,,7.58,7.58,7.272,,,,0,2,2
2006-01-05 00:00:00,,,,7.75,7.948,7.64,,,,,,
2006-01-06 00:00:00,,,,7.85,8.08,7.82,,,,,,
2006-01-09 00:00:00,,,,8.18,8.858,8.18,,,,,,
2006-01-10 00:00:00,,,,8.672,9.36,8.672,,,,,,
2006-01-11 00:00:00,,,,9.298,9.64,9.07,,,,,,
2006-01-12 00:00:00,,,,9.468,9.57,8.652,,,,,,
2006-01-13 00:00:00,,,,8.742,8.922,8.61,,,,,,
2006-01-17 00:00:00,,,,9.1,9.4,9,,,,,,
2006-01-18 00:00:00,,,,9.27,9.27,9,,,,0,2,2
2006-01-19 00:00:00,,,,9.14,9.55,8.8,,,,,,
2006-01-20 00:00:00,,,,9.6,9.682,9.248,,,,,,
2006-01-23 00:00:00,,,,9.26,9.56,9.23,,,,,,
2006-01-24 00:00:00,,,,9.548,10.63,9.382,,,,,,
2006-01-25 00:00:00,,,,10.8,11.034,10.048,,,,,,
2006-01-26 00:00:00,,,,10.65,10.83,10.452,,,,,,
2006-01-27 00:00:00,,,,10.01,10.516,9.722,,,,0,1,3
2006-01-30 00:00:00,,,,10.05,10.24,9.702,,,,,,
2006-01-31 00:00:00,,,,9.824,10.2,9.214,,,,,,
2006-02-01 00:00:00,,,,10.5,11.404,10.408,,,,,,
2006-02-02 00:00:00,,,,11.08,11.598,10.664,,,,,,
2006-02-03 00:00:00,,,,11.24,11.68,11.076,,,,,,
2006-02-06 00:00:00,,,,11.4,11.42,10.943999999999999,,,,0,1,3
2006-02-07 00:00:00,,,,11.11,11.23,10.282,,,,,,
2006-02-08 00:00:00,,,,10.9,10.96,10.522,,,,,,
2006-02-09 00:00:00,,,,10.746,10.8,10.556000000000001,,,,,,
2006-02-10 00:00:00,,,,10.648,10.648,9.792,,,,,,
2006-02-13 00:00:00,,,,10.2,10.73,10.2,,,,,,
2006-02-14 00:00:00,,,,10.548,10.598,10.342,,,,,,
2006-02-15 00:00:00,,,,10.4,10.462,10.318,,,,,,
2006-02-16 00:00:00,,,,10.446,10.47,10.216,,,,,,
2006-02-17 00:00:00,,,,10.35,10.386,10.05,,,,,,
2006-02-21 00:00:00,,,,10.274000000000001,10.274000000000001,9.754,,,,,,
2006-02-22 00:00:00,,,,9.828,9.968,9.632,,,,,,
2006-02-23 00:00:00,,,,10.1,10.38,9.798,,,,,,
2006-02-24 00:00:00,,,,10.58,11.15,10.486,,,,0,2,2
2006-02-27 00:00:00,,,,11,11.44,10.864,,,,,,
2006-02-28 00:00:00,,,,11.32,11.58,10.846,,,,,,
2006-03-01 00:00:00,,,,11,11.37,11,,,,,,
2006-03-02 00:00:00,,,,11.32,11.884,11.17,,,,,,
2006-03-03 00:00:00,,,,12.292,12.592,12,,,,0,2,2
