Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,33.875,34.75,33.5,,,,0,0,2
2000-05-02 00:00:00,,,,34.313,34.5,33.625,,,,,,
2000-05-03 00:00:00,,,,34.063,34.125,33.5,,,,,,
2000-05-04 00:00:00,,,,33.938,34.313,33.813,,,,,,
2000-05-05 00:00:00,,,,33.813,34.125,33.438,,,,,,
2000-05-08 00:00:00,,,,33.75,34,33.313,,,,,,
2000-05-09 00:00:00,,,,34,34.25,33.625,,,,,,
2000-05-10 00:00:00,,,,33.938,34.313,33.625,,,,,,
2000-05-11 00:00:00,,,,33.938,34,33.5,,,,,,
2000-05-12 00:00:00,,,,33.688,33.813,33,,,,,,
2000-05-15 00:00:00,,,,33.375,33.813,32.25,,,,,,
2000-05-16 00:00:00,,,,32.75,33.438,32.188,,,,,,
2000-05-17 00:00:00,,,,32.813,33.063,32.438,,,,,,
2000-05-18 00:00:00,,,,32.313,32.938,32,,,,,,
2000-05-19 00:00:00,,,,32.188,33.313,31.75,,,,,,
2000-05-22 00:00:00,,,,33.75,34.188,33.25,,,,,,
2000-05-23 00:00:00,,,,33,33.75,32.25,,,,,,
2000-05-24 00:00:00,,,,32.875,34.25,32.25,,,,,,
2000-05-25 00:00:00,,,,33.813,33.813,32.594,,,,,,
2000-05-26 00:00:00,,,,33.25,34.25,32.813,,,,,,
2000-05-30 00:00:00,,,,33.438,34.625,32.875,,,,,,
2000-05-31 00:00:00,,,,33.875,34.125,33.438,,,,,,
2000-06-01 00:00:00,,,,33.75,34.438,33.688,,,,,,
2000-06-02 00:00:00,,,,34.063,34.5,33.813,,,,0,0,2
2000-06-05 00:00:00,,,,34.125,34.125,33.063,,,,,,
2000-06-06 00:00:00,,,,33.563,34.188,33.063,,,,,,
2000-06-07 00:00:00,,,,33.875,34.188,33.688,,,,,,
2000-06-08 00:00:00,,,,33.625,34.188,32.938,,,,,,
2000-06-09 00:00:00,,,,33.625,34,33.375,,,,,,
2000-06-12 00:00:00,,,,33.75,34.188,33.688,,,,,,
2000-06-13 00:00:00,,,,33.813,34.125,33.625,,,,,,
2000-06-14 00:00:00,,,,33.563,34.313,33.563,,,,0,1,2
2000-06-15 00:00:00,,,,31.75,33,31.063,,,,,,
2000-06-16 00:00:00,,,,32,32.375,31.75,,,,0,1,2
2000-06-19 00:00:00,,,,31.875,32.063,31.375,,,,,,
2000-06-20 00:00:00,,,,31.375,31.375,30.813,,,,,,
2000-06-21 00:00:00,,,,31.5,31.5,30.438,,,,,,
2000-06-22 00:00:00,,,,30.063,30.563,29.625,,,,,,
2000-06-23 00:00:00,,,,29.875,30,28.875,,,,,,
2000-06-26 00:00:00,,,,29.188,29.313,28.813,,,,,,
2000-06-27 00:00:00,,,,29.5,30.313,29.25,,,,,,
2000-06-28 00:00:00,,,,29.75,30.5,28.938,,,,,,
2000-06-29 00:00:00,,,,29.125,30.688,29.125,,,,,,
2000-06-30 00:00:00,,,,30.188,31.125,30,,,,,,
2000-07-03 00:00:00,,,,30,30.938,29.625,,,,,,
2000-07-05 00:00:00,,,,29.25,29.875,29.25,,,,,,
2000-07-06 00:00:00,,,,29.813,29.813,28.938,,,,,,
2000-07-07 00:00:00,,,,29.438,29.5,28.75,,,,,,
2000-07-10 00:00:00,,,,29.188,29.75,29.063,,,,,,
2000-07-11 00:00:00,,,,29.063,29.5,28.75,,,,,,
2000-07-12 00:00:00,,,,29.25,29.438,28.375,,,,,,
2000-07-13 00:00:00,,,,28.813,29.563,28.5,,,,,,
2000-07-14 00:00:00,,,,29.375,29.688,28.875,,,,,,
2000-07-17 00:00:00,,,,28.75,28.75,28.125,,,,,,
2000-07-18 00:00:00,,,,28.625,28.938,28.313,,,,,,
2000-07-19 00:00:00,,,,28.5,28.5,27.75,,,,,,
2000-07-20 00:00:00,,,,28.5,28.75,27.375,,,,,,
2000-07-21 00:00:00,,,,27.375,27.688,27.188,,,,,,
2000-07-24 00:00:00,,,,27.063,27.438,26.813,,,,,,
2000-07-25 00:00:00,,,,27.25,28.188,27.125,,,,,,
2000-07-26 00:00:00,,,,27.563,27.625,27,,,,,,
2000-07-27 00:00:00,,,,27.375,27.688,26.375,,,,,,
2000-07-28 00:00:00,,,,26.313,27,26.313,,,,,,
2000-07-31 00:00:00,,,,27,27.188,26.563,,,,,,
2000-08-01 00:00:00,,,,26.75,27.188,26.25,,,,,,
2000-08-02 00:00:00,,,,26.625,26.75,26.25,,,,,,
2000-08-03 00:00:00,,,,26.813,26.813,26.25,,,,,,
2000-08-04 00:00:00,,,,26.625,26.625,26.125,,,,,,
2000-08-07 00:00:00,,,,26.25,26.438,26,,,,,,
2000-08-08 00:00:00,,,,25.75,26.625,25.688,,,,,,
2000-08-09 00:00:00,,,,26.25,26.563,26,,,,,,
2000-08-10 00:00:00,,,,26.063,26.313,25.813,,,,,,
2000-08-11 00:00:00,,,,26,26.313,25.813,,,,,,
2000-08-14 00:00:00,,,,26.313,26.313,25.688,,,,,,
2000-08-15 00:00:00,,,,25.938,25.938,25.563,,,,,,
2000-08-16 00:00:00,,,,25.875,25.875,25.375,,,,,,
2000-08-17 00:00:00,,,,26,26,25.688,,,,,,
2000-08-18 00:00:00,,,,25.5,26.063,25.5,,,,,,
2000-08-21 00:00:00,,,,26,26,25.563,,,,,,
2000-08-22 00:00:00,,,,26,26.125,25.688,,,,,,
2000-08-23 00:00:00,,,,26.063,26.438,25.813,,,,,,
