Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,38.875,44.375,38,,,,0,0,1
2000-05-02 00:00:00,,,,43.375,46,38.2813,,,,,,
2000-05-03 00:00:00,,,,37.9375,38.875,35.9375,,,,,,
2000-05-04 00:00:00,,,,38.6875,42.3125,37.625,,,,,,
2000-05-05 00:00:00,,,,39.0313,45.5625,38.5625,,,,,,
2000-05-08 00:00:00,,,,45.625,47,42.5,,,,,,
2000-05-09 00:00:00,,,,44,44.625,37.8125,,,,,,
2000-05-10 00:00:00,,,,37.5313,37.875,33.5,,,,,,
2000-05-11 00:00:00,,,,37,37.25,32.5,,,,,,
2000-05-12 00:00:00,,,,35.5,36.4375,33.8125,,,,,,
2000-05-15 00:00:00,,,,34.75,34.875,32.6875,,,,,,
2000-05-16 00:00:00,,,,34.75,36.75,32.25,,,,,,
2000-05-17 00:00:00,,,,33.5938,34.7188,32.875,,,,,,
2000-05-18 00:00:00,,,,33.375,33.5625,30.0625,,,,,,
2000-05-19 00:00:00,,,,29.75,29.875,27.9063,,,,,,
2000-05-22 00:00:00,,,,28.625,29,26.5,,,,,,
2000-05-23 00:00:00,,,,27.5,28.875,25,,,,,,
2000-05-24 00:00:00,,,,25.1875,25.5625,21.6875,,,,,,
2000-05-25 00:00:00,,,,25.125,26.9375,23,,,,,,
2000-05-26 00:00:00,,,,24.5,24.9375,23.125,,,,0,1,0
2000-05-30 00:00:00,,,,24.9688,28.5625,24.875,,,,,,
2000-05-31 00:00:00,,,,27.875,28.75,26,,,,,,
2000-06-01 00:00:00,,,,27.4688,30.75,26.625,,,,0,1,1
2000-06-02 00:00:00,,,,32.3125,34.25,31.625,,,,,,
2000-06-05 00:00:00,,,,32.5625,37.2188,31.625,,,,0,1,1
2000-06-06 00:00:00,,,,36.6875,42.4063,36.5313,,,,,,
2000-06-07 00:00:00,,,,40.0938,40.3125,35.875,,,,0,1,2
2000-06-08 00:00:00,,,,39.7813,40.2813,38.25,,,,,,
2000-06-09 00:00:00,,,,41.25,43.3125,40.5,,,,,,
2000-06-12 00:00:00,,,,43.0938,43.3125,39,,,,,,
2000-06-13 00:00:00,,,,38.7188,41.5938,37.75,,,,,,
2000-06-14 00:00:00,,,,41.75,42.7656,39.5,,,,,,
2000-06-15 00:00:00,,,,39.6875,39.9063,37.5625,,,,,,
2000-06-16 00:00:00,,,,40.3438,43.5,39,,,,,,
2000-06-19 00:00:00,,,,42.9688,57.9375,42.5,,,,0,1,2
2000-06-20 00:00:00,,,,56.875,60.25,53.75,,,,,,
2000-06-21 00:00:00,,,,56.5,59.625,55.0625,,,,,,
2000-06-22 00:00:00,,,,56.5547,56.5625,47,,,,,,
2000-06-23 00:00:00,,,,49,50.9375,44.875,,,,,,
2000-06-26 00:00:00,,,,47.5,49.6563,41.25,,,,,,
2000-06-27 00:00:00,,,,46,46.5,41.4375,,,,,,
2000-06-28 00:00:00,,,,41.5,48.25,41.4688,,,,,,
2000-06-29 00:00:00,,,,46.25,47.3438,42.125,,,,,,
2000-06-30 00:00:00,,,,44,44,39,,,,,,
2000-07-03 00:00:00,,,,41.4688,43.75,40.3438,,,,,,
2000-07-05 00:00:00,,,,43.3438,48.875,43.25,,,,,,
2000-07-06 00:00:00,,,,47.0938,47.125,43.75,,,,,,
2000-07-07 00:00:00,,,,45.5938,51.3125,45.5938,,,,,,
2000-07-10 00:00:00,,,,49.375,52.3438,48,,,,,,
2000-07-11 00:00:00,,,,49.8438,55.5625,49.8125,,,,,,
2000-07-12 00:00:00,,,,54.2188,55,50.5,,,,,,
2000-07-13 00:00:00,,,,52.8438,53,46.5313,,,,0,1,2
2000-07-14 00:00:00,,,,47.1563,48.75,45,,,,,,
2000-07-17 00:00:00,,,,47.4688,49.9375,45.125,,,,,,
2000-07-18 00:00:00,,,,47.5938,51.6563,47,,,,,,
2000-07-19 00:00:00,,,,50.4375,51.5,46.4063,,,,0,1,2
2000-07-20 00:00:00,,,,48.375,50.5,47.1563,,,,,,
2000-07-21 00:00:00,,,,49.875,51.375,48,,,,,,
2000-07-24 00:00:00,,,,49.4375,50.9063,46.125,,,,,,
2000-07-25 00:00:00,,,,47.25,47.75,44.0625,,,,,,
2000-07-26 00:00:00,,,,44.3125,47,41.4063,,,,,,
2000-07-27 00:00:00,,,,45,45.1875,42,,,,,,
2000-07-28 00:00:00,,,,43,43.5,39.25,,,,,,
2000-07-31 00:00:00,,,,39.8125,40.375,36.5625,,,,,,
2000-08-01 00:00:00,,,,38.25,44.1875,37.6875,,,,,,
2000-08-02 00:00:00,,,,42.25,44.2188,40.375,,,,,,
2000-08-03 00:00:00,,,,41,41.5,39.7813,,,,,,
2000-08-04 00:00:00,,,,41.6875,43.125,39.6563,,,,,,
2000-08-07 00:00:00,,,,41.125,41.8125,40.4375,,,,,,
2000-08-08 00:00:00,,,,41.75,42.3125,40.375,,,,,,
2000-08-09 00:00:00,,,,41.25,41.5,38.0625,,,,,,
2000-08-10 00:00:00,,,,38.25,39.0625,35.4375,,,,,,
2000-08-11 00:00:00,,,,35.75,38.7188,35.5703,,,,,,
2000-08-14 00:00:00,,,,37.9375,38.9375,36.3125,,,,,,
2000-08-15 00:00:00,,,,37.8125,37.9375,35.625,,,,,,
2000-08-16 00:00:00,,,,36,37.1875,34,,,,,,
2000-08-17 00:00:00,,,,35.4375,44.5,34.75,,,,,,
2000-08-18 00:00:00,,,,43.8125,45.8438,41.7188,,,,,,
2000-08-21 00:00:00,,,,44.4063,46.4375,43,,,,,,
2000-08-22 00:00:00,,,,45,45.125,43,,,,,,
2000-08-23 00:00:00,,,,43.9688,44,39.9375,,,,,,
2000-08-24 00:00:00,,,,41.5,41.9375,39,,,,,,
2000-08-25 00:00:00,,,,41.8125,43.625,39.8125,,,,,,
2000-08-28 00:00:00,,,,41.3438,42.0625,39.9375,,,,,,
2000-08-29 00:00:00,,,,40.7813,41.6875,39.8438,,,,,,
2000-08-30 00:00:00,,,,40.4063,40.4063,38.8125,,,,,,
2000-08-31 00:00:00,,,,40.1875,42.1875,40,,,,,,
2000-09-01 00:00:00,,,,42.9375,43,39.0625,,,,,,
2000-09-05 00:00:00,,,,41.1875,41.1875,37.875,,,,,,
2000-09-06 00:00:00,,,,39.125,39.25,36,,,,0,2,2
2000-09-07 00:00:00,,,,37.875,39.375,37,,,,,,
2000-09-08 00:00:00,,,,38.9375,39.625,36.6875,,,,,,
2000-09-11 00:00:00,,,,39.5,39.5,37,,,,,,
2000-09-12 00:00:00,,,,38.25,38.25,36.5,,,,0,2,2
2000-09-13 00:00:00,,,,37.3125,40.5,36.75,,,,,,
2000-09-14 00:00:00,,,,41.25,44.3125,40.25,,,,,,
2000-09-15 00:00:00,,,,41.625,42.875,40.25,,,,,,
2000-09-18 00:00:00,,,,40.25,41.125,37,,,,0,2,2
2000-09-19 00:00:00,,,,37.9375,38.875,37,,,,,,
2000-09-20 00:00:00,,,,38.1875,39.375,37,,,,,,
2000-09-21 00:00:00,,,,36.3125,38.5,36.25,,,,,,
2000-09-22 00:00:00,,,,36.25,40.9375,35.8125,,,,,,
2000-09-25 00:00:00,,,,40.25,42.4375,37.875,,,,,,
2000-09-26 00:00:00,,,,40.4531,41.5,37,,,,,,
2000-09-27 00:00:00,,,,39.3125,40.25,37.625,,,,,,
2000-09-28 00:00:00,,,,38.1563,43.6875,37.25,,,,,,
2000-09-29 00:00:00,,,,42.4375,44.75,40.3125,,,,,,
2000-10-02 00:00:00,,,,42.75,43,38,,,,0,2,2
2000-10-03 00:00:00,,,,39.6875,41.0625,37.5,,,,,,
2000-10-04 00:00:00,,,,38.5938,38.75,36.25,,,,,,
2000-10-05 00:00:00,,,,38.9375,42.3125,38.0625,,,,,,
2000-10-06 00:00:00,,,,39.75,39.75,37.5,,,,,,
2000-10-09 00:00:00,,,,37.5,38.1094,34.5,,,,,,
2000-10-10 00:00:00,,,,35.3125,36.25,33.75,,,,,,
2000-10-11 00:00:00,,,,33.25,33.625,29.875,,,,,,
2000-10-12 00:00:00,,,,31.125,31.25,27.75,,,,,,
2000-10-13 00:00:00,,,,26.75,30.125,26.5625,,,,,,
