Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,36.5381,36.9695,36.4149,,,,0,5,1
2000-05-02 00:00:00,,,,36.6614,38.1402,36.5381,,,,,,
2000-05-03 00:00:00,,,,37.8937,37.8937,36.7846,,,,,,
2000-05-04 00:00:00,,,,37.6472,37.6472,36.1684,,,,,,
2000-05-05 00:00:00,,,,36.3533,37.8937,36.3533,,,,,,
2000-05-08 00:00:00,,,,37.5856,37.8937,36.7846,,,,,,
2000-05-09 00:00:00,,,,37.9553,37.9553,36.723,,,,0,5,1
2000-05-10 00:00:00,,,,36.5381,36.5381,34.8129,,,,0,5,1
2000-05-11 00:00:00,,,,35.8604,36.3533,35.6139,,,,,,
2000-05-12 00:00:00,,,,36.2917,36.5998,35.7371,,,,,,
2000-05-15 00:00:00,,,,37.3391,40.4816,37.0311,,,,0,6,0
2000-05-16 00:00:00,,,,39.8654,40.3583,38.1402,,,,0,6,0
2000-05-17 00:00:00,,,,37.8321,38.8795,37.8321,,,,,,
2000-05-18 00:00:00,,,,38.5098,38.9412,37.7088,,,,,,
2000-05-19 00:00:00,,,,38.5098,38.7563,38.325,,,,,,
2000-05-22 00:00:00,,,,38.5098,38.9412,37.4624,,,,,,
2000-05-23 00:00:00,,,,37.5856,37.5856,35.8604,,,,,,
2000-05-24 00:00:00,,,,35.6139,35.922,34.9977,,,,,,
2000-05-25 00:00:00,,,,35.4907,35.4907,33.3341,,,,,,
2000-05-26 00:00:00,,,,32.5331,33.5806,32.5331,,,,,,
2000-05-30 00:00:00,,,,33.519,34.3816,33.2725,,,,,,
2000-05-31 00:00:00,,,,34.3816,35.121,34.1351,,,,,,
2000-06-01 00:00:00,,,,34.1967,34.2584,33.0877,,,,0,6,0
2000-06-02 00:00:00,,,,34.4432,35.2442,34.1351,,,,,,
2000-06-05 00:00:00,,,,34.5048,34.9361,34.3816,,,,,,
2000-06-06 00:00:00,,,,34.5048,34.9977,33.3957,,,,0,6,0
2000-06-07 00:00:00,,,,33.6422,33.9503,32.7796,,,,,,
2000-06-08 00:00:00,,,,33.026,33.6422,32.718,,,,,,
2000-06-09 00:00:00,,,,33.1493,33.2725,32.6564,,,,,,
2000-06-12 00:00:00,,,,33.026,33.519,32.5947,,,,,,
2000-06-13 00:00:00,,,,33.4574,33.4574,32.4099,,,,,,
2000-06-14 00:00:00,,,,33.0877,34.0735,33.026,,,,,,
2000-06-15 00:00:00,,,,33.3957,33.3957,32.1018,,,,0,6,0
2000-06-16 00:00:00,,,,32.718,32.718,31.6089,,,,,,
2000-06-19 00:00:00,,,,32.718,32.718,31.1776,,,,,,
2000-06-20 00:00:00,,,,31.5473,31.5473,30.623,,,,,,
2000-06-21 00:00:00,,,,30.9927,31.7321,30.7463,,,,,,
2000-06-22 00:00:00,,,,30.9927,31.424,30.4382,,,,,,
2000-06-23 00:00:00,,,,31.0543,31.3008,30.5614,,,,0,6,0
2000-06-26 00:00:00,,,,31.0543,31.2392,29.2675,,,,,,
2000-06-27 00:00:00,,,,29.5756,30.9311,29.4523,,,,,,
2000-06-28 00:00:00,,,,30.623,30.623,29.5139,,,,,,
2000-06-29 00:00:00,,,,29.3291,30.3766,29.1443,,,,0,6,0
2000-06-30 00:00:00,,,,29.9453,29.9453,29.2059,,,,,,
2000-07-03 00:00:00,,,,29.8836,30.6846,29.6988,,,,,,
2000-07-05 00:00:00,,,,30.8695,31.424,30.315,,,,,,
2000-07-06 00:00:00,,,,30.5614,30.623,29.822,,,,,,
2000-07-07 00:00:00,,,,30.5614,30.9927,29.8836,,,,,,
2000-07-10 00:00:00,,,,31.0543,32.3483,30.9927,,,,0,6,0
2000-07-11 00:00:00,,,,32.6564,34.5664,32.1634,,,,0,6,0
2000-07-12 00:00:00,,,,34.8129,35.6755,34.5048,,,,0,6,0
2000-07-13 00:00:00,,,,35.3674,36.2301,35.3058,,,,0,6,0
