Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,13.5,14.563,13.5,,,,0,1,1
2000-05-02 00:00:00,,,,14.5,14.688,14.125,,,,,,
2000-05-03 00:00:00,,,,14.125,14.125,13.5,,,,,,
2000-05-04 00:00:00,,,,13.625,13.625,13.188,,,,,,
2000-05-05 00:00:00,,,,13.5,13.625,13.375,,,,,,
2000-05-08 00:00:00,,,,13.438,13.438,12.75,,,,,,
2000-05-09 00:00:00,,,,13,13,12.688,,,,,,
2000-05-10 00:00:00,,,,12.375,12.75,12.313,,,,,,
2000-05-11 00:00:00,,,,12.75,12.75,12.438,,,,,,
2000-05-12 00:00:00,,,,12.375,12.5,11.938,,,,,,
2000-05-15 00:00:00,,,,12,12.375,12,,,,,,
2000-05-16 00:00:00,,,,12.75,12.75,12.125,,,,,,
2000-05-17 00:00:00,,,,12.25,12.563,12.25,,,,,,
2000-05-18 00:00:00,,,,12.563,12.813,12.313,,,,,,
2000-05-19 00:00:00,,,,12.563,12.563,12.313,,,,0,1,1
2000-05-22 00:00:00,,,,12.375,12.5,11.875,,,,,,
2000-05-23 00:00:00,,,,11.813,11.813,11.375,,,,,,
2000-05-24 00:00:00,,,,11.688,12.063,11.625,,,,,,
2000-05-25 00:00:00,,,,11.938,12.188,11.813,,,,,,
2000-05-26 00:00:00,,,,12.375,12.375,12,,,,,,
2000-05-30 00:00:00,,,,12.063,13.563,12.063,,,,,,
2000-05-31 00:00:00,,,,13.438,14,13.25,,,,0,1,1
2000-06-01 00:00:00,,,,13.313,14,13,,,,,,
2000-06-02 00:00:00,,,,13.75,14.5,13.75,,,,,,
2000-06-05 00:00:00,,,,13.813,14.25,13.563,,,,,,
2000-06-06 00:00:00,,,,14.125,14.25,13.563,,,,,,
2000-06-07 00:00:00,,,,13.5,13.625,13.188,,,,,,
2000-06-08 00:00:00,,,,13.625,13.625,13.125,,,,,,
2000-06-09 00:00:00,,,,13.438,13.438,13.125,,,,,,
