Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,31.9063,32.4063,31.8438,,,,0,7,0
2000-05-02 00:00:00,,,,31.875,32.4375,31.375,,,,,,
2000-05-03 00:00:00,,,,32.3125,32.375,30.1563,,,,,,
2000-05-04 00:00:00,,,,31.3125,31.5938,30.625,,,,,,
2000-05-05 00:00:00,,,,31.3125,32.2188,31.0938,,,,,,
2000-05-08 00:00:00,,,,31.75,32.0938,31.3125,,,,,,
2000-05-09 00:00:00,,,,31.4375,32.0313,31.0938,,,,,,
2000-05-10 00:00:00,,,,31.4688,31.6875,31.2188,,,,,,
2000-05-11 00:00:00,,,,31.5625,32.2813,31.5625,,,,,,
2000-05-12 00:00:00,,,,31.9063,32.3125,30.75,,,,,,
2000-05-15 00:00:00,,,,31.4375,31.625,31.1875,,,,,,
2000-05-16 00:00:00,,,,31.3438,32.4688,31.1875,,,,,,
2000-05-17 00:00:00,,,,32.25,32.375,31.9688,,,,0,7,0
2000-05-18 00:00:00,,,,32.3125,32.6875,31.5,,,,0,7,0
2000-05-19 00:00:00,,,,31.375,31.75,31.0625,,,,0,7,0
2000-05-22 00:00:00,,,,31.5313,31.6563,30.5938,,,,,,
2000-05-23 00:00:00,,,,30.5938,31,30.5938,,,,,,
2000-05-24 00:00:00,,,,30.8438,32.4375,30.8438,,,,,,
2000-05-25 00:00:00,,,,32.0625,32.125,30.3125,,,,,,
2000-05-26 00:00:00,,,,30.375,30.6875,29.7813,,,,,,
2000-05-30 00:00:00,,,,30.0313,30.0938,29.0938,,,,,,
2000-05-31 00:00:00,,,,29.5625,29.75,29.0313,,,,,,
2000-06-01 00:00:00,,,,29.0313,29.5,28.5625,,,,0,7,0
2000-06-02 00:00:00,,,,30.125,30.3125,29.4688,,,,0,7,0
2000-06-05 00:00:00,,,,29.4688,29.75,29.3125,,,,,,
2000-06-06 00:00:00,,,,29.5938,29.5938,28.875,,,,,,
2000-06-07 00:00:00,,,,29.4063,29.4375,28.5,,,,,,
2000-06-08 00:00:00,,,,28.5313,28.8438,28.25,,,,,,
2000-06-09 00:00:00,,,,28.8438,29.375,28.7188,,,,,,
2000-06-12 00:00:00,,,,29.125,29.2813,28.5313,,,,,,
2000-06-13 00:00:00,,,,28.4375,28.5,28.25,,,,,,
2000-06-14 00:00:00,,,,28.4688,29.375,28.2188,,,,,,
2000-06-15 00:00:00,,,,29.0625,29.25,28.8125,,,,,,
2000-06-16 00:00:00,,,,30,30,29.0313,,,,,,
2000-06-19 00:00:00,,,,29.375,30.1875,29.375,,,,,,
2000-06-20 00:00:00,,,,29.875,29.875,27.1563,,,,,,
2000-06-21 00:00:00,,,,27.5625,27.7188,27.3125,,,,,,
2000-06-22 00:00:00,,,,28,28.375,27.7813,,,,,,
2000-06-23 00:00:00,,,,28.1563,28.4375,27.5,,,,,,
2000-06-26 00:00:00,,,,27.75,28.0313,27.0938,,,,,,
2000-06-27 00:00:00,,,,27.2813,28.6875,27.2813,,,,,,
2000-06-28 00:00:00,,,,28.375,29.125,27.8125,,,,,,
2000-06-29 00:00:00,,,,28.75,28.75,27.75,,,,,,
2000-06-30 00:00:00,,,,27.7188,28.5,27.5313,,,,,,
2000-07-03 00:00:00,,,,28.5,29.25,28.5,,,,,,
2000-07-05 00:00:00,,,,29.25,29.4688,28.5313,,,,,,
2000-07-06 00:00:00,,,,28.875,29.2813,28.5938,,,,,,
2000-07-07 00:00:00,,,,29.3125,29.5,28.5313,,,,,,
2000-07-10 00:00:00,,,,28.5,28.5625,27.7813,,,,,,
2000-07-11 00:00:00,,,,28,29.2188,27.875,,,,,,
2000-07-12 00:00:00,,,,29.5,29.5625,28.75,,,,,,
2000-07-13 00:00:00,,,,29.125,29.3125,28.7813,,,,,,
2000-07-14 00:00:00,,,,29.25,29.875,29.2188,,,,,,
2000-07-17 00:00:00,,,,29.875,29.9688,28.5313,,,,,,
2000-07-18 00:00:00,,,,28.6563,28.9063,27.75,,,,,,
2000-07-19 00:00:00,,,,27.8438,28.1563,27.5625,,,,,,
2000-07-20 00:00:00,,,,28.125,28.5,27.5,,,,,,
2000-07-21 00:00:00,,,,27.9063,28.1563,27.5625,,,,,,
2000-07-24 00:00:00,,,,27.7188,27.9688,27.4375,,,,,,
2000-07-25 00:00:00,,,,27.9063,28.375,27.875,,,,,,
2000-07-26 00:00:00,,,,28.125,28.8125,28.0938,,,,,,
2000-07-27 00:00:00,,,,28.5,28.875,28.125,,,,,,
2000-07-28 00:00:00,,,,28.6563,29.5,28,,,,,,
2000-07-31 00:00:00,,,,28.25,29.2813,28.1875,,,,,,
2000-08-01 00:00:00,,,,28.875,28.875,28.3438,,,,,,
2000-08-02 00:00:00,,,,28.5625,28.5938,28.1875,,,,,,
2000-08-03 00:00:00,,,,28.5,28.8125,27.6875,,,,,,
2000-08-04 00:00:00,,,,27.9063,28,27.5625,,,,,,
2000-08-07 00:00:00,,,,27.7813,28.1563,27.625,,,,,,
2000-08-08 00:00:00,,,,27.8125,29.375,27.8125,,,,,,
2000-08-09 00:00:00,,,,29.25,29.5,29.0625,,,,,,
2000-08-10 00:00:00,,,,29.375,29.5938,29.1875,,,,,,
2000-08-11 00:00:00,,,,29.2813,29.75,29.1875,,,,,,
2000-08-14 00:00:00,,,,29.7188,29.7188,28.875,,,,,,
2000-08-15 00:00:00,,,,29.4375,29.625,29.0938,,,,,,
2000-08-16 00:00:00,,,,29.3125,29.75,29.25,,,,,,
2000-08-17 00:00:00,,,,29.4688,29.7188,28.875,,,,,,
2000-08-18 00:00:00,,,,28.9688,29.4688,28.9688,,,,,,
2000-08-21 00:00:00,,,,29.1875,29.4375,28.5625,,,,,,
2000-08-22 00:00:00,,,,28.7813,28.9063,28.5938,,,,,,
2000-08-23 00:00:00,,,,28.5938,28.6563,28.0625,,,,,,
2000-08-24 00:00:00,,,,28.2813,28.4375,28.0313,,,,,,
2000-08-25 00:00:00,,,,28.0938,28.7813,27.9375,,,,,,
2000-08-28 00:00:00,,,,28.625,28.8125,28,,,,,,
2000-08-29 00:00:00,,,,28.0938,28.5938,28.0625,,,,,,
2000-08-30 00:00:00,,,,28.5,28.5,28.1563,,,,,,
2000-08-31 00:00:00,,,,28.125,28.4688,28.0313,,,,0,7,0
2000-09-01 00:00:00,,,,28.125,28.2188,27.875,,,,,,
2000-09-05 00:00:00,,,,27.9063,28.375,27.9063,,,,,,
2000-09-06 00:00:00,,,,28.125,28.5313,28.0625,,,,,,
2000-09-07 00:00:00,,,,28.75,28.9375,28.1875,,,,0,8,0
2000-09-08 00:00:00,,,,28.2188,28.4375,27.5313,,,,,,
2000-09-11 00:00:00,,,,27.6563,28.1875,27.5625,,,,,,
2000-09-12 00:00:00,,,,27.5625,28.75,27.3438,,,,,,
2000-09-13 00:00:00,,,,28.5,28.9688,28.5,,,,,,
2000-09-14 00:00:00,,,,28.9375,29.125,28.7188,,,,,,
2000-09-15 00:00:00,,,,28.7813,28.8125,27.75,,,,,,
2000-09-18 00:00:00,,,,27.75,27.75,25.5,,,,,,
2000-09-19 00:00:00,,,,26,26.6875,25.9063,,,,,,
2000-09-20 00:00:00,,,,26.1875,26.6875,26.1875,,,,,,
2000-09-21 00:00:00,,,,26.6563,26.75,26.125,,,,,,
2000-09-22 00:00:00,,,,26.625,27,26.5313,,,,,,
2000-09-25 00:00:00,,,,26.875,27,26.4375,,,,,,
2000-09-26 00:00:00,,,,26.8125,27.0313,26.0313,,,,,,
2000-09-27 00:00:00,,,,26.5938,26.9375,26.5313,,,,,,
2000-09-28 00:00:00,,,,26.8125,28.3438,26.75,,,,,,
2000-09-29 00:00:00,,,,28.125,28.1875,27.5313,,,,,,
2000-10-02 00:00:00,,,,27.875,27.9063,27.3125,,,,,,
2000-10-03 00:00:00,,,,27.5625,29.1563,27.5625,,,,,,
2000-10-04 00:00:00,,,,28.75,29.5313,28.6875,,,,,,
2000-10-05 00:00:00,,,,29.5,30.0625,29.5,,,,,,
2000-10-06 00:00:00,,,,29.75,30.2813,29.75,,,,,,
2000-10-09 00:00:00,,,,30.0625,30.6563,30,,,,,,
2000-10-10 00:00:00,,,,30.3125,30.875,30.2188,,,,,,
2000-10-11 00:00:00,,,,30.25,30.8438,29.75,,,,,,
2000-10-12 00:00:00,,,,29.8125,29.8125,28.5625,,,,,,
2000-10-13 00:00:00,,,,29.0313,29.2188,28.5625,,,,,,
2000-10-16 00:00:00,,,,29.0938,29.5938,28.9688,,,,,,
2000-10-17 00:00:00,,,,29.3438,29.5,28.4375,,,,,,
2000-10-18 00:00:00,,,,28.375,28.875,27.6563,,,,,,
2000-10-19 00:00:00,,,,28.6875,28.6875,27.625,,,,0,8,0
2000-10-20 00:00:00,,,,27.5,27.7813,26.875,,,,,,
2000-10-23 00:00:00,,,,27,27.1875,26.25,,,,,,
2000-10-24 00:00:00,,,,26.4688,26.6875,26.0625,,,,,,
2000-10-25 00:00:00,,,,26.5,26.5313,25.7188,,,,,,
