Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,4.1094,4.1563,3.9688,,,,0,1,3
2000-05-02 00:00:00,,,,4.0625,4.1563,4.0469,,,,,,
2000-05-03 00:00:00,,,,3.9375,4.0625,3.9375,,,,,,
2000-05-04 00:00:00,,,,4,4.375,3.9688,,,,,,
2000-05-05 00:00:00,,,,4.3281,4.3438,4.1094,,,,,,
2000-05-08 00:00:00,,,,4.1406,4.2813,4.0625,,,,,,
2000-05-09 00:00:00,,,,4.2188,4.25,4.0469,,,,,,
2000-05-10 00:00:00,,,,4.1875,4.2188,4.1406,,,,,,
2000-05-11 00:00:00,,,,4.1719,4.2031,3.9219,,,,,,
2000-05-12 00:00:00,,,,4.0938,4.25,4,,,,,,
2000-05-15 00:00:00,,,,4.1406,4.1406,3.9375,,,,,,
2000-05-16 00:00:00,,,,3.9375,4.0781,3.9375,,,,,,
2000-05-17 00:00:00,,,,3.9375,4.125,3.9063,,,,,,
2000-05-18 00:00:00,,,,4.0156,4.0938,3.9844,,,,,,
2000-05-19 00:00:00,,,,3.9531,4,3.9219,,,,,,
2000-05-22 00:00:00,,,,3.9375,3.9531,3.8281,,,,,,
2000-05-23 00:00:00,,,,3.9063,3.9375,3.8281,,,,,,
2000-05-24 00:00:00,,,,3.8906,3.8906,3.7813,,,,,,
2000-05-25 00:00:00,,,,3.875,3.9688,3.875,,,,,,
2000-05-26 00:00:00,,,,3.8906,4.0781,3.8594,,,,,,
2000-05-30 00:00:00,,,,3.9688,4.0781,3.9688,,,,,,
2000-05-31 00:00:00,,,,4.0156,4.125,3.9688,,,,0,1,3
2000-06-01 00:00:00,,,,4,4.1094,3.9375,,,,0,1,3
2000-06-02 00:00:00,,,,4.125,4.125,4,,,,,,
2000-06-05 00:00:00,,,,3.9219,4.125,3.9219,,,,0,1,3
2000-06-06 00:00:00,,,,4,4.1094,4,,,,,,
2000-06-07 00:00:00,,,,4.0156,4.1094,3.9531,,,,,,
2000-06-08 00:00:00,,,,3.9375,4,3.9063,,,,,,
2000-06-09 00:00:00,,,,4,4.0313,3.9219,,,,,,
2000-06-12 00:00:00,,,,4.0156,4.0313,3.9531,,,,,,
