Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,33.1755,35.0261,33.0401,,,,0,9,0
2000-05-02 00:00:00,,,,34.3942,35.1164,34.1685,,,,0,9,0
2000-05-03 00:00:00,,,,34.3942,35.1615,33.5817,,,,,,
2000-05-04 00:00:00,,,,33.9428,35.2518,33.9428,,,,,,
2000-05-05 00:00:00,,,,34.665,36.0642,34.5296,,,,,,
2000-05-08 00:00:00,,,,35.1164,36.4705,34.8004,,,,0,9,0
2000-05-09 00:00:00,,,,36.4705,36.7864,35.7483,,,,0,9,0
2000-05-10 00:00:00,,,,35.658,35.9288,34.665,,,,,,
2000-05-11 00:00:00,,,,35.658,35.8837,34.349,,,,0,9,0
2000-05-12 00:00:00,,,,35.3872,36.5607,35.1615,,,,,,
2000-05-15 00:00:00,,,,36.3802,37.1024,35.974,,,,,,
2000-05-16 00:00:00,,,,36.3802,37.0121,36.0642,,,,,,
2000-05-17 00:00:00,,,,36.5607,36.7413,36.1094,,,,0,9,0
2000-05-18 00:00:00,,,,36.4705,36.5607,35.7483,,,,,,
2000-05-19 00:00:00,,,,34.4844,35.3872,34.2588,,,,,,
2000-05-22 00:00:00,,,,34.3942,34.5296,32.363,,,,,,
2000-05-23 00:00:00,,,,31.8665,31.9568,29.6097,,,,,,
2000-05-24 00:00:00,,,,31.0541,32.1373,31.0541,,,,,,
2000-05-25 00:00:00,,,,32.363,34.1233,32.3179,,,,,,
2000-05-26 00:00:00,,,,32.679,32.7692,31.9117,,,,,,
2000-05-30 00:00:00,,,,32.2727,33.8525,32.2727,,,,0,9,0
2000-05-31 00:00:00,,,,33.4914,34.2588,33.0401,,,,,,
2000-06-01 00:00:00,,,,34.2136,35.6129,34.1233,,,,,,
2000-06-02 00:00:00,,,,35.2066,35.3872,34.5296,,,,0,9,0
2000-06-05 00:00:00,,,,34.5747,34.7553,33.9428,,,,0,9,0
2000-06-06 00:00:00,,,,33.8525,35.342,33.672,,,,,,
2000-06-07 00:00:00,,,,34.7101,34.8455,34.1685,,,,,,
2000-06-08 00:00:00,,,,34.3039,34.3039,33.3109,,,,,,
2000-06-09 00:00:00,,,,33.672,33.8977,31.7762,,,,,,
2000-06-12 00:00:00,,,,33.672,33.7171,32.5436,,,,,,
2000-06-13 00:00:00,,,,33.2206,34.3039,33.1755,,,,0,9,0
2000-06-14 00:00:00,,,,33.9428,35.0261,33.5366,,,,0,9,0
2000-06-15 00:00:00,,,,34.665,35.7031,34.5296,,,,,,
2000-06-16 00:00:00,,,,34.349,34.8455,33.9879,,,,,,
2000-06-19 00:00:00,,,,34.3039,34.349,32.4984,,,,,,
2000-06-20 00:00:00,,,,32.4984,33.0401,31.0089,,,,,,
2000-06-21 00:00:00,,,,31.4151,32.3179,30.9186,,,,0,9,0
2000-06-22 00:00:00,,,,32.1373,32.1373,30.6478,,,,,,
2000-06-23 00:00:00,,,,31.0541,31.2797,30.2416,,,,,,
2000-06-26 00:00:00,,,,34.5747,35.3872,33.9428,,,,0,9,0
2000-06-27 00:00:00,,,,34.9358,35.7483,34.0782,,,,,,
2000-06-28 00:00:00,,,,34.5747,34.6199,33.3109,,,,,,
