Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.8125,7.9531,7.7969,,,,0,2,0
2000-05-02 00:00:00,,,,7.7344,7.9219,7.7188,,,,,,
2000-05-03 00:00:00,,,,7.75,7.7969,7.625,,,,,,
2000-05-04 00:00:00,,,,7.8281,8,7.7656,,,,,,
2000-05-05 00:00:00,,,,7.9531,8.4375,7.9531,,,,,,
2000-05-08 00:00:00,,,,8.375,8.4688,8.375,,,,,,
2000-05-09 00:00:00,,,,8.3906,8.3906,7.75,,,,,,
2000-05-10 00:00:00,,,,7.75,7.7969,7.6719,,,,,,
2000-05-11 00:00:00,,,,7.8438,7.9063,7.8438,,,,0,2,0
2000-05-12 00:00:00,,,,7.8594,8.3594,7.8594,,,,,,
2000-05-15 00:00:00,,,,8.3125,8.375,8.2344,,,,,,
2000-05-16 00:00:00,,,,8.4063,8.4219,8.2813,,,,,,
2000-05-17 00:00:00,,,,8.375,8.4063,8.3125,,,,,,
2000-05-18 00:00:00,,,,8.375,8.4063,8.3438,,,,,,
2000-05-19 00:00:00,,,,8.2813,8.3281,8.2188,,,,,,
2000-05-22 00:00:00,,,,8.3281,8.3281,8.1406,,,,,,
2000-05-23 00:00:00,,,,8.1719,8.2969,8.1094,,,,,,
2000-05-24 00:00:00,,,,8.125,8.3438,8.0781,,,,,,
2000-05-25 00:00:00,,,,8.3438,8.4063,8.3438,,,,,,
2000-05-26 00:00:00,,,,8.375,8.4063,8.3125,,,,,,
2000-05-30 00:00:00,,,,8.4375,8.5313,8.4375,,,,,,
2000-05-31 00:00:00,,,,8.5,8.5,8.3125,,,,,,
2000-06-01 00:00:00,,,,8.375,8.4375,8.3594,,,,,,
2000-06-02 00:00:00,,,,8.4375,8.7031,8.4375,,,,,,
2000-06-05 00:00:00,,,,8.7031,8.8438,8.6563,,,,,,
2000-06-06 00:00:00,,,,8.9688,8.9688,8.8281,,,,,,
2000-06-07 00:00:00,,,,8.8438,8.8594,8.7031,,,,,,
2000-06-08 00:00:00,,,,8.7344,8.875,8.7188,,,,,,
2000-06-09 00:00:00,,,,8.7969,8.9688,8.7969,,,,,,
2000-06-12 00:00:00,,,,8.9375,8.9375,8.75,,,,0,2,0
2000-06-13 00:00:00,,,,8.75,8.7813,8.6563,,,,,,
2000-06-14 00:00:00,,,,8.7031,8.8125,8.6719,,,,,,
2000-06-15 00:00:00,,,,8.7188,9.0625,8.7188,,,,,,
2000-06-16 00:00:00,,,,9.125,9.2031,8.9219,,,,,,
2000-06-19 00:00:00,,,,9.0313,9.0313,8.8281,,,,,,
2000-06-20 00:00:00,,,,8.9375,8.9375,8.6719,,,,,,
2000-06-21 00:00:00,,,,8.7656,8.7813,8.5,,,,,,
2000-06-22 00:00:00,,,,8.5781,8.7344,8.5,,,,,,
2000-06-23 00:00:00,,,,8.5313,8.5469,8.4219,,,,,,
2000-06-26 00:00:00,,,,8.25,8.2813,8.1875,,,,,,
2000-06-27 00:00:00,,,,8.2813,8.3594,8.1875,,,,,,
2000-06-28 00:00:00,,,,8.2344,8.375,8.2031,,,,,,
2000-06-29 00:00:00,,,,8.2656,8.4219,8.2188,,,,,,
2000-06-30 00:00:00,,,,8.2344,8.2344,8.1563,,,,,,
2000-07-03 00:00:00,,,,8.2344,8.3594,8.2344,,,,,,
2000-07-05 00:00:00,,,,8.3906,8.3906,8.25,,,,,,
2000-07-06 00:00:00,,,,8.25,8.2656,8.2188,,,,,,
2000-07-07 00:00:00,,,,8.3125,8.5313,8.3125,,,,,,
2000-07-10 00:00:00,,,,8.5625,8.6875,8.5625,,,,,,
2000-07-11 00:00:00,,,,8.8438,8.875,8.7344,,,,,,
2000-07-12 00:00:00,,,,8.75,8.8125,8.75,,,,,,
2000-07-13 00:00:00,,,,8.7813,8.7813,8.7656,,,,,,
2000-07-14 00:00:00,,,,8.7656,8.7656,8.7188,,,,,,
2000-07-17 00:00:00,,,,8.7031,8.7813,8.6719,,,,,,
2000-07-18 00:00:00,,,,8.7188,8.7969,8.6875,,,,,,
2000-07-19 00:00:00,,,,8.7031,8.7344,8.6406,,,,0,2,0
2000-07-20 00:00:00,,,,8.6875,9.0625,8.6875,,,,,,
2000-07-21 00:00:00,,,,9,9.1563,8.9688,,,,,,
2000-07-24 00:00:00,,,,8.9531,9.1719,8.9531,,,,,,
2000-07-25 00:00:00,,,,9.0469,9.1094,8.875,,,,,,
2000-07-26 00:00:00,,,,8.9063,8.9688,8.875,,,,,,
2000-07-27 00:00:00,,,,8.9375,8.9531,8.8125,,,,,,
2000-07-28 00:00:00,,,,8.8125,8.8594,8.6094,,,,,,
2000-07-31 00:00:00,,,,8.6875,9.0938,8.6875,,,,,,
2000-08-01 00:00:00,,,,8.8438,8.9688,8.8438,,,,,,
2000-08-02 00:00:00,,,,8.875,9.0313,8.875,,,,,,
2000-08-03 00:00:00,,,,9.0469,9.0469,8.875,,,,,,
2000-08-04 00:00:00,,,,9.0469,9.2188,8.9688,,,,,,
2000-08-07 00:00:00,,,,9.1563,9.2656,9.125,,,,,,
2000-08-08 00:00:00,,,,9.2656,9.3281,9.25,,,,,,
2000-08-09 00:00:00,,,,9.3281,9.3594,9.2031,,,,,,
2000-08-10 00:00:00,,,,9.2188,9.2813,9.1563,,,,,,
2000-08-11 00:00:00,,,,9.1719,9.5313,9.1719,,,,,,
2000-08-14 00:00:00,,,,9.5938,9.6406,9.4219,,,,,,
2000-08-15 00:00:00,,,,9.4375,9.4375,9.1875,,,,,,
2000-08-16 00:00:00,,,,9.1094,9.5313,9.1094,,,,,,
2000-08-17 00:00:00,,,,9.4531,9.4531,9.2813,,,,,,
2000-08-18 00:00:00,,,,9.3906,9.4375,9.3281,,,,,,
2000-08-21 00:00:00,,,,9.375,9.5313,9.375,,,,,,
2000-08-22 00:00:00,,,,9.4531,9.4531,9.2969,,,,,,
2000-08-23 00:00:00,,,,9.25,9.5156,9.1719,,,,,,
2000-08-24 00:00:00,,,,9.2188,9.2188,9.1094,,,,,,
