Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,41.125,42.219,40.938,,,,0,10,2
2000-05-02 00:00:00,,,,41.063,42.281,41.031,,,,,,
2000-05-03 00:00:00,,,,42.063,42.469,41.5,,,,,,
2000-05-04 00:00:00,,,,41.5,42.031,41.156,,,,,,
2000-05-05 00:00:00,,,,41.594,42.125,41.344,,,,,,
2000-05-08 00:00:00,,,,42.469,43.875,42.063,,,,,,
2000-05-09 00:00:00,,,,43.75,44.219,43.375,,,,0,10,3
2000-05-10 00:00:00,,,,43.5,43.5,42.563,,,,,,
2000-05-11 00:00:00,,,,43.188,43.469,42.938,,,,,,
2000-05-12 00:00:00,,,,43.063,43.094,42.344,,,,,,
2000-05-15 00:00:00,,,,42.625,43.5,42.563,,,,,,
2000-05-16 00:00:00,,,,43.25,43.719,43.125,,,,,,
2000-05-17 00:00:00,,,,43.531,43.844,42.813,,,,0,10,3
2000-05-18 00:00:00,,,,43.438,44.5,43.406,,,,0,9,3
2000-05-19 00:00:00,,,,44.406,44.75,43.438,,,,,,
2000-05-22 00:00:00,,,,44.813,44.844,42.594,,,,,,
2000-05-23 00:00:00,,,,43.938,44.063,43.063,,,,,,
2000-05-24 00:00:00,,,,43.844,45,43.625,,,,,,
2000-05-25 00:00:00,,,,44.625,44.75,43.844,,,,,,
2000-05-26 00:00:00,,,,44.75,44.906,43.938,,,,,,
2000-05-30 00:00:00,,,,44.094,44.469,43.563,,,,,,
2000-05-31 00:00:00,,,,44.594,44.969,44.125,,,,0,9,3
2000-06-01 00:00:00,,,,44.625,44.75,43.656,,,,0,10,3
2000-06-02 00:00:00,,,,43.75,43.75,41.25,,,,,,
2000-06-05 00:00:00,,,,41.75,42.625,41.281,,,,,,
2000-06-06 00:00:00,,,,41.75,42.375,41.5,,,,,,
2000-06-07 00:00:00,,,,42.531,42.688,41.844,,,,0,10,3
2000-06-08 00:00:00,,,,41.844,42.469,41.438,,,,,,
2000-06-09 00:00:00,,,,42.5,43.75,42.406,,,,,,
2000-06-12 00:00:00,,,,43.375,43.688,42.344,,,,,,
2000-06-13 00:00:00,,,,42.875,44.25,42.781,,,,,,
2000-06-14 00:00:00,,,,44.688,44.938,44.313,,,,,,
2000-06-15 00:00:00,,,,45,45.5,44.719,,,,0,10,3
2000-06-16 00:00:00,,,,45.031,45.219,44.688,,,,0,10,3
2000-06-19 00:00:00,,,,44.875,45.156,44.531,,,,,,
2000-06-20 00:00:00,,,,45.188,45.188,44.031,,,,0,11,3
2000-06-21 00:00:00,,,,44.375,45.219,44.375,,,,,,
2000-06-22 00:00:00,,,,44.875,44.875,44.125,,,,,,
2000-06-23 00:00:00,,,,44.406,44.969,44.344,,,,,,
