Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,71,74.25,71,,,,1,3,3
2015-07-07 00:00:00,,,,73.73,74.7,72.99,,,,1,6,5
2015-07-08 00:00:00,,,,74.3,75.5,74.05,,,,1,6,6
2015-07-09 00:00:00,,,,76.47,77.01,74.51,,,,2,6,6
2015-07-10 00:00:00,,,,75.05,77.77,75.02,,,,2,6,6
2015-07-13 00:00:00,,,,79.5,79.7,77.96,,,,,,
2015-07-14 00:00:00,,,,79.45,79.5,77.65,,,,2,6,6
2015-07-15 00:00:00,,,,77.65,78.16,76.41,,,,,,
2015-07-16 00:00:00,,,,76.97,78.835,76.96,,,,,,
2015-07-17 00:00:00,,,,79.43,79.69,77.26,,,,,,
2015-07-20 00:00:00,,,,79.95,81.2,79.13,,,,2,6,6
2015-07-21 00:00:00,,,,79.97,80.68,79.4,,,,2,7,7
2015-07-22 00:00:00,,,,80.83,80.9,78.58,,,,,,
2015-07-23 00:00:00,,,,78.42,78.49,76.67,,,,2,7,7
2015-07-24 00:00:00,,,,76.92,77.43,76,,,,2,7,7
2015-07-27 00:00:00,,,,76.63,77.96,76.36,,,,,,
2015-07-28 00:00:00,,,,78.15,78.61,77.52,,,,,,
2015-07-29 00:00:00,,,,78.26,78.28,77.05,,,,2,8,6
2015-07-30 00:00:00,,,,78.21,79.66,77.63,,,,,,
2015-07-31 00:00:00,,,,79.94,79.94,78.9,,,,2,8,6
2015-08-03 00:00:00,,,,80,81.01,79.955,,,,,,
2015-08-04 00:00:00,,,,80.57,80.99,79.67,,,,,,
2015-08-05 00:00:00,,,,80.01,80.98,79.85,,,,,,
2015-08-06 00:00:00,,,,81.05,81.19,79.55,,,,2,8,6
2015-08-07 00:00:00,,,,79.14,79.38,77.31,,,,2,8,6
2015-08-10 00:00:00,,,,79.43,79.79,78.57,,,,2,8,6
2015-08-11 00:00:00,,,,77.63,80.47,77.12,,,,2,9,6
2015-08-12 00:00:00,,,,77.83,78.31,76.1,,,,2,9,6
2015-08-13 00:00:00,,,,77.01,77.01,75.83,,,,,,
2015-08-14 00:00:00,,,,76.11,76.74,75.12,,,,2,9,6
2015-08-17 00:00:00,,,,75.86,76.4,75.57,,,,2,9,6
2015-08-18 00:00:00,,,,75.72,75.95,75.07,,,,2,9,6
2015-08-19 00:00:00,,,,75,75.29,73.92,,,,2,9,6
2015-08-20 00:00:00,,,,74.02,74.75,73.78,,,,,,
2015-08-21 00:00:00,,,,73.31,74.24,72.27,,,,2,9,6
2015-08-24 00:00:00,,,,68.24,72.24,61.42,,,,,,
2015-08-25 00:00:00,,,,71.54,72.4,70,,,,2,9,6
2015-08-26 00:00:00,,,,71.72,74.09,69.56,,,,,,
2015-08-27 00:00:00,,,,73.17,75.25,73.12,,,,,,
2015-08-28 00:00:00,,,,74.4,75.125,73.86,,,,2,9,6
2015-08-31 00:00:00,,,,74.21,74.38,72.57,,,,2,9,6
2015-09-01 00:00:00,,,,71.23,72.54,69.65,,,,,,
2015-09-02 00:00:00,,,,70.84,72.07,70.42,,,,,,
2015-09-03 00:00:00,,,,72.56,73.89,71.79,,,,,,
2015-09-04 00:00:00,,,,71.14,71.64,70.13,,,,2,9,6
2015-09-07 00:00:00,,,,,,,,,,2,9,6
2015-09-08 00:00:00,,,,71.85,74.33,70.82,,,,2,9,6
2015-09-09 00:00:00,,,,74.45,74.5,71.98,,,,2,9,6
2015-09-10 00:00:00,,,,72.13,73.05,71.78,,,,,,
2015-09-11 00:00:00,,,,72.25,73.93,71.65,,,,,,
2015-09-14 00:00:00,,,,73.5,74.71,72.63,,,,,,
2015-09-15 00:00:00,,,,74.94,75.52,73.77,,,,2,9,6
2015-09-16 00:00:00,,,,75.2,76.71,74.3,,,,2,9,6
2015-09-17 00:00:00,,,,76.58,77.73,76.06,,,,,,
2015-09-18 00:00:00,,,,75.55,76.48,75.01,,,,2,9,6
2015-09-21 00:00:00,,,,75.69,76.16,74.96,,,,,,
2015-09-22 00:00:00,,,,74.15,74.53,73.67,,,,,,
2015-09-23 00:00:00,,,,74.26,74.26,73.26,,,,,,
2015-09-24 00:00:00,,,,73,73.14,71.71,,,,2,9,6
2015-09-25 00:00:00,,,,73.8,73.84,72.78,,,,,,
2015-09-28 00:00:00,,,,72.81,73.27,69.99,,,,,,
2015-09-29 00:00:00,,,,70.16,70.53,68.65,,,,,,
2015-09-30 00:00:00,,,,69.67,70.8,69.53,,,,,,
2015-10-01 00:00:00,,,,71.27,71.87,69.78,,,,,,
2015-10-02 00:00:00,,,,70.19,71.46,69.37,,,,2,9,6
2015-10-05 00:00:00,,,,72,73.25,71.35,,,,2,9,6
2015-10-06 00:00:00,,,,72.29,73.05,71.92,,,,2,9,6
2015-10-07 00:00:00,,,,72.74,73.74,72.49,,,,,,
2015-10-08 00:00:00,,,,73.16,74.46,72.84,,,,2,9,6
2015-10-09 00:00:00,,,,74.41,75.22,74,,,,,,
2015-10-12 00:00:00,,,,74.41,74.41,73.31,,,,,,
2015-10-13 00:00:00,,,,73.61,73.92,73.19,,,,2,9,6
2015-10-14 00:00:00,,,,73.12,74.28,73.08,,,,,,
2015-10-15 00:00:00,,,,74.15,75.22,73.93,,,,,,
2015-10-16 00:00:00,,,,75.68,78,74.87,,,,2,9,6
2015-10-19 00:00:00,,,,76.89,77,76.3,,,,,,
2015-10-20 00:00:00,,,,76.2,77.15,76.2,,,,,,
2015-10-21 00:00:00,,,,77,77.71,76.63,,,,,,
2015-10-22 00:00:00,,,,77.22,79.94,77.22,,,,,,
