Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,76.2813,77.25,70.25,,,,0,11,0
2000-05-02 00:00:00,,,,71,75.75,68.5,,,,,,
2000-05-03 00:00:00,,,,67.5,68,60.0625,,,,,,
2000-05-04 00:00:00,,,,64,65.125,61.125,,,,,,
2000-05-05 00:00:00,,,,62.9219,66.4375,61.625,,,,,,
2000-05-08 00:00:00,,,,63.3125,63.5,59.625,,,,,,
2000-05-09 00:00:00,,,,60.875,61.5625,54.25,,,,,,
2000-05-10 00:00:00,,,,54,55.0625,47.25,,,,,,
2000-05-11 00:00:00,,,,49.75,51.3125,45.875,,,,,,
2000-05-12 00:00:00,,,,51.875,54.375,50.5625,,,,,,
2000-05-15 00:00:00,,,,52.5625,55.5,50.25,,,,0,11,0
2000-05-16 00:00:00,,,,57,58.8125,55.0625,,,,,,
2000-05-17 00:00:00,,,,55.5625,59.125,55.5,,,,,,
2000-05-18 00:00:00,,,,58.25,58.75,56.375,,,,,,
2000-05-19 00:00:00,,,,55.9375,56.75,51.5625,,,,0,11,0
2000-05-22 00:00:00,,,,52.5625,52.625,45.125,,,,0,11,0
2000-05-23 00:00:00,,,,51,53.5,46.375,,,,,,
2000-05-24 00:00:00,,,,46,48.75,40,,,,,,
2000-05-25 00:00:00,,,,47,51.25,43.5625,,,,,,
2000-05-26 00:00:00,,,,44.8125,46.25,43,,,,,,
2000-05-30 00:00:00,,,,47,53,46.75,,,,,,
2000-05-31 00:00:00,,,,52.375,54,49.125,,,,0,11,0
2000-06-01 00:00:00,,,,51.625,55.5,50.4375,,,,0,11,0
2000-06-02 00:00:00,,,,59.125,62.25,56.375,,,,,,
2000-06-05 00:00:00,,,,59.625,61.6875,57.25,,,,,,
2000-06-06 00:00:00,,,,58.9375,59.75,54.4375,,,,,,
2000-06-07 00:00:00,,,,55.625,57.5,54.875,,,,,,
2000-06-08 00:00:00,,,,58.1875,59.25,57.1875,,,,,,
2000-06-09 00:00:00,,,,59.25,60.375,57.375,,,,,,
2000-06-12 00:00:00,,,,58.875,58.875,54.125,,,,0,11,0
2000-06-13 00:00:00,,,,54.375,55.75,51.4375,,,,,,
2000-06-14 00:00:00,,,,56.25,57.125,51,,,,,,
2000-06-15 00:00:00,,,,52.5625,54.5625,51.5625,,,,,,
2000-06-16 00:00:00,,,,55.8125,56.6875,53.3125,,,,0,11,0
2000-06-19 00:00:00,,,,54.25,62.625,53.8125,,,,,,
2000-06-20 00:00:00,,,,62.5,66.125,62.125,,,,,,
2000-06-21 00:00:00,,,,61.6875,64.875,60.25,,,,0,12,0
2000-06-22 00:00:00,,,,64.1875,64.6875,61.125,,,,,,
2000-06-23 00:00:00,,,,61.5,62.625,57.625,,,,,,
2000-06-26 00:00:00,,,,59.8125,63.125,59.8125,,,,,,
2000-06-27 00:00:00,,,,62.8125,66.125,60.75,,,,,,
2000-06-28 00:00:00,,,,61.5,64.3125,60.5,,,,0,13,0
2000-06-29 00:00:00,,,,62.25,62.625,57.125,,,,,,
