Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,9.405,9.405,9.405,,,,,,
2002-09-16 00:00:00,,,,9.5,9.5,9.5,,,,,,
2002-09-17 00:00:00,,,,9.15,9.15,9,,,,,,
2002-09-18 00:00:00,,,,8.75,8.75,8.5,,,,,,
2002-09-23 00:00:00,,,,8.125,8.125,8.125,,,,,,
2002-09-25 00:00:00,,,,7.975,8.18,7.975,,,,,,
2002-09-26 00:00:00,,,,8.18,8.23,8.18,,,,,,
2002-09-27 00:00:00,,,,8.15,8.15,7.655,,,,,,
2002-09-30 00:00:00,,,,7.6,8.1,7.5,,,,,,
2002-10-01 00:00:00,,,,8.2,8.525,7.76,,,,,,
2002-10-02 00:00:00,,,,8.15,8.25,7.89,,,,,,
2002-10-03 00:00:00,,,,7.975,8.11,7.895,,,,,,
2002-10-04 00:00:00,,,,8,8,7.54,,,,,,
2002-10-07 00:00:00,,,,7.6850000000000005,7.7,7.155,,,,,,
2002-10-08 00:00:00,,,,7.125,7.25,6.96,,,,,,
2002-10-09 00:00:00,,,,6.99,7.075,6.85,,,,,,
2002-10-10 00:00:00,,,,6.825,7.26,6.45,,,,,,
2002-10-11 00:00:00,,,,7.125,7.675,7.1,,,,,,
2002-10-14 00:00:00,,,,7.25,7.41,7.1,,,,0,1,0
2002-10-15 00:00:00,,,,7.575,8.05,7.5600000000000005,,,,,,
2002-10-16 00:00:00,,,,7.895,7.895,7.305,,,,,,
2002-10-17 00:00:00,,,,7.725,7.75,7.425,,,,,,
2002-10-18 00:00:00,,,,7.45,7.85,7.45,,,,,,
2002-10-21 00:00:00,,,,7.78,8.9,7.675,,,,,,
2002-10-22 00:00:00,,,,8.55,9.225,8.4,,,,,,
2002-10-23 00:00:00,,,,8.885,9.12,8.715,,,,,,
2002-10-24 00:00:00,,,,9,9.34,8.52,,,,,,
2002-10-25 00:00:00,,,,8.525,8.65,8.32,,,,,,
2002-10-28 00:00:00,,,,8.675,9.06,8.625,,,,,,
2002-10-29 00:00:00,,,,8.65,8.75,8.375,,,,0,2,0
2002-10-30 00:00:00,,,,8.55,8.575,7.99,,,,,,
2002-10-31 00:00:00,,,,8.23,8.23,7.76,,,,,,
2002-11-01 00:00:00,,,,8.195,8.4,8,,,,,,
