Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,9.0938,9.4375,9,,,,0,10,1
2000-05-02 00:00:00,,,,9,9.7813,8.9375,,,,0,10,1
2000-05-03 00:00:00,,,,9.4375,9.8125,9.25,,,,,,
2000-05-04 00:00:00,,,,9.375,9.5625,9.25,,,,,,
2000-05-05 00:00:00,,,,9.2813,9.8125,9.2813,,,,0,10,1
2000-05-08 00:00:00,,,,9.6875,9.7188,9.5313,,,,,,
2000-05-09 00:00:00,,,,9.6875,9.75,9.4375,,,,,,
2000-05-10 00:00:00,,,,9.5313,10.0625,9.4375,,,,,,
2000-05-11 00:00:00,,,,10.0313,10.375,9.8125,,,,0,10,1
2000-05-12 00:00:00,,,,10.0938,10.25,9.7188,,,,,,
2000-05-15 00:00:00,,,,9.9063,10.4063,9.9063,,,,,,
2000-05-16 00:00:00,,,,10.4688,10.6563,10.1563,,,,,,
2000-05-17 00:00:00,,,,10.25,10.5,10.1875,,,,,,
2000-05-18 00:00:00,,,,10.375,10.4688,10.1875,,,,,,
2000-05-19 00:00:00,,,,9.875,10.3125,9.8438,,,,0,10,1
2000-05-22 00:00:00,,,,10.1563,10.1875,9.9375,,,,0,9,1
2000-05-23 00:00:00,,,,10,10.125,9.7813,,,,,,
2000-05-24 00:00:00,,,,9.7813,9.9688,9.3438,,,,,,
2000-05-25 00:00:00,,,,9.875,9.875,9.5938,,,,,,
2000-05-26 00:00:00,,,,9.8125,10.5,9.7813,,,,0,10,1
2000-05-30 00:00:00,,,,10.25,10.375,10.125,,,,,,
2000-05-31 00:00:00,,,,10.1875,10.3125,9.9063,,,,,,
2000-06-01 00:00:00,,,,9.9375,10.2188,9.75,,,,0,10,1
2000-06-02 00:00:00,,,,10.0313,10.0625,9.3125,,,,0,10,1
2000-06-05 00:00:00,,,,9.4688,9.5625,9.0625,,,,,,
2000-06-06 00:00:00,,,,9.125,9.25,8.9688,,,,0,10,1
2000-06-07 00:00:00,,,,9.25,9.5938,9.2188,,,,,,
2000-06-08 00:00:00,,,,9.4063,9.4375,8.9688,,,,,,
2000-06-09 00:00:00,,,,9.0625,9.2813,9.0625,,,,0,10,1
2000-06-12 00:00:00,,,,9.2188,9.5313,9.0625,,,,,,
2000-06-13 00:00:00,,,,9.25,9.5313,9.25,,,,,,
2000-06-14 00:00:00,,,,9.4688,9.5313,9.3438,,,,,,
