Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,48.5,52.375,48.5,,,,0,9,1
2000-05-02 00:00:00,,,,51.75,52.5,51.0625,,,,,,
2000-05-03 00:00:00,,,,46.25,48,44,,,,0,9,1
2000-05-04 00:00:00,,,,48,48,44.125,,,,,,
2000-05-05 00:00:00,,,,47.1875,50,46.5,,,,0,9,1
2000-05-08 00:00:00,,,,49.375,49.375,48.0625,,,,,,
2000-05-09 00:00:00,,,,48.875,49.9375,47.6875,,,,,,
2000-05-10 00:00:00,,,,48.4375,48.6875,47.5,,,,,,
2000-05-11 00:00:00,,,,48,49,47.625,,,,,,
2000-05-12 00:00:00,,,,48.6875,51,48.4375,,,,,,
2000-05-15 00:00:00,,,,50,51.4375,49.0625,,,,,,
2000-05-16 00:00:00,,,,51.1875,52.4375,51,,,,,,
2000-05-17 00:00:00,,,,52.1875,52.9375,49.875,,,,0,9,1
2000-05-18 00:00:00,,,,52.9375,54.4375,52.5625,,,,,,
2000-05-19 00:00:00,,,,53.3125,53.4375,52.125,,,,0,9,1
2000-05-22 00:00:00,,,,53.1875,53.1875,50.25,,,,0,9,1
2000-05-23 00:00:00,,,,52.5,53.4375,52.1875,,,,0,9,1
2000-05-24 00:00:00,,,,51.5,51.5,47,,,,0,10,1
2000-05-25 00:00:00,,,,49,49.25,47.625,,,,,,
2000-05-26 00:00:00,,,,49,49,47.0625,,,,0,10,1
2000-05-30 00:00:00,,,,48.75,50,48.25,,,,,,
2000-05-31 00:00:00,,,,49.75,52.4375,49.5,,,,0,10,1
2000-06-01 00:00:00,,,,53,54.9375,52.75,,,,0,10,1
2000-06-02 00:00:00,,,,56.875,59.625,56.375,,,,0,10,1
2000-06-05 00:00:00,,,,58.5,58.5,55.5,,,,,,
2000-06-06 00:00:00,,,,55.8125,55.9375,55.125,,,,0,10,1
2000-06-07 00:00:00,,,,55.75,56.875,55.375,,,,,,
2000-06-08 00:00:00,,,,55.875,56,54.0625,,,,,,
2000-06-09 00:00:00,,,,54.625,55.1875,53.25,,,,,,
2000-06-12 00:00:00,,,,53.625,53.625,51.5625,,,,,,
2000-06-13 00:00:00,,,,51.6875,52.375,50.1875,,,,,,
2000-06-14 00:00:00,,,,52.25,52.875,51.8125,,,,,,
2000-06-15 00:00:00,,,,53,54.75,52.5625,,,,,,
2000-06-16 00:00:00,,,,54.125,54.375,53.5625,,,,0,10,1
2000-06-19 00:00:00,,,,54.3125,55,53.6875,,,,,,
2000-06-20 00:00:00,,,,54.5625,55.1875,54.375,,,,,,
2000-06-21 00:00:00,,,,55.0625,55.3125,54.5,,,,,,
