Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,14.531,15.625,14.531,,,,0,2,0
2000-05-02 00:00:00,,,,15.313,15.625,15,,,,,,
2000-05-03 00:00:00,,,,15.313,15.938,15.156,,,,,,
2000-05-04 00:00:00,,,,15.719,15.75,14.828,,,,,,
2000-05-05 00:00:00,,,,15.375,15.734,15.234,,,,,,
2000-05-08 00:00:00,,,,15.797,16.141,15.797,,,,,,
2000-05-09 00:00:00,,,,15.906,16.406,15.906,,,,,,
2000-05-10 00:00:00,,,,16.375,16.656,16.016,,,,,,
2000-05-11 00:00:00,,,,16.625,17.609,16.625,,,,,,
2000-05-12 00:00:00,,,,17.484,17.75,17.266,,,,,,
2000-05-15 00:00:00,,,,17.406,18.5,17.375,,,,,,
2000-05-16 00:00:00,,,,18.594,18.625,18.188,,,,0,2,0
2000-05-17 00:00:00,,,,18.422,18.422,17.875,,,,,,
2000-05-18 00:00:00,,,,18.25,18.25,17.625,,,,,,
2000-05-19 00:00:00,,,,17.734,17.734,16.813,,,,,,
2000-05-22 00:00:00,,,,17.156,17.156,16.375,,,,,,
2000-05-23 00:00:00,,,,16.469,16.859,16.344,,,,,,
2000-05-24 00:00:00,,,,16.688,16.719,16.156,,,,,,
2000-05-25 00:00:00,,,,16.125,16.156,15.656,,,,0,2,0
2000-05-26 00:00:00,,,,16.031,17.109,15.969,,,,0,2,0
2000-05-30 00:00:00,,,,17.094,18,17.094,,,,,,
2000-05-31 00:00:00,,,,17.906,18,17.656,,,,,,
2000-06-01 00:00:00,,,,17.953,17.953,17.594,,,,,,
2000-06-02 00:00:00,,,,18.031,18.25,17.609,,,,,,
2000-06-05 00:00:00,,,,17.25,17.438,16.719,,,,,,
2000-06-06 00:00:00,,,,16.609,16.609,15.938,,,,,,
2000-06-07 00:00:00,,,,16.5,16.75,16.469,,,,,,
2000-06-08 00:00:00,,,,16.375,16.375,16.109,,,,,,
2000-06-09 00:00:00,,,,16.266,16.406,16.063,,,,,,
2000-06-12 00:00:00,,,,16.156,16.156,15.641,,,,,,
2000-06-13 00:00:00,,,,15.625,15.875,15.391,,,,,,
2000-06-14 00:00:00,,,,15.656,16.188,15.656,,,,,,
2000-06-15 00:00:00,,,,16,16.25,15.938,,,,,,
2000-06-16 00:00:00,,,,16.313,16.969,16.266,,,,,,
2000-06-19 00:00:00,,,,16.938,18,16.688,,,,,,
2000-06-20 00:00:00,,,,17.625,18.938,17.625,,,,,,
