Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,1.7812999999999999,1.8900000000000001,1.7812999999999999,,,,,,
2003-10-06 00:00:00,,,,1.8963,1.9863,1.8788,,,,,,
2003-10-07 00:00:00,,,,1.9563000000000001,2.075,1.9563000000000001,,,,,,
2003-10-08 00:00:00,,,,2.0438,2.0438,1.975,,,,,,
2003-10-09 00:00:00,,,,1.9888,2.0125,1.95,,,,,,
2003-10-10 00:00:00,,,,1.95,1.99,1.8938000000000001,,,,,,
2003-10-13 00:00:00,,,,1.935,1.935,1.9062999999999999,,,,,,
2003-10-14 00:00:00,,,,1.9213,2.0813,1.9138,,,,,,
2003-10-15 00:00:00,,,,2.0388,2.115,2,,,,,,
2003-10-16 00:00:00,,,,2.0175,2.0313,2,,,,,,
2003-10-17 00:00:00,,,,2.0013,2.0075,1.9813,,,,,,
2003-10-20 00:00:00,,,,1.9975,2.0025,1.97,,,,,,
2003-10-21 00:00:00,,,,1.9863,1.9975,1.9825,,,,,,
2003-10-22 00:00:00,,,,2,2,1.975,,,,,,
2003-10-23 00:00:00,,,,1.97,1.97,1.9188,,,,,,
2003-10-24 00:00:00,,,,1.9325,2,1.9325,,,,,,
2003-10-27 00:00:00,,,,1.9999,2.0688,1.9687999999999999,,,,,,
2003-10-28 00:00:00,,,,2.05,2.075,1.96,,,,,,
2003-10-29 00:00:00,,,,1.9714,2.0275,1.9563000000000001,,,,,,
2003-10-30 00:00:00,,,,2.0125,2.1133,2,,,,,,
2003-10-31 00:00:00,,,,2.0813,2.1638,2.075,,,,,,
2003-11-03 00:00:00,,,,2.1625,2.2338,2.1338,,,,,,
2003-11-04 00:00:00,,,,2.2138,2.2138,2.125,,,,,,
2003-11-05 00:00:00,,,,2.1238,2.1313,2.0925,,,,,,
2003-11-06 00:00:00,,,,2.1225,2.125,2.0825,,,,,,
2003-11-07 00:00:00,,,,2.125,2.125,2.0888,,,,,,
2003-11-10 00:00:00,,,,2.085,2.1375,2.085,,,,,,
2003-11-11 00:00:00,,,,2.0938,2.125,2.0938,,,,,,
2003-11-12 00:00:00,,,,2.1,2.1488,2.0875,,,,0,0,1
2003-11-13 00:00:00,,,,2.0875,2.1249,2.0763,,,,,,
2003-11-14 00:00:00,,,,2.0763,2.1,2.0763,,,,,,
2003-11-17 00:00:00,,,,2.0938,2.1063,2.05,,,,,,
2003-11-18 00:00:00,,,,2.0513,2.0625,2.0375,,,,,,
2003-11-19 00:00:00,,,,2.0338,2.08,2.025,,,,,,
2003-11-20 00:00:00,,,,2.0625,2.0749,2.0313,,,,0,0,2
2003-11-21 00:00:00,,,,2.0313,2.075,2.025,,,,,,
2003-11-24 00:00:00,,,,2.075,2.0875,2.05,,,,,,
2003-11-25 00:00:00,,,,2.1,2.15,2.0625,,,,,,
2003-11-26 00:00:00,,,,2.11,2.2438,2.0875,,,,,,
2003-11-28 00:00:00,,,,2.225,2.2313,2.175,,,,,,
2003-12-01 00:00:00,,,,2.2375,2.25,2.1875,,,,,,
2003-12-02 00:00:00,,,,2.1875,2.25,2.1875,,,,,,
2003-12-03 00:00:00,,,,2.2263,2.2313,2.1888,,,,,,
2003-12-04 00:00:00,,,,2.225,2.2463,2.2188,,,,,,
2003-12-05 00:00:00,,,,2.2188,2.275,2.2188,,,,,,
2003-12-08 00:00:00,,,,2.2438,2.2438,2.1125,,,,,,
2003-12-09 00:00:00,,,,2.1938,2.1938,1.9538,,,,,,
2003-12-10 00:00:00,,,,2.0075,2.0575,2,,,,,,
2003-12-11 00:00:00,,,,2.0313,2.1375,2,,,,,,
2003-12-12 00:00:00,,,,2.1486,2.175,2.0987999999999998,,,,,,
2003-12-15 00:00:00,,,,2.1013,2.2125,2.1013,,,,,,
2003-12-16 00:00:00,,,,2.1688,2.225,2.1688,,,,,,
2003-12-17 00:00:00,,,,2.1625,2.2613,2.1625,,,,,,
2003-12-18 00:00:00,,,,2.2563,2.2563,2.2275,,,,,,
2003-12-19 00:00:00,,,,2.2088,2.25,2.2088,,,,,,
2003-12-22 00:00:00,,,,2.1888,2.2563,2.1888,,,,,,
2003-12-23 00:00:00,,,,2.25,2.2813,2.245,,,,,,
2003-12-24 00:00:00,,,,2.2875,2.2875,2.245,,,,,,
2003-12-26 00:00:00,,,,2.275,2.275,2.275,,,,,,
2003-12-29 00:00:00,,,,2.2438,2.2862999999999998,2.2438,,,,,,
2003-12-30 00:00:00,,,,2.2463,2.3125,2.2375,,,,,,
2003-12-31 00:00:00,,,,2.2513,2.268,2.2163,,,,,,
2004-01-02 00:00:00,,,,2.2138,2.25,2.2038,,,,,,
2004-01-05 00:00:00,,,,2.2686,2.2686,2.2,,,,0,0,3
2004-01-06 00:00:00,,,,2.19,2.2813,2.19,,,,,,
2004-01-07 00:00:00,,,,2.25,2.25,2.225,,,,,,
2004-01-08 00:00:00,,,,2.225,2.2463,2.175,,,,,,
2004-01-09 00:00:00,,,,2.25,2.2563,2.2338,,,,,,
2004-01-12 00:00:00,,,,2.2275,2.25,2.2025,,,,,,
2004-01-13 00:00:00,,,,2.175,2.2438,2.1638,,,,,,
2004-01-14 00:00:00,,,,2.2088,2.2363,2.1875,,,,,,
2004-01-15 00:00:00,,,,2.23,2.25,2.2125,,,,,,
2004-01-16 00:00:00,,,,2.2638,2.3113,2.2413,,,,,,
2004-01-20 00:00:00,,,,2.2763,2.355,2.2725,,,,,,
