Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,12.5,13.0938,12.2813,,,,0,13,0
2000-05-02 00:00:00,,,,13.0625,13.1719,12.5469,,,,,,
2000-05-03 00:00:00,,,,12.3125,12.3438,11.7031,,,,0,13,0
2000-05-04 00:00:00,,,,12.125,12.1406,11.75,,,,,,
2000-05-05 00:00:00,,,,11.7656,12.0156,11.7656,,,,,,
2000-05-08 00:00:00,,,,11.8594,12.375,11.7656,,,,,,
2000-05-09 00:00:00,,,,12.375,12.625,12.2031,,,,0,13,0
2000-05-10 00:00:00,,,,12.3281,12.4844,12.0625,,,,0,13,0
2000-05-11 00:00:00,,,,12.2344,12.2344,12.0313,,,,,,
2000-05-12 00:00:00,,,,12.2344,12.25,11.875,,,,,,
2000-05-15 00:00:00,,,,12.2813,12.7031,12.2188,,,,0,13,0
2000-05-16 00:00:00,,,,12.6563,12.8594,12.25,,,,,,
2000-05-17 00:00:00,,,,12.375,12.4375,11.7656,,,,,,
2000-05-18 00:00:00,,,,11.9844,12.4375,11.9844,,,,,,
2000-05-19 00:00:00,,,,12.0625,12.2656,11.9531,,,,,,
2000-05-22 00:00:00,,,,12.125,12.2188,11.7813,,,,,,
2000-05-23 00:00:00,,,,12.2344,12.4063,12,,,,,,
2000-05-24 00:00:00,,,,12.1094,12.1094,10.9844,,,,,,
2000-05-25 00:00:00,,,,11.5313,11.8594,11.5156,,,,,,
2000-05-26 00:00:00,,,,11.75,11.7813,11.3281,,,,0,13,0
2000-05-30 00:00:00,,,,11.5313,11.8594,11.375,,,,0,13,0
2000-05-31 00:00:00,,,,11.6875,11.875,11.6406,,,,0,12,0
2000-06-01 00:00:00,,,,11.6719,11.9844,11.625,,,,0,12,0
2000-06-02 00:00:00,,,,12.5625,12.8438,12.5313,,,,0,12,0
2000-06-05 00:00:00,,,,12.7188,12.7188,12.3906,,,,,,
2000-06-06 00:00:00,,,,12.125,12.1875,11.6719,,,,,,
2000-06-07 00:00:00,,,,11.7188,11.75,11.1875,,,,,,
2000-06-08 00:00:00,,,,11.2969,11.2969,10.9063,,,,0,12,0
2000-06-09 00:00:00,,,,11.0781,11.1719,10.7031,,,,0,12,0
2000-06-12 00:00:00,,,,10.625,10.625,10.4219,,,,,,
2000-06-13 00:00:00,,,,10.5313,11.3281,10.4688,,,,,,
2000-06-14 00:00:00,,,,11.125,11.1875,10.9531,,,,,,
2000-06-15 00:00:00,,,,11.1875,11.2188,10.9688,,,,,,
2000-06-16 00:00:00,,,,11,11,10.6406,,,,0,12,0
2000-06-19 00:00:00,,,,10.75,10.75,10.375,,,,,,
2000-06-20 00:00:00,,,,10.625,10.625,10.1563,,,,0,12,0
2000-06-21 00:00:00,,,,10.25,10.5625,10.25,,,,,,
2000-06-22 00:00:00,,,,10.625,10.75,10.4688,,,,,,
2000-06-23 00:00:00,,,,10.5156,10.7188,10.3125,,,,,,
2000-06-26 00:00:00,,,,10.4688,10.5938,10.3906,,,,,,
2000-06-27 00:00:00,,,,10.4688,10.8594,10.4375,,,,0,12,0
2000-06-28 00:00:00,,,,10.625,10.6563,10.2969,,,,0,12,0
2000-06-29 00:00:00,,,,10.625,10.625,10.2656,,,,,,
2000-06-30 00:00:00,,,,10.2344,10.2813,10.0938,,,,0,12,0
2000-07-03 00:00:00,,,,10.25,10.3906,10.125,,,,,,
2000-07-05 00:00:00,,,,10.25,10.7188,10.25,,,,,,
2000-07-06 00:00:00,,,,10.4063,10.6563,10.4063,,,,0,12,0
2000-07-07 00:00:00,,,,10.6875,11.5156,10.5938,,,,,,
2000-07-10 00:00:00,,,,11.3438,12.0625,11.2656,,,,0,12,0
2000-07-11 00:00:00,,,,11.7031,12.0313,11.7031,,,,,,
2000-07-12 00:00:00,,,,12.0313,12.1094,11.8281,,,,,,
2000-07-13 00:00:00,,,,11.9844,12,11.7344,,,,,,
2000-07-14 00:00:00,,,,11.9219,12.0313,11.8281,,,,,,
2000-07-17 00:00:00,,,,11.75,12.0469,11.6719,,,,,,
2000-07-18 00:00:00,,,,12.0156,12.1094,11.9063,,,,,,
2000-07-19 00:00:00,,,,12.0313,12.0313,11.6406,,,,,,
2000-07-20 00:00:00,,,,11.7188,11.7969,11.5156,,,,,,
2000-07-21 00:00:00,,,,11.2656,11.4531,11.2188,,,,,,
2000-07-24 00:00:00,,,,11.25,11.2656,10.8281,,,,,,
2000-07-25 00:00:00,,,,11.125,11.1719,10.7656,,,,,,
2000-07-26 00:00:00,,,,11.0625,11.1875,11,,,,,,
2000-07-27 00:00:00,,,,11.0781,11.25,10.9063,,,,,,
2000-07-28 00:00:00,,,,10.9375,10.9844,10.4531,,,,,,
2000-07-31 00:00:00,,,,10.7813,10.7813,10.4531,,,,0,12,0
2000-08-01 00:00:00,,,,10.6875,10.6875,10.4375,,,,,,
2000-08-02 00:00:00,,,,10.6719,10.9844,10.625,,,,,,
2000-08-03 00:00:00,,,,10.625,10.8125,10.4063,,,,0,12,0
2000-08-04 00:00:00,,,,10.5625,10.6875,10.4531,,,,,,
2000-08-07 00:00:00,,,,10.75,11.2969,10.6094,,,,0,12,0
2000-08-08 00:00:00,,,,11.2188,11.7969,11.125,,,,,,
2000-08-09 00:00:00,,,,11.4219,11.4219,10.9688,,,,0,12,0
2000-08-10 00:00:00,,,,11.125,11.2031,10.875,,,,,,
2000-08-11 00:00:00,,,,10.9219,10.9688,10.8438,,,,,,
2000-08-14 00:00:00,,,,11.1563,11.7813,11.0313,,,,0,12,0
2000-08-15 00:00:00,,,,11.2344,11.6719,11.2344,,,,0,12,0
2000-08-16 00:00:00,,,,11.5313,11.5313,11.0313,,,,,,
2000-08-17 00:00:00,,,,11.4688,11.7188,11.375,,,,,,
2000-08-18 00:00:00,,,,11.4688,11.7344,11.4688,,,,,,
2000-08-21 00:00:00,,,,11.6406,11.7344,11.3438,,,,,,
2000-08-22 00:00:00,,,,11.5156,11.7344,11.5,,,,,,
2000-08-23 00:00:00,,,,11.6719,12.2188,11.6406,,,,,,
2000-08-24 00:00:00,,,,12.125,12.2813,11.9219,,,,,,
2000-08-25 00:00:00,,,,12.2813,12.3438,12.0938,,,,,,
2000-08-28 00:00:00,,,,12.3438,12.3906,12.125,,,,,,
2000-08-29 00:00:00,,,,12.1406,12.1406,11.8906,,,,,,
2000-08-30 00:00:00,,,,12.0469,12.0469,11.7344,,,,,,
2000-08-31 00:00:00,,,,11.5938,11.625,11,,,,,,
2000-09-01 00:00:00,,,,11.2344,11.7188,11.2344,,,,,,
2000-09-05 00:00:00,,,,11.7031,11.9844,11.6875,,,,,,
2000-09-06 00:00:00,,,,11.7656,12.1406,11.7656,,,,0,13,0
2000-09-07 00:00:00,,,,11.9219,12.0313,11.75,,,,0,13,0
2000-09-08 00:00:00,,,,11.9844,12.8125,11.9688,,,,0,13,0
2000-09-11 00:00:00,,,,12.7813,13.1094,12.7344,,,,,,
2000-09-12 00:00:00,,,,12.8594,13.625,12.8125,,,,,,
2000-09-13 00:00:00,,,,13.3125,13.3125,12.4531,,,,0,13,0
2000-09-14 00:00:00,,,,12.5313,12.5469,12.0625,,,,0,14,0
2000-09-15 00:00:00,,,,12.1563,12.3594,11.9531,,,,0,15,0
2000-09-18 00:00:00,,,,12.0469,12.3281,11.875,,,,,,
2000-09-19 00:00:00,,,,12.2656,12.3594,11.7188,,,,,,
2000-09-20 00:00:00,,,,11.7969,11.9688,11.7031,,,,,,
2000-09-21 00:00:00,,,,11.8281,12.5625,11.8281,,,,0,15,0
2000-09-22 00:00:00,,,,12.5,12.6875,12.3281,,,,,,
2000-09-25 00:00:00,,,,12.7188,12.7344,12.1719,,,,,,
2000-09-26 00:00:00,,,,12.25,12.25,11.7031,,,,,,
2000-09-27 00:00:00,,,,11.9531,11.9844,11.6563,,,,,,
2000-09-28 00:00:00,,,,11.75,11.7813,11.4688,,,,,,
2000-09-29 00:00:00,,,,11.4844,11.5156,11.1875,,,,,,
2000-10-02 00:00:00,,,,11.0625,11.3906,11.0313,,,,,,
2000-10-03 00:00:00,,,,10.75,10.9844,10.5938,,,,0,15,0
2000-10-04 00:00:00,,,,10.75,11.0469,10.7188,,,,0,16,0
2000-10-05 00:00:00,,,,10.5313,10.6094,10.3438,,,,,,
2000-10-06 00:00:00,,,,10,10.3281,9.8906,,,,0,16,0
2000-10-09 00:00:00,,,,10.2031,10.6094,10.1406,,,,,,
2000-10-10 00:00:00,,,,10.5,10.5469,10.3281,,,,,,
2000-10-11 00:00:00,,,,10.4375,10.5625,10.1094,,,,,,
2000-10-12 00:00:00,,,,9.2813,9.6875,8.5625,,,,,,
2000-10-13 00:00:00,,,,9.4375,9.9219,9.375,,,,,,
2000-10-16 00:00:00,,,,9.7188,9.9375,9.5,,,,0,16,0
2000-10-17 00:00:00,,,,9.8125,9.9063,9.3125,,,,0,17,0
2000-10-18 00:00:00,,,,9.2188,9.9688,9.0938,,,,0,17,0
2000-10-19 00:00:00,,,,10.2031,10.4688,10.1406,,,,,,
2000-10-20 00:00:00,,,,10.25,10.5469,10.2188,,,,,,
2000-10-23 00:00:00,,,,10.2813,10.5156,10.0938,,,,,,
2000-10-24 00:00:00,,,,10.5938,10.6719,10.3906,,,,,,
2000-10-25 00:00:00,,,,10.4375,10.4688,10.1094,,,,,,
2000-10-26 00:00:00,,,,10.2188,10.4219,10.125,,,,0,17,0
2000-10-27 00:00:00,,,,10.125,10.4688,10.0938,,,,,,
2000-10-30 00:00:00,,,,10.5,11.0313,10.5,,,,0,17,0
2000-10-31 00:00:00,,,,10.7813,11.4844,10.7813,,,,,,
2000-11-01 00:00:00,,,,11.625,11.6719,11.4219,,,,,,
2000-11-02 00:00:00,,,,11.4844,11.5156,11.1719,,,,,,
2000-11-03 00:00:00,,,,11.4219,11.4375,11.0781,,,,,,
2000-11-06 00:00:00,,,,11.2813,11.3125,11.0781,,,,0,18,0
2000-11-07 00:00:00,,,,11.1719,11.2656,10.9531,,,,,,
2000-11-08 00:00:00,,,,11.2969,11.6563,11.1875,,,,0,18,0
2000-11-09 00:00:00,,,,11.0625,11.0625,10.2188,,,,0,18,0
2000-11-10 00:00:00,,,,10.4688,10.4688,9.9219,,,,0,18,0
2000-11-13 00:00:00,,,,9.7969,10.4688,9.5781,,,,0,18,0
2000-11-14 00:00:00,,,,10.3438,10.7344,10.3438,,,,0,18,0
2000-11-15 00:00:00,,,,10.3906,10.4375,9.9063,,,,0,18,0
2000-11-16 00:00:00,,,,10,10.1094,9.9375,,,,,,
2000-11-17 00:00:00,,,,9.9844,10.2344,9.9531,,,,0,18,0
2000-11-20 00:00:00,,,,10.125,10.1875,9.9844,,,,,,
2000-11-21 00:00:00,,,,10.0313,10.0313,9.7188,,,,,,
2000-11-22 00:00:00,,,,9.8281,9.9063,9.7031,,,,,,
2000-11-24 00:00:00,,,,9.7344,9.7969,9.7188,,,,,,
2000-11-27 00:00:00,,,,9.8125,10.25,9.8125,,,,0,18,0
2000-11-28 00:00:00,,,,10,10.4219,9.9844,,,,,,
2000-11-29 00:00:00,,,,10.2656,10.2656,10.0625,,,,0,18,0
2000-11-30 00:00:00,,,,10.125,10.125,9.7969,,,,0,18,0
2000-12-01 00:00:00,,,,9.875,9.9844,9.7188,,,,0,18,0
2000-12-04 00:00:00,,,,9.7188,10.1719,9.6719,,,,,,
2000-12-05 00:00:00,,,,9.625,10.9219,9.625,,,,0,17,1
2000-12-06 00:00:00,,,,10.7813,11,10.1094,,,,,,
2000-12-07 00:00:00,,,,10.1719,10.1719,9.8906,,,,,,
2000-12-08 00:00:00,,,,10,10.1094,9.8906,,,,,,
2000-12-11 00:00:00,,,,9.5625,10.5,9.4375,,,,0,16,2
2000-12-12 00:00:00,,,,10.4531,10.8125,10.3125,,,,,,
2000-12-13 00:00:00,,,,10.7188,10.8125,10.5156,,,,0,16,2
2000-12-14 00:00:00,,,,10.5625,10.6406,10.3438,,,,,,
2000-12-15 00:00:00,,,,10.25,10.4375,10.0313,,,,,,
2000-12-18 00:00:00,,,,10.625,10.625,10.4531,,,,0,16,2
2000-12-19 00:00:00,,,,10.4063,10.7656,10.2656,,,,,,
2000-12-20 00:00:00,,,,10.0625,10.3125,9.9531,,,,,,
2000-12-21 00:00:00,,,,10.0313,10.5938,10,,,,,,
2000-12-22 00:00:00,,,,10.4844,10.6875,10.2344,,,,0,16,2
2000-12-26 00:00:00,,,,10.375,10.3906,10,,,,,,
2000-12-27 00:00:00,,,,10.2031,10.5469,10.0781,,,,,,
2000-12-28 00:00:00,,,,10.5,10.75,10.3906,,,,,,
2000-12-29 00:00:00,,,,10.7656,11.4531,10.6406,,,,,,
2001-01-02 00:00:00,,,,11.2813,11.3438,11.125,,,,,,
2001-01-03 00:00:00,,,,11.1563,13.25,11.1563,,,,,,
2001-01-04 00:00:00,,,,12.9063,13.875,12.7813,,,,0,16,2
2001-01-05 00:00:00,,,,13.2656,13.2813,12.7344,,,,,,
2001-01-08 00:00:00,,,,12.9531,12.9531,12.0938,,,,,,
2001-01-09 00:00:00,,,,12.3281,12.4688,11.875,,,,,,
2001-01-10 00:00:00,,,,11.7813,12.625,11.7813,,,,0,14,4
2001-01-11 00:00:00,,,,12.5625,12.7656,12.2969,,,,0,14,4
2001-01-12 00:00:00,,,,12.4844,12.6406,12.4375,,,,0,14,4
2001-01-16 00:00:00,,,,12.3125,12.4375,12.0156,,,,0,14,4
2001-01-17 00:00:00,,,,12.3594,12.3594,12.0156,,,,0,15,4
2001-01-18 00:00:00,,,,12.0156,12.0156,11.5156,,,,0,15,4
2001-01-19 00:00:00,,,,11.5,11.5,10.9375,,,,0,15,4
2001-01-22 00:00:00,,,,11.4063,11.7656,11.3125,,,,0,15,4
2001-01-23 00:00:00,,,,11.5938,11.9688,11.4375,,,,0,15,4
2001-01-24 00:00:00,,,,12,12,11.6719,,,,0,15,4
2001-01-25 00:00:00,,,,11.875,12.3594,11.6563,,,,0,15,4
2001-01-26 00:00:00,,,,12.3281,12.3281,11.9688,,,,,,
2001-01-29 00:00:00,,,,12.3225,12.5125,12.295,,,,0,14,4
2001-01-30 00:00:00,,,,12.625,12.7375,12.3175,,,,0,14,4
2001-01-31 00:00:00,,,,12.8625,13.5,12.84,,,,0,14,4
2001-02-01 00:00:00,,,,13.3625,13.745,13.0125,,,,,,
2001-02-02 00:00:00,,,,13.65,13.7,13.425,,,,,,
2001-02-05 00:00:00,,,,13.4125,13.415,13.125,,,,0,14,4
2001-02-06 00:00:00,,,,13.275,13.41,13.0625,,,,0,14,4
2001-02-07 00:00:00,,,,13.0075,13.1875,12.95,,,,,,
2001-02-08 00:00:00,,,,13.075,13.0875,12.3925,,,,,,
2001-02-09 00:00:00,,,,13.2375,13.65,13.175,,,,0,14,4
2001-02-12 00:00:00,,,,13.125,13.5125,13.065,,,,0,14,4
2001-02-13 00:00:00,,,,13.5,14.125,13.43,,,,,,
2001-02-14 00:00:00,,,,14.0625,14.5,14.02,,,,0,14,4
2001-02-15 00:00:00,,,,14.4,14.4975,14.0325,,,,0,14,4
2001-02-16 00:00:00,,,,14.125,14.27,13.85,,,,0,14,4
2001-02-20 00:00:00,,,,14.1875,14.855,14.175,,,,0,14,4
2001-02-21 00:00:00,,,,14.4,14.4825,13.565,,,,0,14,4
2001-02-22 00:00:00,,,,13.6125,13.625,13.2875,,,,0,14,4
2001-02-23 00:00:00,,,,13.535,13.7725,13.255,,,,0,14,4
2001-02-26 00:00:00,,,,14.25,14.8875,14.175,,,,0,15,4
2001-02-27 00:00:00,,,,14.5625,14.725,14.2975,,,,,,
2001-02-28 00:00:00,,,,14.325,14.4925,13.75,,,,0,15,4
2001-03-01 00:00:00,,,,14.0575,14.0975,13.3,,,,0,15,3
2001-03-02 00:00:00,,,,13.55,14.35,13.42,,,,,,
2001-03-05 00:00:00,,,,14.275,14.6125,14.2,,,,0,16,3
2001-03-06 00:00:00,,,,14.45,14.885,14.4125,,,,,,
2001-03-07 00:00:00,,,,14.975,15.625,14.9625,,,,0,16,3
2001-03-08 00:00:00,,,,15.5625,16.125,15.4725,,,,,,
2001-03-09 00:00:00,,,,15.415,15.7375,15,,,,0,16,3
2001-03-12 00:00:00,,,,15.5,15.5025,14.86,,,,,,
2001-03-13 00:00:00,,,,15,15.1,14.4675,,,,0,16,3
2001-03-14 00:00:00,,,,14.3875,14.825,14.3875,,,,,,
2001-03-15 00:00:00,,,,14.9125,15.375,14.9125,,,,,,
2001-03-16 00:00:00,,,,15.0625,15.2375,14.775,,,,,,
2001-03-19 00:00:00,,,,15.0375,15.375,14.8975,,,,,,
2001-03-20 00:00:00,,,,15.425,16.025,15.425,,,,0,16,3
2001-03-21 00:00:00,,,,15.5925,15.725,15.25,,,,0,17,3
2001-03-22 00:00:00,,,,15.375,15.375,13.81,,,,,,
2001-03-23 00:00:00,,,,14.405,14.405,13.8,,,,,,
2001-03-26 00:00:00,,,,14.35,14.35,14.0625,,,,0,17,3
2001-03-27 00:00:00,,,,14.2275,14.75,13.9125,,,,,,
2001-03-28 00:00:00,,,,14.4375,14.575,14.2825,,,,,,
2001-03-29 00:00:00,,,,14.1275,14.725,13.825,,,,0,17,3
2001-03-30 00:00:00,,,,14.75,14.9,14.455,,,,0,18,2
