Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,46.625,47.25,43.5,,,,0,9,0
2000-05-02 00:00:00,,,,43.625,45.875,42.0625,,,,,,
2000-05-03 00:00:00,,,,42.125,42.25,37.625,,,,,,
2000-05-04 00:00:00,,,,39.9375,40.5,38.125,,,,,,
2000-05-05 00:00:00,,,,39.0625,41,38.75,,,,,,
2000-05-08 00:00:00,,,,39.3125,40.125,36,,,,,,
2000-05-09 00:00:00,,,,38.125,38.125,33,,,,,,
2000-05-10 00:00:00,,,,32.8125,35.75,32.0625,,,,,,
2000-05-11 00:00:00,,,,33.5,35,32.0625,,,,,,
2000-05-12 00:00:00,,,,33.9688,36,33.3125,,,,0,9,0
2000-05-15 00:00:00,,,,34.375,34.4375,32.1875,,,,0,9,0
2000-05-16 00:00:00,,,,36.125,36.5,33.875,,,,,,
2000-05-17 00:00:00,,,,34,36,33.625,,,,,,
2000-05-18 00:00:00,,,,35,35.25,33.25,,,,,,
2000-05-19 00:00:00,,,,33.25,33.375,29.4375,,,,0,9,0
2000-05-22 00:00:00,,,,30.625,30.6875,26.75,,,,,,
2000-05-23 00:00:00,,,,28.3125,30.875,26.375,,,,,,
2000-05-24 00:00:00,,,,26.25,27.8125,23.25,,,,,,
2000-05-25 00:00:00,,,,27.75,29.75,27,,,,,,
2000-05-26 00:00:00,,,,28.2188,29,26.625,,,,,,
2000-05-30 00:00:00,,,,29,32.3125,29,,,,,,
2000-05-31 00:00:00,,,,31.8594,34.25,30.25,,,,0,9,0
2000-06-01 00:00:00,,,,33.625,37.0625,33.5,,,,,,
2000-06-02 00:00:00,,,,39.75,42.125,39.5,,,,0,9,0
2000-06-05 00:00:00,,,,40.25,41.1875,38,,,,,,
2000-06-06 00:00:00,,,,38.5938,40.375,36.75,,,,,,
2000-06-07 00:00:00,,,,37.875,38.875,36.625,,,,,,
2000-06-08 00:00:00,,,,39,42.25,39,,,,,,
2000-06-09 00:00:00,,,,41.8125,42.5625,41.375,,,,,,
2000-06-12 00:00:00,,,,42.5625,42.625,39.3125,,,,,,
2000-06-13 00:00:00,,,,39.625,40.9375,38.0625,,,,,,
2000-06-14 00:00:00,,,,40.8438,42.375,38.5625,,,,,,
2000-06-15 00:00:00,,,,39.0625,39.125,37.4375,,,,,,
2000-06-16 00:00:00,,,,38.4375,40.125,37.5,,,,0,9,0
2000-06-19 00:00:00,,,,39.5,44.75,39.4375,,,,,,
2000-06-20 00:00:00,,,,44.5,46,42,,,,,,
2000-06-21 00:00:00,,,,42.0625,44.4375,41.4375,,,,0,10,0
2000-06-22 00:00:00,,,,43.375,44.5,41.875,,,,,,
2000-06-23 00:00:00,,,,42.4688,42.5,40.25,,,,,,
2000-06-26 00:00:00,,,,41.25,41.6875,39.375,,,,,,
2000-06-27 00:00:00,,,,40.1875,41.3125,38,,,,,,
2000-06-28 00:00:00,,,,39.625,41.625,38.5,,,,0,11,0
2000-06-29 00:00:00,,,,39.625,39.75,37.375,,,,,,
2000-06-30 00:00:00,,,,38.75,38.75,35.8125,,,,,,
2000-07-03 00:00:00,,,,37.75,39.375,37,,,,,,
2000-07-05 00:00:00,,,,37.0625,37.5,32,,,,,,
2000-07-06 00:00:00,,,,33.4375,35.5625,33,,,,0,11,0
2000-07-07 00:00:00,,,,37.125,37.25,35.8125,,,,0,12,0
2000-07-10 00:00:00,,,,36.5625,38.25,36.5625,,,,,,
2000-07-11 00:00:00,,,,37,40,34.9375,,,,,,
2000-07-12 00:00:00,,,,37,37,35.5,,,,0,12,0
2000-07-13 00:00:00,,,,36.875,37.5625,35.9375,,,,,,
2000-07-14 00:00:00,,,,37,38.0625,36,,,,,,
2000-07-17 00:00:00,,,,37.9688,40.1875,37.875,,,,0,12,0
2000-07-18 00:00:00,,,,39.0625,39.125,35,,,,,,
2000-07-19 00:00:00,,,,35.125,35.1875,31.125,,,,,,
2000-07-20 00:00:00,,,,32.125,32.4375,28.25,,,,0,12,0
2000-07-21 00:00:00,,,,28.875,29.25,26.0625,,,,,,
2000-07-24 00:00:00,,,,27.4375,28.8125,26.875,,,,,,
2000-07-25 00:00:00,,,,29.375,30.125,28.125,,,,,,
2000-07-26 00:00:00,,,,29.6875,29.6875,27,,,,,,
2000-07-27 00:00:00,,,,27.3125,28,26,,,,0,12,0
2000-07-28 00:00:00,,,,27.75,29.0625,26.75,,,,,,
2000-07-31 00:00:00,,,,29.3125,29.625,27.875,,,,,,
2000-08-01 00:00:00,,,,29.5625,29.875,27.375,,,,,,
2000-08-02 00:00:00,,,,27.6875,28.875,27.125,,,,,,
2000-08-03 00:00:00,,,,25.0625,25.125,21.25,,,,,,
2000-08-04 00:00:00,,,,23.9375,24.1875,21.75,,,,0,12,0
2000-08-07 00:00:00,,,,23.625,24.5,22.8125,,,,0,12,0
2000-08-08 00:00:00,,,,23,23.4375,22.4375,,,,,,
2000-08-09 00:00:00,,,,23.5,23.6875,22.75,,,,0,12,0
2000-08-10 00:00:00,,,,22.9375,23,21.3125,,,,0,11,0
2000-08-11 00:00:00,,,,21.125,22,19.625,,,,0,11,0
2000-08-14 00:00:00,,,,22.25,24.4375,22,,,,,,
2000-08-15 00:00:00,,,,24.5,26.875,24.25,,,,,,
2000-08-16 00:00:00,,,,26.9375,27.75,26.375,,,,,,
2000-08-17 00:00:00,,,,26.5938,28.25,25.5,,,,,,
2000-08-18 00:00:00,,,,28.4375,29.875,28,,,,,,
2000-08-21 00:00:00,,,,29.75,29.875,27,,,,,,
2000-08-22 00:00:00,,,,28.75,28.75,27.25,,,,0,11,0
2000-08-23 00:00:00,,,,27.5,30.75,27.1875,,,,,,
2000-08-24 00:00:00,,,,30.8125,30.9375,29.25,,,,,,
2000-08-25 00:00:00,,,,29.5,30.5,29.4375,,,,,,
2000-08-28 00:00:00,,,,30,31.375,29.75,,,,,,
2000-08-29 00:00:00,,,,30.5938,31.75,30,,,,,,
2000-08-30 00:00:00,,,,31.5,31.5625,29.0625,,,,,,
2000-08-31 00:00:00,,,,29.625,30.625,29.5625,,,,,,
2000-09-01 00:00:00,,,,30.6875,31.6875,30.25,,,,,,
2000-09-05 00:00:00,,,,31.0625,31.0625,29,,,,,,
2000-09-06 00:00:00,,,,28,28.25,26.25,,,,,,
2000-09-07 00:00:00,,,,27.125,29,26.625,,,,,,
2000-09-08 00:00:00,,,,27.8125,28,26.625,,,,,,
2000-09-11 00:00:00,,,,26.9375,28,25.8125,,,,,,
2000-09-12 00:00:00,,,,25.75,26.25,24.75,,,,,,
2000-09-13 00:00:00,,,,24.125,25.375,23.625,,,,,,
2000-09-14 00:00:00,,,,26.3125,26.5,24.5,,,,,,
2000-09-15 00:00:00,,,,24.625,24.75,23.75,,,,,,
2000-09-18 00:00:00,,,,24.5,25.0625,23.4375,,,,,,
2000-09-19 00:00:00,,,,24.1875,25.8125,23.625,,,,0,11,0
2000-09-20 00:00:00,,,,25.8125,26.4375,24.3125,,,,,,
2000-09-21 00:00:00,,,,25.4375,25.5,23.5,,,,,,
2000-09-22 00:00:00,,,,21.9375,23.4375,21.75,,,,,,
2000-09-25 00:00:00,,,,24,24,21.5,,,,,,
2000-09-26 00:00:00,,,,23.5,23.5,21.6875,,,,,,
2000-09-27 00:00:00,,,,23,23,21.5,,,,,,
2000-09-28 00:00:00,,,,22,22.6875,21.375,,,,,,
2000-09-29 00:00:00,,,,21.6875,21.6875,20,,,,,,
2000-10-02 00:00:00,,,,21.625,23.25,21.1875,,,,,,
2000-10-03 00:00:00,,,,22.875,23.6875,21.875,,,,0,11,0
2000-10-04 00:00:00,,,,22.125,23.9375,22.125,,,,,,
2000-10-05 00:00:00,,,,23.5625,23.75,21.625,,,,,,
2000-10-06 00:00:00,,,,21.7188,22,20.75,,,,,,
2000-10-09 00:00:00,,,,20.9688,21.875,20,,,,,,
2000-10-10 00:00:00,,,,20.9375,21.5625,19.125,,,,,,
2000-10-11 00:00:00,,,,19,20,18,,,,,,
2000-10-12 00:00:00,,,,20,20.5,17.5,,,,,,
2000-10-13 00:00:00,,,,18.25,20,17.9375,,,,0,11,0
2000-10-16 00:00:00,,,,19.75,19.75,18.4375,,,,,,
2000-10-17 00:00:00,,,,18.875,18.875,15.25,,,,,,
2000-10-18 00:00:00,,,,15,17.375,13.9375,,,,0,10,1
2000-10-19 00:00:00,,,,17,18.375,16.4375,,,,,,
2000-10-20 00:00:00,,,,17.875,19.375,17.5,,,,,,
2000-10-23 00:00:00,,,,19.25,20.4375,19.125,,,,,,
2000-10-24 00:00:00,,,,19.0625,19.125,17.5,,,,,,
2000-10-25 00:00:00,,,,17.125,18,16.6875,,,,,,
2000-10-26 00:00:00,,,,16.9375,18.3125,16.75,,,,,,
2000-10-27 00:00:00,,,,18.25,18.375,17.0625,,,,,,
2000-10-30 00:00:00,,,,17.25,18.125,17.0625,,,,,,
2000-10-31 00:00:00,,,,18.5,19.5,18.25,,,,,,
2000-11-01 00:00:00,,,,18.25,19.25,17.75,,,,,,
2000-11-02 00:00:00,,,,19,20,18.9375,,,,,,
2000-11-03 00:00:00,,,,18.875,19.25,18.4375,,,,0,10,1
2000-11-06 00:00:00,,,,19.4375,19.4375,18.5625,,,,,,
2000-11-07 00:00:00,,,,18.3125,18.4375,17.75,,,,,,
2000-11-08 00:00:00,,,,18.0938,18.1875,17.375,,,,,,
2000-11-09 00:00:00,,,,16.8125,18.1875,16.5,,,,,,
2000-11-10 00:00:00,,,,17,17,16.1875,,,,,,
2000-11-13 00:00:00,,,,15.8125,17.5,15.625,,,,0,10,1
2000-11-14 00:00:00,,,,17.4375,17.6875,17.0625,,,,,,
