Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2010-06-01 00:00:00,,,,,,,,,,0,2,0
2010-07-19 00:00:00,,,,,,,,,,0,2,0
2010-08-16 00:00:00,,,,,,,,,,0,2,0
2010-08-18 00:00:00,,,,,,,,,,0,2,0
2010-08-19 00:00:00,,,,,,,,,,0,3,0
2010-08-23 00:00:00,,,,,,,,,,0,3,0
2010-08-25 00:00:00,,,,,,,,,,0,3,0
2010-09-01 00:00:00,,,,,,,,,,0,3,0
2010-09-02 00:00:00,,,,,,,,,,0,3,0
2010-09-03 00:00:00,,,,,,,,,,0,3,0
2010-09-13 00:00:00,,,,,,,,,,0,3,0
2010-09-16 00:00:00,,,,,,,,,,0,3,0
2010-09-17 00:00:00,,,,,,,,,,0,4,0
2010-09-23 00:00:00,,,,,,,,,,0,5,0
2010-09-27 00:00:00,,,,,,,,,,0,6,0
2010-09-30 00:00:00,,,,,,,,,,0,6,0
2010-10-04 00:00:00,,,,,,,,,,0,7,0
2010-10-08 00:00:00,,,,,,,,,,0,7,0
2010-10-11 00:00:00,,,,,,,,,,0,7,0
2010-10-12 00:00:00,,,,,,,,,,0,7,0
2010-10-14 00:00:00,,,,27.65,27.65,26,,,,0,7,0
2010-10-15 00:00:00,,,,27.1,27.1,26.5,,,,0,7,0
2010-10-18 00:00:00,,,,26.41,27.04,26.41,,,,0,8,0
2010-10-19 00:00:00,,,,26.95,26.98,26.44,,,,,,
2010-10-20 00:00:00,,,,26.69,27.2,26.67,,,,,,
2010-10-21 00:00:00,,,,27.25,28,27.13,,,,,,
2010-10-22 00:00:00,,,,27.6,27.68,27.3,,,,0,8,0
2010-10-25 00:00:00,,,,27.82,28.27,27.73,,,,0,10,0
2010-10-26 00:00:00,,,,28.12,28.12,26.5,,,,0,10,0
2010-10-27 00:00:00,,,,27.83,27.83,26.85,,,,,,
2010-10-28 00:00:00,,,,27.38,27.75,26.99,,,,,,
2010-10-29 00:00:00,,,,27.85,28.25,26.65,,,,0,10,0
2010-11-01 00:00:00,,,,26.76,27.16,25.7,,,,0,10,0
2010-11-02 00:00:00,,,,26.3,26.79,26.18,,,,,,
2010-11-03 00:00:00,,,,27.23,27.28,26.35,,,,,,
2010-11-04 00:00:00,,,,27.25,27.55,26.99,,,,,,
2010-11-05 00:00:00,,,,27.62,28.53,27.56,,,,0,10,0
2010-11-08 00:00:00,,,,28.48,28.85,28.24,,,,,,
2010-11-09 00:00:00,,,,29.1,29.1,28.21,,,,,,
2010-11-10 00:00:00,,,,28.4,28.5,27.74,,,,,,
2010-11-11 00:00:00,,,,28.12,28.8,28.03,,,,,,
2010-11-12 00:00:00,,,,28.32,28.33,27.33,,,,,,
2010-11-15 00:00:00,,,,27.25,27.98,27.23,,,,,,
2010-11-16 00:00:00,,,,27.57,27.6,26.25,,,,,,
2010-11-17 00:00:00,,,,26.74,27.31,26.35,,,,0,10,0
2010-11-18 00:00:00,,,,28.23,28.23,27.54,,,,0,10,0
2010-11-19 00:00:00,,,,27.77,28.88,27.5,,,,,,
2010-11-22 00:00:00,,,,28.63,29.82,28.55,,,,,,
2010-11-23 00:00:00,,,,29.2,29.2,28.81,,,,,,
2010-11-24 00:00:00,,,,28.86,29.54,28.86,,,,,,
2010-11-26 00:00:00,,,,29.2,29.55,29.2,,,,,,
2010-11-29 00:00:00,,,,29.91,29.95,28.86,,,,0,12,0
2010-11-30 00:00:00,,,,29.28,29.5,29.06,,,,,,
2010-12-01 00:00:00,,,,29.63,30.04,29.63,,,,0,12,0
2010-12-02 00:00:00,,,,30.21,30.5,29.44,,,,0,12,0
2010-12-03 00:00:00,,,,30,30.71,29.54,,,,,,
2010-12-06 00:00:00,,,,30.85,31.12,30.5,,,,0,12,0
2010-12-07 00:00:00,,,,31.5,31.75,30.95,,,,0,12,0
2010-12-08 00:00:00,,,,31.6,31.85,30.73,,,,0,12,0
2010-12-09 00:00:00,,,,31.29,31.34,29.6,,,,0,12,0
2010-12-10 00:00:00,,,,30.75,31.17,30.46,,,,0,12,0
2010-12-13 00:00:00,,,,31.08,31.97,31.03,,,,0,11,0
2010-12-14 00:00:00,,,,31.26,32.45,31.19,,,,,,
2010-12-15 00:00:00,,,,31.99,32.18,31.52,,,,,,
2010-12-16 00:00:00,,,,32.01,32.02,30.91,,,,,,
2010-12-17 00:00:00,,,,31.14,32,30.73,,,,,,
2010-12-20 00:00:00,,,,31.91,32.12,31.62,,,,,,
2010-12-21 00:00:00,,,,32,32.57,32,,,,0,11,0
2010-12-22 00:00:00,,,,32.34,32.95,32.34,,,,,,
2010-12-23 00:00:00,,,,32.95,33,32.79,,,,0,11,0
2010-12-27 00:00:00,,,,32.78,33.02,32.65,,,,,,
2010-12-28 00:00:00,,,,32.96,33.3,32.83,,,,,,
2010-12-29 00:00:00,,,,33.21,33.44,33.18,,,,,,
2010-12-30 00:00:00,,,,33.43,33.82,33.26,,,,,,
2010-12-31 00:00:00,,,,33.85,34.52,33.85,,,,,,
2011-01-03 00:00:00,,,,34.75,34.99,34.44,,,,0,11,0
2011-01-04 00:00:00,,,,34.85,34.95,34.55,,,,,,
2011-01-05 00:00:00,,,,34.96,35,34.64,,,,0,11,0
2011-01-06 00:00:00,,,,34.91,35.11,34.74,,,,,,
2011-01-07 00:00:00,,,,35.2,35.2,34.46,,,,,,
2011-01-10 00:00:00,,,,34.85,35.3,34.6,,,,0,11,0
2011-01-11 00:00:00,,,,35.72,36.58,35.51,,,,0,11,0
2011-01-12 00:00:00,,,,36.89,37,36.51,,,,,,
2011-01-13 00:00:00,,,,36.84,36.84,35.85,,,,0,11,0
2011-01-14 00:00:00,,,,36.21,37,36.1,,,,,,
2011-01-18 00:00:00,,,,36.98,37,36.46,,,,0,11,0
2011-01-19 00:00:00,,,,36.54,36.69,35.53,,,,0,11,0
2011-01-20 00:00:00,,,,34.3,35.58,33.91,,,,0,11,0
2011-01-21 00:00:00,,,,36.04,36.22,34.4,,,,0,11,0
2011-01-24 00:00:00,,,,34.93,35.73,34.75,,,,,,
2011-01-25 00:00:00,,,,35.65,36.15,35.53,,,,0,12,0
2011-01-26 00:00:00,,,,35.75,36.25,35.55,,,,,,
2011-01-27 00:00:00,,,,36,36.51,35.83,,,,0,13,0
2011-01-28 00:00:00,,,,36.45,36.48,34.81,,,,0,14,0
2011-01-31 00:00:00,,,,34.86,36.04,34.86,,,,,,
2011-02-01 00:00:00,,,,36.24,37,35.97,,,,,,
2011-02-02 00:00:00,,,,36.85,36.88,36.17,,,,,,
2011-02-03 00:00:00,,,,36.78,37.44,36,,,,,,
2011-02-04 00:00:00,,,,36.37,36.76,35.34,,,,,,
2011-02-07 00:00:00,,,,36.37,36.76,35.3,,,,0,14,0
2011-02-08 00:00:00,,,,35.63,35.85,34.36,,,,0,14,0
2011-02-09 00:00:00,,,,35.3,35.95,34.6,,,,,,
2011-02-10 00:00:00,,,,35.49,36.83,35.35,,,,0,14,0
2011-02-11 00:00:00,,,,36.36,38.88,35.8,,,,0,14,0
2011-02-14 00:00:00,,,,37.17,37.44,36.82,,,,0,14,0
2011-02-15 00:00:00,,,,37.39,37.67,36.56,,,,,,
2011-02-16 00:00:00,,,,37.6,37.8,37.09,,,,,,
2011-02-17 00:00:00,,,,37.54,38.6,37.26,,,,0,14,0
2011-02-18 00:00:00,,,,37,38.12,35.42,,,,0,14,0
2011-02-21 00:00:00,,,,,,,,,,0,14,0
2011-02-22 00:00:00,,,,37,38.75,35.74,,,,0,14,0
2011-02-23 00:00:00,,,,35.48,37,34.89,,,,0,14,0
2011-02-24 00:00:00,,,,36.68,37.39,36.26,,,,,,
2011-02-25 00:00:00,,,,37.6,38.54,37.51,,,,,,
2011-02-28 00:00:00,,,,39,40,37.71,,,,0,14,0
2011-03-01 00:00:00,,,,38.37,38.81,36.78,,,,,,
2011-03-02 00:00:00,,,,37.21,38.58,36.85,,,,,,
2011-03-03 00:00:00,,,,38.83,39.85,38.83,,,,0,14,0
2011-03-04 00:00:00,,,,40.08,40.3,39.34,,,,,,
2011-03-07 00:00:00,,,,40.24,40.3,39.47,,,,,,
2011-03-08 00:00:00,,,,39.83,41.08,39.39,,,,,,
2011-03-09 00:00:00,,,,40.93,41.12,40.31,,,,,,
2011-03-10 00:00:00,,,,40.38,41,38.53,,,,0,14,0
2011-03-11 00:00:00,,,,39,39.66,38.22,,,,,,
2011-03-14 00:00:00,,,,39.19,40.41,38.76,,,,0,14,0
2011-03-15 00:00:00,,,,37.97,38.64,37.33,,,,0,14,0
