Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,21.5252,21.7567,21.4095,,,,0,4,0
2000-05-02 00:00:00,,,,21.7567,22.2196,21.641,,,,,,
2000-05-03 00:00:00,,,,22.046,22.2775,21.9303,,,,,,
2000-05-04 00:00:00,,,,22.1617,22.4511,22.1039,,,,,,
2000-05-05 00:00:00,,,,22.3932,22.4511,22.2196,,,,,,
2000-05-08 00:00:00,,,,22.2775,22.2775,22.046,,,,,,
2000-05-09 00:00:00,,,,21.9882,22.3353,21.9303,,,,,,
2000-05-10 00:00:00,,,,22.1617,22.1617,21.8724,,,,,,
2000-05-11 00:00:00,,,,21.9882,22.2196,21.9882,,,,,,
2000-05-12 00:00:00,,,,22.2196,22.2196,21.5831,,,,0,4,0
2000-05-15 00:00:00,,,,21.6988,21.7567,21.4674,,,,,,
2000-05-16 00:00:00,,,,21.0623,21.4674,20.9466,,,,,,
2000-05-17 00:00:00,,,,21.4095,21.4095,20.9466,,,,,,
2000-05-18 00:00:00,,,,21.0623,21.1202,20.368,,,,,,
2000-05-19 00:00:00,,,,19.9051,20.5416,19.9051,,,,0,4,0
2000-05-22 00:00:00,,,,20.368,20.4837,20.3101,,,,,,
2000-05-23 00:00:00,,,,21.2359,21.2359,20.5416,,,,,,
2000-05-24 00:00:00,,,,20.4837,20.5994,20.0787,,,,,,
2000-05-25 00:00:00,,,,20.5994,20.5994,19.7315,,,,,,
2000-05-26 00:00:00,,,,19.7893,20.2522,19.5579,,,,,,
2000-05-30 00:00:00,,,,20.2522,20.368,19.9629,,,,,,
2000-05-31 00:00:00,,,,20.2522,20.3101,19.9629,,,,,,
2000-06-01 00:00:00,,,,20.1944,20.368,20.1944,,,,0,4,0
2000-06-02 00:00:00,,,,20.2522,20.368,20.1944,,,,,,
2000-06-05 00:00:00,,,,20.2522,20.368,20.1944,,,,,,
2000-06-06 00:00:00,,,,20.3101,20.368,20.2522,,,,,,
2000-06-07 00:00:00,,,,20.1944,20.2522,20.0787,,,,,,
2000-06-08 00:00:00,,,,20.1365,20.3101,20.0787,,,,,,
2000-06-09 00:00:00,,,,20.1365,20.1944,20.0208,,,,,,
2000-06-12 00:00:00,,,,19.9629,20.3101,19.9629,,,,0,4,0
2000-06-13 00:00:00,,,,20.1365,20.368,20.0787,,,,,,
2000-06-14 00:00:00,,,,20.368,20.4837,20.1365,,,,,,
2000-06-15 00:00:00,,,,20.1365,20.368,19.9629,,,,,,
2000-06-16 00:00:00,,,,20.4258,20.4258,20.1944,,,,,,
2000-06-19 00:00:00,,,,20.368,20.368,20.1944,,,,,,
2000-06-20 00:00:00,,,,20.3101,20.5994,20.2522,,,,,,
2000-06-21 00:00:00,,,,20.4258,20.4837,20.2522,,,,,,
2000-06-22 00:00:00,,,,20.3101,20.4837,20.2522,,,,,,
2000-06-23 00:00:00,,,,20.368,20.368,20.2522,,,,,,
2000-06-26 00:00:00,,,,20.3101,20.368,20.2522,,,,,,
2000-06-27 00:00:00,,,,20.3101,20.5416,20.3101,,,,,,
2000-06-28 00:00:00,,,,20.368,20.5416,20.3101,,,,,,
2000-06-29 00:00:00,,,,20.5416,21.0623,20.4837,,,,,,
2000-06-30 00:00:00,,,,20.8309,20.8309,20.4258,,,,0,4,0
2000-07-03 00:00:00,,,,20.368,20.5994,20.368,,,,,,
2000-07-05 00:00:00,,,,20.6573,20.8309,20.4258,,,,,,
2000-07-06 00:00:00,,,,20.4258,21.1781,20.4258,,,,,,
2000-07-07 00:00:00,,,,21.1202,21.1202,20.8309,,,,,,
2000-07-10 00:00:00,,,,20.773,21.0045,20.773,,,,,,
2000-07-11 00:00:00,,,,20.773,20.9466,20.7152,,,,,,
2000-07-12 00:00:00,,,,20.5994,21.0623,20.5994,,,,,,
2000-07-13 00:00:00,,,,20.7152,20.8887,20.7152,,,,,,
2000-07-14 00:00:00,,,,21.0045,21.0045,20.8309,,,,,,
2000-07-17 00:00:00,,,,20.773,20.8309,20.7152,,,,,,
2000-07-18 00:00:00,,,,20.8309,20.9466,20.7152,,,,,,
2000-07-19 00:00:00,,,,20.9466,21.1202,20.8887,,,,0,5,0
2000-07-20 00:00:00,,,,21.0045,21.2938,20.8887,,,,,,
2000-07-21 00:00:00,,,,21.2938,21.641,21.2359,,,,,,
2000-07-24 00:00:00,,,,21.3517,21.641,21.3517,,,,,,
2000-07-25 00:00:00,,,,21.3517,21.6988,21.3517,,,,,,
2000-07-26 00:00:00,,,,21.641,21.9882,21.5831,,,,,,
2000-07-27 00:00:00,,,,22.1039,22.1039,21.6988,,,,,,
2000-07-28 00:00:00,,,,22.1039,22.1039,21.8146,,,,,,
2000-07-31 00:00:00,,,,21.9303,22.1617,21.8146,,,,,,
2000-08-01 00:00:00,,,,21.9882,22.914,21.8146,,,,,,
2000-08-02 00:00:00,,,,22.914,22.914,22.3932,,,,,,
2000-08-03 00:00:00,,,,22.5668,22.6246,22.3932,,,,,,
2000-08-04 00:00:00,,,,22.5668,22.5668,21.7567,,,,,,
2000-08-07 00:00:00,,,,22.1039,22.1617,21.8724,,,,,,
2000-08-08 00:00:00,,,,21.7567,22.1617,21.7567,,,,,,
2000-08-09 00:00:00,,,,21.8724,22.1617,21.7567,,,,0,4,1
2000-08-10 00:00:00,,,,22.046,22.046,21.5831,,,,0,4,1
2000-08-11 00:00:00,,,,21.8146,21.8146,21.5252,,,,0,4,1
2000-08-14 00:00:00,,,,21.7567,21.7567,20.7152,,,,0,4,1
2000-08-15 00:00:00,,,,20.8309,20.8309,20.368,,,,,,
2000-08-16 00:00:00,,,,20.1944,20.4258,20.1365,,,,,,
2000-08-17 00:00:00,,,,20.368,20.4258,20.1365,,,,,,
2000-08-18 00:00:00,,,,20.1365,20.3101,20.0787,,,,,,
2000-08-21 00:00:00,,,,20.1944,20.2522,19.9629,,,,,,
2000-08-22 00:00:00,,,,20.1365,20.3101,20.1365,,,,,,
2000-08-23 00:00:00,,,,20.1365,20.2522,20.0787,,,,,,
2000-08-24 00:00:00,,,,19.8472,20.1365,19.6157,,,,,,
2000-08-25 00:00:00,,,,19.4422,19.7315,19.4422,,,,,,
2000-08-28 00:00:00,,,,19.6157,19.6736,19.3843,,,,,,
2000-08-29 00:00:00,,,,19.4422,19.5,19.095,,,,,,
2000-08-30 00:00:00,,,,19.1528,19.6736,19.1528,,,,,,
2000-08-31 00:00:00,,,,19.7315,19.7315,19.3264,,,,,,
2000-09-01 00:00:00,,,,19.4422,19.4422,19.095,,,,,,
2000-09-05 00:00:00,,,,19.3264,19.3264,18.7478,,,,,,
2000-09-06 00:00:00,,,,18.8635,18.8635,18.6899,,,,,,
2000-09-07 00:00:00,,,,18.9214,19.3264,18.9214,,,,,,
2000-09-08 00:00:00,,,,19.3264,19.6157,19.3264,,,,,,
2000-09-11 00:00:00,,,,19.7893,19.9051,19.5579,,,,,,
2000-09-12 00:00:00,,,,19.7315,20.3101,19.5579,,,,,,
2000-09-13 00:00:00,,,,20.0787,20.0787,19.6157,,,,,,
2000-09-14 00:00:00,,,,19.7893,19.7893,19.6736,,,,,,
2000-09-15 00:00:00,,,,19.6736,19.6736,19.3843,,,,,,
2000-09-18 00:00:00,,,,19.4422,19.5,18.9792,,,,0,4,1
2000-09-19 00:00:00,,,,19.2107,19.7893,19.2107,,,,,,
2000-09-20 00:00:00,,,,19.6157,19.6736,19.4422,,,,0,4,1
2000-09-21 00:00:00,,,,19.5,19.5579,19.3264,,,,,,
2000-09-22 00:00:00,,,,18.9792,19.9051,18.9792,,,,,,
2000-09-25 00:00:00,,,,19.4422,19.5,19.2686,,,,,,
2000-09-26 00:00:00,,,,19.4422,19.9051,19.4422,,,,,,
2000-09-27 00:00:00,,,,19.6736,19.6736,19.2107,,,,,,
2000-09-28 00:00:00,,,,19.5579,19.9051,19.5579,,,,,,
2000-09-29 00:00:00,,,,19.8472,19.8472,19.3843,,,,,,
2000-10-02 00:00:00,,,,19.5579,19.7315,19.1528,,,,0,5,1
2000-10-03 00:00:00,,,,19.2107,19.5579,18.6321,,,,,,
2000-10-04 00:00:00,,,,18.6321,19.095,18.6321,,,,,,
2000-10-05 00:00:00,,,,18.9214,19.2107,18.9214,,,,,,
2000-10-06 00:00:00,,,,19.1528,19.1528,18.9792,,,,0,5,1
2000-10-09 00:00:00,,,,19.1528,19.1528,18.9792,,,,,,
2000-10-10 00:00:00,,,,19.0371,19.095,18.8635,,,,,,
2000-10-11 00:00:00,,,,18.8635,18.9792,18.5742,,,,,,
2000-10-12 00:00:00,,,,18.8057,18.8635,18.5163,,,,,,
2000-10-13 00:00:00,,,,18.6321,18.8057,18.227,,,,,,
2000-10-16 00:00:00,,,,18.8635,19.095,18.6899,,,,,,
2000-10-17 00:00:00,,,,18.9792,19.0371,18.4006,,,,,,
2000-10-18 00:00:00,,,,18.2849,18.7478,18.2849,,,,,,
2000-10-19 00:00:00,,,,18.6899,18.9214,18.6899,,,,,,
2000-10-20 00:00:00,,,,18.8057,19.0371,18.8057,,,,,,
2000-10-23 00:00:00,,,,18.5163,18.7478,18.4585,,,,,,
2000-10-24 00:00:00,,,,18.5742,18.5742,18.2849,,,,,,
2000-10-25 00:00:00,,,,18.4006,18.4006,18.2849,,,,,,
