Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,8,0
2000-05-10 00:00:00,,,,,,,,,,0,8,0
2000-05-15 00:00:00,,,,,,,,,,0,8,0
2000-05-16 00:00:00,,,,,,,,,,0,8,0
2000-05-19 00:00:00,,,,,,,,,,0,8,0
2000-05-30 00:00:00,,,,,,,,,,0,8,0
2000-05-31 00:00:00,,,,,,,,,,0,8,0
2000-06-01 00:00:00,,,,,,,,,,0,8,0
2000-06-02 00:00:00,,,,,,,,,,0,8,0
2000-06-05 00:00:00,,,,,,,,,,0,9,0
2000-06-06 00:00:00,,,,,,,,,,0,9,0
2000-06-09 00:00:00,,,,,,,,,,0,9,0
2000-06-20 00:00:00,,,,,,,,,,0,9,0
2000-07-06 00:00:00,,,,,,,,,,0,9,0
2000-07-07 00:00:00,,,,,,,,,,0,9,0
2000-07-10 00:00:00,,,,,,,,,,0,9,0
2000-07-31 00:00:00,,,,,,,,,,0,9,0
2000-08-02 00:00:00,,,,,,,,,,0,9,0
2000-08-08 00:00:00,,,,,,,,,,0,9,0
2000-08-14 00:00:00,,,,,,,,,,0,9,0
2000-08-15 00:00:00,,,,,,,,,,0,9,0
2000-08-30 00:00:00,,,,,,,,,,0,9,0
2000-08-31 00:00:00,,,,,,,,,,0,9,0
2000-09-05 00:00:00,,,,,,,,,,0,9,1
2000-09-07 00:00:00,,,,,,,,,,0,9,1
2000-09-11 00:00:00,,,,,,,,,,0,9,1
2000-09-13 00:00:00,,,,,,,,,,0,9,1
2000-09-15 00:00:00,,,,,,,,,,0,9,2
2000-09-19 00:00:00,,,,,,,,,,0,9,2
2000-09-26 00:00:00,,,,,,,,,,0,9,2
2000-09-28 00:00:00,,,,,,,,,,0,9,2
2000-09-29 00:00:00,,,,,,,,,,0,9,2
2000-10-09 00:00:00,,,,,,,,,,0,9,2
2000-10-11 00:00:00,,,,,,,,,,0,9,2
2000-10-23 00:00:00,,,,,,,,,,0,9,2
2000-10-27 00:00:00,,,,,,,,,,0,9,2
2000-10-30 00:00:00,,,,,,,,,,0,9,2
2000-11-01 00:00:00,,,,,,,,,,0,9,2
2000-11-06 00:00:00,,,,,,,,,,0,10,2
2000-11-07 00:00:00,,,,,,,,,,0,11,2
2000-11-08 00:00:00,,,,,,,,,,0,11,2
2000-11-10 00:00:00,,,,,,,,,,0,11,2
2000-11-15 00:00:00,,,,,,,,,,0,10,3
2000-11-21 00:00:00,,,,,,,,,,0,10,3
2000-11-27 00:00:00,,,,,,,,,,0,10,3
2000-11-28 00:00:00,,,,,,,,,,0,10,3
2000-11-30 00:00:00,,,,,,,,,,0,10,3
2000-12-04 00:00:00,,,,,,,,,,0,9,4
2000-12-05 00:00:00,,,,,,,,,,0,9,4
2000-12-06 00:00:00,,,,,,,,,,0,8,5
2000-12-08 00:00:00,,,,,,,,,,0,8,5
2000-12-13 00:00:00,,,,,,,,,,0,8,5
2000-12-19 00:00:00,,,,,,,,,,0,8,5
2001-01-03 00:00:00,,,,,,,,,,0,8,5
2001-01-08 00:00:00,,,,,,,,,,0,8,5
2001-01-09 00:00:00,,,,,,,,,,0,8,5
2001-01-11 00:00:00,,,,,,,,,,0,8,5
2001-01-12 00:00:00,,,,,,,,,,0,8,5
2001-01-16 00:00:00,,,,,,,,,,0,8,5
2001-01-22 00:00:00,,,,,,,,,,0,8,5
2001-01-29 00:00:00,,,,,,,,,,0,8,5
2001-01-30 00:00:00,,,,,,,,,,0,8,5
2001-01-31 00:00:00,,,,,,,,,,0,8,5
