Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,2,2
2000-05-09 00:00:00,,,,,,,,,,0,2,3
2000-05-17 00:00:00,,,,,,,,,,0,2,3
2000-05-18 00:00:00,,,,,,,,,,0,4,1
2000-05-26 00:00:00,,,,,,,,,,0,4,1
2000-05-30 00:00:00,,,,,,,,,,0,4,1
2000-06-01 00:00:00,,,,,,,,,,0,4,1
2000-06-22 00:00:00,,,,,,,,,,0,4,1
2000-07-20 00:00:00,,,,,,,,,,0,4,1
2000-07-21 00:00:00,,,,,,,,,,0,4,1
2000-08-03 00:00:00,,,,,,,,,,0,4,1
2000-08-10 00:00:00,,,,,,,,,,0,4,1
2000-09-13 00:00:00,,,,,,,,,,0,4,1
2000-09-21 00:00:00,,,,,,,,,,0,5,1
2000-09-29 00:00:00,,,,,,,,,,0,5,1
2000-10-02 00:00:00,,,,,,,,,,0,5,1
2000-10-05 00:00:00,,,,,,,,,,0,5,2
2000-10-20 00:00:00,,,,,,,,,,0,5,2
2000-11-24 00:00:00,,,,,,,,,,0,5,2
2000-12-07 00:00:00,,,,,,,,,,0,5,2
2000-12-26 00:00:00,,,,,,,,,,0,5,2
2001-01-12 00:00:00,,,,,,,,,,0,5,2
2001-02-01 00:00:00,,,,,,,,,,0,5,2
2001-02-02 00:00:00,,,,,,,,,,0,6,1
2001-02-14 00:00:00,,,,,,,,,,0,6,1
2001-02-22 00:00:00,,,,,,,,,,0,6,1
2001-03-01 00:00:00,,,,,,,,,,0,6,1
2001-03-08 00:00:00,,,,,,,,,,0,7,1
2001-03-27 00:00:00,,,,,,,,,,0,7,1
2001-03-29 00:00:00,,,,,,,,,,0,8,1
2001-04-11 00:00:00,,,,,,,,,,0,8,1
2001-04-19 00:00:00,,,,,,,,,,0,8,1
2001-04-20 00:00:00,,,,,,,,,,0,8,1
2001-05-02 00:00:00,,,,,,,,,,0,9,1
2001-05-07 00:00:00,,,,,,,,,,0,9,1
2001-05-23 00:00:00,,,,,,,,,,0,9,1
2001-05-24 00:00:00,,,,,,,,,,0,10,1
2001-06-04 00:00:00,,,,,,,,,,0,10,1
2001-06-11 00:00:00,,,,,,,,,,0,10,1
2001-06-15 00:00:00,,,,,,,,,,0,10,1
2001-06-27 00:00:00,,,,,,,,,,0,10,1
2001-06-28 00:00:00,,,,,,,,,,0,10,1
2001-07-02 00:00:00,,,,,,,,,,0,10,1
2001-07-03 00:00:00,,,,,,,,,,0,10,1
2001-07-09 00:00:00,,,,,,,,,,0,10,1
2001-07-10 00:00:00,,,,,,,,,,0,10,1
2001-07-11 00:00:00,,,,,,,,,,0,10,1
2001-07-12 00:00:00,,,,,,,,,,0,11,1
2001-07-19 00:00:00,,,,,,,,,,0,11,1
