Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,24.875,25.938,24.813,,,,0,4,0
2000-05-02 00:00:00,,,,25.375,25.375,24.125,,,,,,
2000-05-03 00:00:00,,,,24.5,25.125,24.375,,,,,,
2000-05-04 00:00:00,,,,24.75,25.063,24.75,,,,0,4,0
2000-05-05 00:00:00,,,,25.375,25.563,24.875,,,,,,
2000-05-08 00:00:00,,,,24.875,24.938,23.563,,,,,,
2000-05-09 00:00:00,,,,23.75,23.875,23.563,,,,,,
2000-05-10 00:00:00,,,,23.875,24.625,23.875,,,,,,
2000-05-11 00:00:00,,,,24.188,25.813,24.188,,,,0,5,0
2000-05-12 00:00:00,,,,25.5,26.25,24.438,,,,,,
2000-05-15 00:00:00,,,,24.563,24.875,24.063,,,,,,
2000-05-16 00:00:00,,,,24.25,24.75,24.25,,,,,,
2000-05-17 00:00:00,,,,24.563,24.563,23.75,,,,,,
2000-05-18 00:00:00,,,,23.875,23.938,23.563,,,,,,
2000-05-19 00:00:00,,,,23.625,23.625,23.063,,,,0,5,0
2000-05-22 00:00:00,,,,23,24.438,23,,,,,,
2000-05-23 00:00:00,,,,23.563,24.875,23.438,,,,0,5,0
2000-05-24 00:00:00,,,,24.438,24.438,23.375,,,,,,
2000-05-25 00:00:00,,,,23.438,23.438,22.813,,,,,,
2000-05-26 00:00:00,,,,23.313,23.313,22.563,,,,,,
2000-05-30 00:00:00,,,,22.75,23.25,22.688,,,,,,
2000-05-31 00:00:00,,,,22.938,24,22.938,,,,0,5,0
2000-06-01 00:00:00,,,,23.75,24.563,23.75,,,,,,
2000-06-02 00:00:00,,,,24,24.5,24,,,,,,
2000-06-05 00:00:00,,,,24.125,24.375,23.688,,,,,,
2000-06-06 00:00:00,,,,23.75,23.875,23.25,,,,,,
2000-06-07 00:00:00,,,,23.375,23.438,22.75,,,,,,
2000-06-08 00:00:00,,,,22.75,22.813,22.5,,,,,,
2000-06-09 00:00:00,,,,22.75,22.813,22.188,,,,,,
2000-06-12 00:00:00,,,,22.313,22.313,21.438,,,,,,
2000-06-13 00:00:00,,,,21.625,21.688,21.313,,,,,,
2000-06-14 00:00:00,,,,21.5,21.75,21.438,,,,,,
2000-06-15 00:00:00,,,,21.438,22.625,21.438,,,,,,
2000-06-16 00:00:00,,,,22.188,22.188,21.438,,,,,,
2000-06-19 00:00:00,,,,21.563,21.938,21.375,,,,,,
2000-06-20 00:00:00,,,,21.688,22,21.188,,,,,,
2000-06-21 00:00:00,,,,21.938,21.938,20.938,,,,,,
2000-06-22 00:00:00,,,,21.125,21.125,20.5,,,,,,
2000-06-23 00:00:00,,,,20.938,20.938,20.688,,,,,,
2000-06-26 00:00:00,,,,20.938,21.875,20.938,,,,,,
2000-06-27 00:00:00,,,,21.688,22.813,21.688,,,,,,
2000-06-28 00:00:00,,,,22.438,22.813,22.375,,,,,,
2000-06-29 00:00:00,,,,22.625,24.25,22.625,,,,,,
2000-06-30 00:00:00,,,,24,24.063,21.75,,,,,,
2000-07-03 00:00:00,,,,22,24.25,22,,,,,,
2000-07-05 00:00:00,,,,24.25,24.25,23.188,,,,,,
2000-07-06 00:00:00,,,,23.313,23.5,23.25,,,,,,
2000-07-07 00:00:00,,,,23.625,24.188,23.625,,,,,,
2000-07-10 00:00:00,,,,24.313,24.75,24.313,,,,0,5,0
2000-07-11 00:00:00,,,,24.563,24.813,24.188,,,,,,
2000-07-12 00:00:00,,,,24.25,24.25,24,,,,,,
2000-07-13 00:00:00,,,,24.125,24.563,24.125,,,,,,
2000-07-14 00:00:00,,,,24.375,24.938,24.375,,,,,,
2000-07-17 00:00:00,,,,24.813,25.125,24.5,,,,,,
2000-07-18 00:00:00,,,,24.563,24.625,24.063,,,,,,
2000-07-19 00:00:00,,,,24.313,24.313,24.063,,,,,,
2000-07-20 00:00:00,,,,24.063,24.625,24,,,,,,
2000-07-21 00:00:00,,,,24.875,24.875,24.438,,,,0,5,0
2000-07-24 00:00:00,,,,24.688,25.063,24.5,,,,0,5,0
2000-07-25 00:00:00,,,,24.688,25.063,24.5,,,,,,
2000-07-26 00:00:00,,,,24.938,25.938,24.938,,,,,,
2000-07-27 00:00:00,,,,25.938,26.188,25.688,,,,,,
2000-07-28 00:00:00,,,,25.75,26.188,25.563,,,,,,
2000-07-31 00:00:00,,,,26.125,26.688,26.063,,,,,,
2000-08-01 00:00:00,,,,26.688,27.5,26.688,,,,,,
2000-08-02 00:00:00,,,,27,27.063,26.75,,,,0,5,0
2000-08-03 00:00:00,,,,26.688,26.688,26.188,,,,,,
2000-08-04 00:00:00,,,,26.375,27.063,26.063,,,,,,
2000-08-07 00:00:00,,,,26.625,27.313,26.563,,,,,,
2000-08-08 00:00:00,,,,27.313,27.813,27.313,,,,,,
2000-08-09 00:00:00,,,,27.375,27.438,26.875,,,,,,
2000-08-10 00:00:00,,,,27,27,26.125,,,,,,
2000-08-11 00:00:00,,,,26.25,26.938,26.188,,,,,,
2000-08-14 00:00:00,,,,26.813,26.938,26.75,,,,0,5,0
2000-08-15 00:00:00,,,,26.938,26.938,26.375,,,,,,
2000-08-16 00:00:00,,,,26.563,26.688,26.25,,,,,,
2000-08-17 00:00:00,,,,26.313,26.688,25.875,,,,,,
2000-08-18 00:00:00,,,,25.938,26,25.25,,,,,,
2000-08-21 00:00:00,,,,25.75,26.125,25.75,,,,,,
2000-08-22 00:00:00,,,,25.875,26.375,25.875,,,,,,
2000-08-23 00:00:00,,,,26.188,26.188,25.313,,,,,,
2000-08-24 00:00:00,,,,25.438,25.563,25.375,,,,,,
2000-08-25 00:00:00,,,,25.438,25.5,24.875,,,,,,
2000-08-28 00:00:00,,,,24.875,24.938,24,,,,,,
2000-08-29 00:00:00,,,,24.188,24.875,24.063,,,,,,
2000-08-30 00:00:00,,,,24.688,24.688,23.875,,,,,,
2000-08-31 00:00:00,,,,23.875,24.25,23.75,,,,0,5,0
2000-09-01 00:00:00,,,,23.875,24.438,23.813,,,,,,
2000-09-05 00:00:00,,,,24.25,24.25,23.313,,,,,,
2000-09-06 00:00:00,,,,23.5,27.563,23.313,,,,,,
2000-09-07 00:00:00,,,,26.5,27.188,26.5,,,,0,5,0
2000-09-08 00:00:00,,,,26.5,26.5,24.438,,,,,,
2000-09-11 00:00:00,,,,25.75,25.75,25.063,,,,,,
2000-09-12 00:00:00,,,,25.625,25.688,25.25,,,,,,
2000-09-13 00:00:00,,,,25.688,25.688,24.563,,,,,,
2000-09-14 00:00:00,,,,24.625,24.625,23.875,,,,,,
2000-09-15 00:00:00,,,,23.313,23.563,23,,,,0,5,0
2000-09-18 00:00:00,,,,23.313,23.313,22.125,,,,,,
2000-09-19 00:00:00,,,,22.375,22.625,22.125,,,,0,5,0
2000-09-20 00:00:00,,,,22.25,22.25,21.625,,,,0,5,0
2000-09-21 00:00:00,,,,21.5,21.688,21.25,,,,,,
2000-09-22 00:00:00,,,,21.25,22.063,21.125,,,,,,
2000-09-25 00:00:00,,,,22,22.75,21.875,,,,,,
2000-09-26 00:00:00,,,,22.375,22.375,21.75,,,,0,5,0
2000-09-27 00:00:00,,,,21.875,22.188,21.688,,,,,,
2000-09-28 00:00:00,,,,21.875,22.75,21.688,,,,,,
2000-09-29 00:00:00,,,,22.688,22.75,21.813,,,,,,
2000-10-02 00:00:00,,,,21.875,21.875,21.313,,,,,,
2000-10-03 00:00:00,,,,21.5,21.5,21.25,,,,,,
2000-10-04 00:00:00,,,,21.438,21.563,21.375,,,,,,
2000-10-05 00:00:00,,,,21.563,22.125,21.563,,,,,,
2000-10-06 00:00:00,,,,22.063,22.25,22,,,,,,
2000-10-09 00:00:00,,,,22.188,22.375,21.625,,,,,,
2000-10-10 00:00:00,,,,21.5,21.563,21.063,,,,,,
2000-10-11 00:00:00,,,,21.063,21.063,19.25,,,,,,
2000-10-12 00:00:00,,,,20,20.125,19.125,,,,,,
2000-10-13 00:00:00,,,,19.25,20.125,19.188,,,,0,5,0
2000-10-16 00:00:00,,,,19.5,20,19.5,,,,0,5,0
2000-10-17 00:00:00,,,,19.875,19.875,19.125,,,,,,
2000-10-18 00:00:00,,,,19.063,19.5,19.063,,,,,,
2000-10-19 00:00:00,,,,19.375,20.188,19.375,,,,,,
2000-10-20 00:00:00,,,,20.125,20.5,20.125,,,,,,
2000-10-23 00:00:00,,,,19.938,20,19.25,,,,,,
2000-10-24 00:00:00,,,,19.625,19.625,19.5,,,,,,
2000-10-25 00:00:00,,,,19.625,19.625,19.438,,,,,,
2000-10-26 00:00:00,,,,19.5,20.25,19.5,,,,,,
2000-10-27 00:00:00,,,,20.188,20.25,19.75,,,,,,
2000-10-30 00:00:00,,,,20.25,21.25,20.25,,,,,,
2000-10-31 00:00:00,,,,21.188,22,21.063,,,,,,
2000-11-01 00:00:00,,,,22.188,22.188,21.5,,,,,,
2000-11-02 00:00:00,,,,21.813,22.188,21.625,,,,,,
2000-11-03 00:00:00,,,,21.688,21.875,21.563,,,,,,
2000-11-06 00:00:00,,,,21.813,22.438,21.688,,,,,,
2000-11-07 00:00:00,,,,21.625,21.625,21,,,,,,
2000-11-08 00:00:00,,,,21.313,21.313,21.188,,,,,,
2000-11-09 00:00:00,,,,21.313,21.313,19.875,,,,,,
2000-11-10 00:00:00,,,,20.813,20.938,20,,,,,,
2000-11-13 00:00:00,,,,20.25,21.125,20,,,,,,
2000-11-14 00:00:00,,,,20.938,21.438,20.938,,,,,,
2000-11-15 00:00:00,,,,21.25,21.313,21.063,,,,,,
2000-11-16 00:00:00,,,,21.375,22.375,21.375,,,,,,
2000-11-17 00:00:00,,,,21.813,22,21.75,,,,,,
2000-11-20 00:00:00,,,,22.063,22.563,21.563,,,,,,
2000-11-21 00:00:00,,,,22.188,22.438,22.063,,,,,,
2000-11-22 00:00:00,,,,22.313,22.875,22,,,,0,5,0
2000-11-24 00:00:00,,,,22.063,22.25,22,,,,,,
2000-11-27 00:00:00,,,,22.25,23.313,22.25,,,,,,
2000-11-28 00:00:00,,,,23.063,23.375,22.875,,,,,,
2000-11-29 00:00:00,,,,22.938,23.875,22.938,,,,,,
2000-11-30 00:00:00,,,,23.75,23.875,23.5,,,,,,
2000-12-01 00:00:00,,,,24.125,25,24.125,,,,0,5,0
2000-12-04 00:00:00,,,,24.625,24.688,24,,,,,,
2000-12-05 00:00:00,,,,24.375,25.188,24.375,,,,,,
2000-12-06 00:00:00,,,,25.063,25.125,24.625,,,,,,
2000-12-07 00:00:00,,,,25.063,25.5,24.938,,,,,,
2000-12-08 00:00:00,,,,25.188,26,25.188,,,,,,
2000-12-11 00:00:00,,,,25.688,26.25,25.375,,,,,,
2000-12-12 00:00:00,,,,25.813,26.063,25.25,,,,,,
2000-12-13 00:00:00,,,,25.188,25.375,24.063,,,,,,
2000-12-14 00:00:00,,,,24.688,24.75,23.688,,,,,,
