Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,53,54.875,53,,,,0,5,0
2000-05-02 00:00:00,,,,52.875,53.5,51.125,,,,0,5,0
2000-05-03 00:00:00,,,,52.313,52.313,50.875,,,,,,
2000-05-04 00:00:00,,,,51.75,52.75,51.375,,,,,,
2000-05-05 00:00:00,,,,52.625,52.938,51.688,,,,,,
2000-05-08 00:00:00,,,,52.75,53.438,52.375,,,,,,
2000-05-09 00:00:00,,,,53.063,53.813,53.063,,,,,,
2000-05-10 00:00:00,,,,53.563,54,52.938,,,,,,
2000-05-11 00:00:00,,,,53.5,54.313,53.375,,,,,,
2000-05-12 00:00:00,,,,53.75,54.938,53.188,,,,,,
2000-05-15 00:00:00,,,,53.313,54.438,52.938,,,,,,
2000-05-16 00:00:00,,,,53.688,54.438,53.688,,,,,,
2000-05-17 00:00:00,,,,53.813,53.813,52.063,,,,,,
2000-05-18 00:00:00,,,,53.375,53.375,51.25,,,,,,
2000-05-19 00:00:00,,,,52.188,52.188,50.125,,,,,,
2000-05-22 00:00:00,,,,51.25,53.063,51.25,,,,,,
2000-05-23 00:00:00,,,,52,52,51.063,,,,,,
2000-05-24 00:00:00,,,,51.375,51.438,50.313,,,,,,
2000-05-25 00:00:00,,,,52.75,52.875,50.625,,,,,,
2000-05-26 00:00:00,,,,51.25,51.25,48.375,,,,,,
2000-05-30 00:00:00,,,,49.188,50.688,48.5,,,,,,
2000-05-31 00:00:00,,,,49,49.438,48.875,,,,,,
2000-06-01 00:00:00,,,,49.125,49.188,48.125,,,,0,5,0
2000-06-02 00:00:00,,,,49.188,50.75,49.188,,,,,,
2000-06-05 00:00:00,,,,49.938,50.438,48.375,,,,,,
2000-06-06 00:00:00,,,,49.313,50.063,48.688,,,,,,
2000-06-07 00:00:00,,,,49.563,49.875,49.063,,,,,,
2000-06-08 00:00:00,,,,49.188,49.75,49.063,,,,,,
2000-06-09 00:00:00,,,,49.438,49.75,49.375,,,,0,6,0
2000-06-12 00:00:00,,,,49.5,49.563,46.25,,,,,,
2000-06-13 00:00:00,,,,47,48.063,47,,,,,,
2000-06-14 00:00:00,,,,47.25,47.25,45.813,,,,0,6,0
2000-06-15 00:00:00,,,,45.875,45.875,43.563,,,,,,
2000-06-16 00:00:00,,,,43.625,44.063,42.375,,,,0,6,0
2000-06-19 00:00:00,,,,42.625,42.625,41.375,,,,,,
2000-06-20 00:00:00,,,,41.75,43.75,41.438,,,,,,
