Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,43.344,44.281,42.563,,,,0,3,3
2000-05-02 00:00:00,,,,43,43.781,42.813,,,,,,
2000-05-03 00:00:00,,,,43.469,44.094,42.656,,,,,,
2000-05-04 00:00:00,,,,43.094,43.844,42.375,,,,0,3,2
2000-05-05 00:00:00,,,,42.594,43.625,42.406,,,,,,
2000-05-08 00:00:00,,,,43.875,43.875,42.75,,,,,,
2000-05-09 00:00:00,,,,43.5,43.938,42.75,,,,,,
2000-05-10 00:00:00,,,,43.125,43.25,42.406,,,,,,
2000-05-11 00:00:00,,,,43.156,43.438,42.781,,,,,,
2000-05-12 00:00:00,,,,42.625,43,42.25,,,,,,
2000-05-15 00:00:00,,,,42.688,43.469,42.656,,,,,,
2000-05-16 00:00:00,,,,43.094,45.656,42.781,,,,,,
2000-05-17 00:00:00,,,,44.188,44.563,43.813,,,,,,
2000-05-18 00:00:00,,,,44.094,44.313,43.5,,,,,,
2000-05-19 00:00:00,,,,43.094,43.313,41.875,,,,,,
2000-05-22 00:00:00,,,,42.375,42.625,41.688,,,,,,
2000-05-23 00:00:00,,,,42.094,42.344,41.625,,,,,,
2000-05-24 00:00:00,,,,42.5,44.375,42.5,,,,,,
2000-05-25 00:00:00,,,,43.656,44.125,42,,,,,,
2000-05-26 00:00:00,,,,42.594,43.188,42,,,,,,
2000-05-30 00:00:00,,,,42.313,43.281,42.219,,,,,,
2000-05-31 00:00:00,,,,43.063,43.656,42.875,,,,,,
2000-06-01 00:00:00,,,,43.031,43.031,42.219,,,,,,
2000-06-02 00:00:00,,,,43.25,43.375,42.031,,,,,,
2000-06-05 00:00:00,,,,42.313,42.531,42.063,,,,,,
2000-06-06 00:00:00,,,,42.5,42.5,41.031,,,,,,
2000-06-07 00:00:00,,,,41.156,41.594,40.75,,,,,,
2000-06-08 00:00:00,,,,40.969,41,40.219,,,,,,
2000-06-09 00:00:00,,,,40.969,41.094,40.594,,,,,,
2000-06-12 00:00:00,,,,41,41.906,40.938,,,,,,
2000-06-13 00:00:00,,,,40.813,41.656,40.813,,,,,,
2000-06-14 00:00:00,,,,42,42.469,41.75,,,,,,
2000-06-15 00:00:00,,,,42.156,43.688,42.125,,,,0,3,2
2000-06-16 00:00:00,,,,43.219,43.219,42.219,,,,,,
2000-06-19 00:00:00,,,,42.438,42.594,41.469,,,,,,
2000-06-20 00:00:00,,,,41.813,42.5,40.531,,,,,,
2000-06-21 00:00:00,,,,42.25,43.25,42.031,,,,,,
2000-06-22 00:00:00,,,,43.156,43.875,42.469,,,,,,
2000-06-23 00:00:00,,,,42.438,42.438,42.031,,,,0,3,2
2000-06-26 00:00:00,,,,42.188,42.969,42.156,,,,0,3,3
2000-06-27 00:00:00,,,,43.25,43.938,43.094,,,,,,
