Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,0.094,0.094,0.092,,,,0,1,0
2000-05-02 00:00:00,,,,0.092,0.094,0.091,,,,,,
2000-05-03 00:00:00,,,,0.094,0.094,0.091,,,,,,
2000-05-04 00:00:00,,,,0.093,0.093,0.09,,,,,,
2000-05-05 00:00:00,,,,0.092,0.094,0.09,,,,,,
2000-05-08 00:00:00,,,,0.094,0.094,0.09,,,,,,
2000-05-09 00:00:00,,,,0.09,0.094,0.084,,,,,,
2000-05-10 00:00:00,,,,0.089,0.091,0.083,,,,,,
2000-05-11 00:00:00,,,,0.09,0.09,0.086,,,,,,
2000-05-12 00:00:00,,,,0.089,0.091,0.086,,,,,,
2000-05-15 00:00:00,,,,0.083,0.086,0.074,,,,,,
2000-05-16 00:00:00,,,,0.079,0.082,0.076,,,,,,
2000-05-17 00:00:00,,,,0.077,0.081,0.076,,,,,,
2000-05-18 00:00:00,,,,0.079,0.081,0.078,,,,,,
2000-05-19 00:00:00,,,,0.078,0.079,0.077,,,,,,
2000-05-22 00:00:00,,,,0.078,0.078,0.076,,,,,,
2000-05-23 00:00:00,,,,0.078,0.081,0.074,,,,,,
2000-05-24 00:00:00,,,,0.074,0.077,0.073,,,,,,
2000-05-25 00:00:00,,,,0.073,0.077,0.072,,,,,,
2000-05-26 00:00:00,,,,0.071,0.076,0.071,,,,,,
2000-05-30 00:00:00,,,,0.074,0.089,0.073,,,,,,
2000-05-31 00:00:00,,,,0.078,0.093,0.073,,,,,,
2000-06-01 00:00:00,,,,0.086,0.091,0.086,,,,,,
2000-06-02 00:00:00,,,,0.09,0.091,0.086,,,,,,
2000-06-05 00:00:00,,,,0.086,0.087,0.083,,,,,,
2000-06-06 00:00:00,,,,0.085,0.085,0.083,,,,,,
2000-06-07 00:00:00,,,,0.083,0.085,0.083,,,,0,1,0
2000-06-08 00:00:00,,,,0.083,0.086,0.083,,,,,,
2000-06-09 00:00:00,,,,0.083,0.085,0.083,,,,,,
2000-06-12 00:00:00,,,,0.085,0.087,0.083,,,,,,
2000-06-13 00:00:00,,,,0.087,0.09,0.086,,,,,,
2000-06-14 00:00:00,,,,0.09,0.091,0.086,,,,,,
2000-06-15 00:00:00,,,,0.088,0.091,0.086,,,,,,
2000-06-16 00:00:00,,,,0.09,0.092,0.089,,,,,,
2000-06-19 00:00:00,,,,0.087,0.087,0.085,,,,,,
2000-06-20 00:00:00,,,,0.086,0.087,0.083,,,,,,
2000-06-21 00:00:00,,,,0.087,0.087,0.083,,,,,,
2000-06-22 00:00:00,,,,0.087,0.088,0.086,,,,,,
2000-06-23 00:00:00,,,,0.087,0.089,0.086,,,,,,
2000-06-26 00:00:00,,,,0.089,0.089,0.086,,,,,,
2000-06-27 00:00:00,,,,0.086,0.087,0.083,,,,,,
2000-06-28 00:00:00,,,,0.087,0.089,0.086,,,,,,
2000-06-29 00:00:00,,,,0.087,0.089,0.086,,,,,,
2000-06-30 00:00:00,,,,0.087,0.089,0.086,,,,,,
2000-07-03 00:00:00,,,,0.087,0.091,0.086,,,,,,
2000-07-05 00:00:00,,,,0.086,0.089,0.086,,,,,,
2000-07-06 00:00:00,,,,0.086,0.089,0.086,,,,,,
2000-07-07 00:00:00,,,,0.091,0.094,0.089,,,,,,
2000-07-10 00:00:00,,,,0.094,0.094,0.089,,,,,,
2000-07-11 00:00:00,,,,0.088,0.091,0.086,,,,,,
2000-07-12 00:00:00,,,,0.092,0.094,0.089,,,,,,
2000-07-13 00:00:00,,,,0.093,0.095,0.092,,,,,,
2000-07-14 00:00:00,,,,0.093,0.094,0.091,,,,,,
2000-07-17 00:00:00,,,,0.092,0.094,0.09,,,,,,
2000-07-18 00:00:00,,,,0.091,0.095,0.091,,,,,,
2000-07-19 00:00:00,,,,0.091,0.094,0.091,,,,,,
2000-07-20 00:00:00,,,,0.091,0.094,0.091,,,,,,
2000-07-21 00:00:00,,,,0.094,0.095,0.094,,,,,,
2000-07-24 00:00:00,,,,0.094,0.095,0.094,,,,,,
2000-07-25 00:00:00,,,,0.096,0.099,0.095,,,,,,
2000-07-26 00:00:00,,,,0.095,0.095,0.094,,,,,,
2000-07-27 00:00:00,,,,0.095,0.095,0.092,,,,,,
2000-07-28 00:00:00,,,,0.093,0.094,0.093,,,,,,
2000-07-31 00:00:00,,,,0.094,0.094,0.092,,,,,,
2000-08-01 00:00:00,,,,0.095,0.095,0.092,,,,,,
2000-08-02 00:00:00,,,,0.094,0.094,0.092,,,,,,
2000-08-03 00:00:00,,,,0.091,0.094,0.091,,,,,,
2000-08-04 00:00:00,,,,0.092,0.095,0.091,,,,,,
2000-08-07 00:00:00,,,,0.092,0.099,0.092,,,,,,
2000-08-08 00:00:00,,,,0.095,0.099,0.095,,,,,,
2000-08-09 00:00:00,,,,0.096,0.1,0.096,,,,,,
2000-08-10 00:00:00,,,,0.096,0.104,0.096,,,,0,1,0
2000-08-11 00:00:00,,,,0.104,0.105,0.099,,,,,,
2000-08-14 00:00:00,,,,0.102,0.103,0.102,,,,,,
2000-08-15 00:00:00,,,,0.104,0.105,0.102,,,,,,
2000-08-16 00:00:00,,,,0.105,0.105,0.102,,,,,,
2000-08-17 00:00:00,,,,0.102,0.103,0.102,,,,,,
2000-08-18 00:00:00,,,,0.104,0.104,0.102,,,,,,
2000-08-21 00:00:00,,,,0.105,0.105,0.102,,,,,,
