Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,9.875,10.906,9.875,,,,,,
2000-10-19 00:00:00,,,,11,12,10.813,,,,,,
2000-10-20 00:00:00,,,,11.813,11.844,11.031,,,,,,
2000-10-23 00:00:00,,,,11.594,11.594,10.813,,,,0,0,1
2000-10-24 00:00:00,,,,11.031,11.125,10.5,,,,,,
2000-10-25 00:00:00,,,,11.063,11.625,11.063,,,,,,
2000-10-26 00:00:00,,,,11.469,11.75,10.906,,,,,,
2000-10-27 00:00:00,,,,11.719,12,11.656,,,,,,
2000-10-30 00:00:00,,,,11.844,12.625,11.844,,,,,,
2000-10-31 00:00:00,,,,12.188,13,11.438,,,,,,
2000-11-01 00:00:00,,,,12.625,12.625,11.813,,,,,,
2000-11-02 00:00:00,,,,11.813,11.813,11.313,,,,,,
2000-11-03 00:00:00,,,,11.625,11.625,11.281,,,,,,
2000-11-06 00:00:00,,,,11.563,12,11.563,,,,,,
2000-11-07 00:00:00,,,,11.594,11.625,11.188,,,,,,
2000-11-08 00:00:00,,,,11.625,11.625,11.469,,,,,,
2000-11-09 00:00:00,,,,11.469,11.688,11.438,,,,,,
2000-11-10 00:00:00,,,,11.406,11.406,11.125,,,,,,
2000-11-13 00:00:00,,,,11.188,11.469,11.094,,,,0,1,1
2000-11-14 00:00:00,,,,11.563,11.719,11.438,,,,,,
2000-11-15 00:00:00,,,,12.125,12.219,12,,,,0,2,1
2000-11-16 00:00:00,,,,12.063,12.125,11.875,,,,0,3,1
2000-11-17 00:00:00,,,,11.844,12.125,11.813,,,,,,
2000-11-20 00:00:00,,,,12,12.063,11.594,,,,0,4,1
2000-11-21 00:00:00,,,,11.781,11.781,11.531,,,,,,
2000-11-22 00:00:00,,,,11.438,11.5,11.25,,,,,,
2000-11-24 00:00:00,,,,11.5,11.844,11.5,,,,,,
2000-11-27 00:00:00,,,,11.781,11.813,11.594,,,,,,
2000-11-28 00:00:00,,,,11.75,12,11.75,,,,0,4,1
2000-11-29 00:00:00,,,,11.938,12.5,11.938,,,,,,
2000-11-30 00:00:00,,,,12.375,12.563,12.125,,,,,,
2000-12-01 00:00:00,,,,12.469,12.625,12.25,,,,,,
2000-12-04 00:00:00,,,,12.281,12.625,12.188,,,,0,4,1
2000-12-05 00:00:00,,,,12.563,12.813,12.5,,,,0,4,2
2000-12-06 00:00:00,,,,12.563,12.813,12.531,,,,,,
2000-12-07 00:00:00,,,,12.625,12.75,12.375,,,,,,
